"nodeID","nodeLabel","latitude","longitude"
"01001","Autauga","32° 32' 5.63"" N","86° 38' 33.87"" S"
"01005","Barbour","31° 52' 10.19"" N","85° 23' 36.34"" S"
"01023","Choctaw","32° 1' 10.18"" N","88° 15' 47.89"" S"
"01035","Conecuh","31° 25' 45.09"" N","86° 59' 37.25"" S"
"01051","Elmore","32° 35' 47.92"" N","86° 8' 56.94"" S"
"01055","Etowah","34° 2' 42.95"" N","86° 2' 5.13"" S"
"01065","Hale","32° 45' 44.92"" N","87° 37' 45.17"" S"
"01089","Madison","34° 45' 46.57"" N","86° 33' 0.70"" S"
"01113","Russell","32° 17' 18.03"" N","85° 11' 5.75"" S"
"01117","Shelby","33° 15' 51.19"" N","86° 39' 39.09"" S"
"01049","DeKalb","34° 27' 34.71"" N","85° 48' 16.17"" S"
"01063","Greene","32° 51' 10.64"" N","87° 57' 7.80"" S"
"01087","Macon","32° 23' 9.39"" N","85° 41' 33.55"" S"
"01091","Marengo","32° 14' 51.05"" N","87° 47' 22.64"" S"
"01095","Marshall","34° 22' 0.71"" N","86° 18' 23.87"" S"
"01101","Montgomery","32° 13' 12.48"" N","86° 12' 27.17"" S"
"01107","Pickens","33° 16' 50.29"" N","88° 5' 19.88"" S"
"01115","St. Clair","33° 42' 56.10"" N","86° 18' 53.09"" S"
"01119","Sumter","32° 35' 26.76"" N","88° 11' 55.56"" S"
"01131","Wilcox","31° 59' 21.68"" N","87° 18' 29.08"" S"
"01043","Cullman","34° 7' 54.80"" N","86° 52' 3.84"" S"
"01033","Colbert","34° 42' 2.06"" N","87° 48' 17.57"" S"
"01041","Crenshaw","31° 43' 52.69"" N","86° 18' 48.71"" S"
"01009","Blount","33° 58' 50.89"" N","86° 34' 3.17"" S"
"01047","Dallas","32° 19' 33.06"" N","87° 6' 23.45"" S"
"01039","Covington","31° 14' 54.02"" N","86° 27' 4.46"" S"
"01061","Geneva","31° 5' 42.65"" N","85° 50' 20.75"" S"
"01075","Lamar","33° 46' 44.08"" N","88° 5' 49.12"" S"
"01013","Butler","31° 45' 8.39"" N","86° 40' 49.04"" S"
"01015","Calhoun","33° 46' 16.92"" N","85° 49' 34.10"" S"
"01073","Jefferson","33° 33' 15.28"" N","86° 53' 47.99"" S"
"01129","Washington","31° 24' 26.86"" N","88° 12' 28.08"" S"
"01071","Jackson","34° 46' 45.89"" N","85° 59' 58.06"" S"
"01021","Chilton","32° 50' 52.15"" N","86° 43' 7.83"" S"
"01027","Clay","33° 16' 8.29"" N","85° 51' 38.54"" S"
"01029","Cleburne","33° 40' 27.75"" N","85° 31' 8.09"" S"
"01093","Marion","34° 8' 11.47"" N","87° 53' 13.33"" S"
"01103","Morgan","34° 27' 12.55"" N","86° 51' 10.34"" S"
"01133","Winston","34° 8' 57.13"" N","87° 22' 25.16"" S"
"01059","Franklin","34° 26' 30.34"" N","87° 50' 37.41"" S"
"01097","Mobile","30° 47' 12.33"" N","88° 12' 21.22"" S"
"01037","Coosa","32° 56' 10.37"" N","86° 14' 51.46"" S"
"01017","Chambers","32° 54' 51.37"" N","85° 23' 31.21"" S"
"01057","Fayette","33° 43' 16.18"" N","87° 44' 19.82"" S"
"01111","Randolph","33° 17' 37.30"" N","85° 27' 32.77"" S"
"01053","Escambia","31° 7' 34.81"" N","87° 9' 41.67"" S"
"01067","Henry","31° 30' 52.56"" N","85° 14' 29.12"" S"
"01077","Lauderdale","34° 54' 5.86"" N","87° 39' 14.26"" S"
"01083","Limestone","34° 48' 36.04"" N","86° 58' 52.76"" S"
"01125","Tuscaloosa","33° 17' 21.90"" N","87° 31' 30.43"" S"
"01007","Bibb","32° 59' 54.90"" N","87° 7' 35.39"" S"
"01019","Cherokee","34° 10' 32.68"" N","85° 36' 13.72"" S"
"01085","Lowndes","32° 9' 16.84"" N","86° 39' 0.34"" S"
"01045","Dale","31° 25' 54.23"" N","85° 36' 39.74"" S"
"01105","Perry","32° 38' 18.12"" N","87° 17' 40.39"" S"
"01011","Bullock","32° 6' 1.91"" N","85° 42' 56.32"" S"
"01003","Baldwin","30° 43' 36.36"" N","87° 43' 20.29"" S"
"01109","Pike","31° 48' 9.61"" N","85° 56' 27.21"" S"
"01127","Walker","33° 48' 11.70"" N","87° 17' 50.00"" S"
"01031","Coffee","31° 24' 9.17"" N","85° 59' 17.42"" S"
"01123","Tallapoosa","32° 51' 43.71"" N","85° 47' 51.04"" S"
"01099","Monroe","31° 34' 14.53"" N","87° 21' 57.07"" S"
"01079","Lawrence","34° 31' 17.50"" N","87° 18' 39.65"" S"
"01025","Clarke","31° 40' 34.96"" N","87° 49' 50.56"" S"
"01081","Lee","32° 36' 4.25"" N","85° 21' 19.54"" S"
"01069","Houston","31° 9' 11.55"" N","85° 18' 8.64"" S"
"01121","Talladega","33° 22' 47.67"" N","86° 9' 58.42"" S"
