"nodeID","nodeLabel","latitude","longitude"
"04005","Coconino","35° 50' 6.75"" N","111° 46' 7.63"" S"
"04009","Graham","32° 55' 55.12"" N","109° 53' 13.73"" S"
"04013","Maricopa","33° 20' 53.00"" N","112° 29' 34.89"" S"
"04007","Gila","33° 47' 57.14"" N","110° 48' 36.51"" S"
"04001","Apache","35° 23' 2.56"" N","109° 29' 18.28"" S"
"04011","Greenlee","33° 12' 50.39"" N","109° 14' 23.48"" S"
"04023","Santa Cruz","31° 31' 34.00"" N","110° 50' 47.88"" S"
"04021","Pinal","32° 54' 16.68"" N","111° 20' 40.58"" S"
"04003","Cochise","31° 52' 45.06"" N","109° 45' 4.26"" S"
"04017","Navajo","35° 23' 25.12"" N","110° 19' 13.51"" S"
"04015","Mohave","35° 41' 50.94"" N","113° 45' 43.56"" S"
"04019","Pima","32° 5' 56.77"" N","111° 47' 21.20"" S"
"04025","Yavapai","34° 35' 57.07"" N","112° 33' 9.36"" S"
"04027","Yuma","32° 46' 7.08"" N","113° 54' 20.09"" S"
"04012","La Paz","33° 43' 43.38"" N","113° 58' 56.89"" S"
