"nodeID","nodeLabel","latitude","longitude"
"06001","Alameda","37° 38' 49.01"" N","121° 53' 19.17"" S"
"06003","Alpine","38° 35' 49.38"" N","119° 49' 14.22"" S"
"06005","Amador","38° 26' 47.81"" N","120° 39' 5.95"" S"
"06013","Contra Costa","37° 55' 9.21"" N","121° 55' 39.86"" S"
"06019","Fresno","36° 45' 30.69"" N","119° 39' 12.21"" S"
"06023","Humboldt","40° 41' 49.68"" N","123° 52' 34.19"" S"
"06033","Lake","39° 5' 56.57"" N","122° 45' 9.23"" S"
"06037","Los Angeles","34° 19' 10.81"" N","118° 13' 29.94"" S"
"06047","Merced","37° 11' 30.12"" N","120° 43' 6.24"" S"
"06057","Nevada","39° 18' 6.16"" N","120° 46' 9.17"" S"
"06081","San Mateo","37° 25' 21.61"" N","122° 19' 43.93"" S"
"06085","Santa Clara","37° 13' 54.24"" N","121° 41' 40.87"" S"
"06115","Yuba","39° 16' 7.51"" N","121° 21' 6.50"" S"
"06045","Mendocino","39° 26' 19.65"" N","123° 23' 28.43"" S"
"06051","Mono","37° 56' 18.76"" N","118° 53' 2.69"" S"
"06055","Napa","38° 30' 22.29"" N","122° 19' 49.30"" S"
"06059","Orange","33° 42' 10.43"" N","117° 45' 39.03"" S"
"06069","San Benito","36° 36' 19.79"" N","121° 4' 26.58"" S"
"06073","San Diego","33° 2' 2.30"" N","116° 44' 5.81"" S"
"06079","San Luis Obispo","35° 23' 13.50"" N","120° 24' 10.97"" S"
"06083","Santa Barbara","34° 40' 21.24"" N","120° 0' 58.23"" S"
"06097","Sonoma","38° 31' 41.18"" N","122° 53' 11.63"" S"
"06101","Sutter","39° 2' 3.46"" N","121° 41' 40.28"" S"
"06107","Tulare","36° 13' 11.94"" N","118° 48' 1.40"" S"
"06113","Yolo","38° 41' 11.44"" N","121° 54' 3.64"" S"
"06039","Madera","37° 13' 3.89"" N","119° 45' 53.33"" S"
"06009","Calaveras","38° 12' 16.02"" N","120° 33' 16.81"" S"
"06043","Mariposa","37° 34' 53.27"" N","119° 54' 21.10"" S"
"06095","Solano","38° 16' 11.45"" N","121° 55' 58.85"" S"
"06063","Plumas","40° 0' 16.74"" N","120° 50' 16.33"" S"
"06093","Siskiyou","41° 35' 36.60"" N","122° 32' 25.40"" S"
"06027","Inyo","36° 30' 36.46"" N","117° 24' 20.32"" S"
"06053","Monterey","36° 13' 0.67"" N","121° 14' 13.71"" S"
"06099","Stanislaus","37° 33' 32.11"" N","120° 59' 54.65"" S"
"06091","Sierra","39° 34' 50.32"" N","120° 30' 57.68"" S"
"06089","Shasta","40° 45' 49.27"" N","122° 2' 28.89"" S"
"06011","Colusa","39° 10' 38.76"" N","122° 14' 11.97"" S"
"06041","Marin","38° 4' 23.92"" N","122° 43' 23.35"" S"
"06077","San Joaquin","37° 56' 3.92"" N","121° 16' 17.81"" S"
"06031","Kings","36° 4' 30.23"" N","119° 48' 57.29"" S"
"06035","Lassen","40° 40' 21.76"" N","120° 35' 35.57"" S"
"06075","San Francisco","37° 45' 22.21"" N","122° 26' 34.98"" S"
"06021","Glenn","39° 35' 53.97"" N","122° 23' 30.63"" S"
"06025","Imperial","33° 2' 23.10"" N","115° 21' 55.34"" S"
"06061","Placer","39° 3' 49.96"" N","120° 43' 8.21"" S"
"06109","Tuolumne","38° 1' 39.51"" N","119° 57' 17.78"" S"
"06111","Ventura","34° 27' 21.60"" N","119° 5' 0.35"" S"
"06103","Tehama","40° 7' 33.64"" N","122° 14' 4.79"" S"
"06049","Modoc","41° 35' 23.07"" N","120° 43' 30.02"" S"
"06087","Santa Cruz","37° 3' 22.37"" N","122° 0' 5.71"" S"
"06105","Trinity","40° 38' 57.20"" N","123° 6' 50.64"" S"
"06029","Kern","35° 20' 37.27"" N","118° 43' 44.20"" S"
"06071","San Bernardino","34° 50' 30.20"" N","116° 10' 35.87"" S"
"06017","El Dorado","38° 46' 44.10"" N","120° 31' 30.20"" S"
"06067","Sacramento","38° 26' 56.57"" N","121° 20' 40.26"" S"
"06007","Butte","39° 39' 59.66"" N","121° 36' 2.56"" S"
"06015","Del Norte","41° 44' 34.19"" N","123° 53' 49.69"" S"
"06065","Riverside","33° 44' 46.97"" N","115° 59' 38.01"" S"
