"nodeID","nodeLabel","latitude","longitude"
"19175","Union","41° 1' 39.80"" N","94° 14' 32.45"" S"
"19001","Adair","41° 19' 50.39"" N","94° 28' 15.48"" S"
"19045","Clinton","41° 53' 53.23"" N","90° 31' 55.14"" S"
"19083","Hardin","42° 23' 1.65"" N","93° 14' 25.31"" S"
"19111","Lee","40° 38' 30.87"" N","91° 28' 45.29"" S"
"19009","Audubon","41° 41' 4.14"" N","94° 54' 20.75"" S"
"19027","Carroll","42° 2' 10.07"" N","94° 51' 38.03"" S"
"19075","Grundy","42° 24' 6.51"" N","92° 47' 29.34"" S"
"19113","Linn","42° 4' 43.66"" N","91° 35' 56.49"" S"
"19147","Palo Alto","43° 4' 55.24"" N","94° 40' 41.27"" S"
"19195","Worth","43° 22' 38.56"" N","93° 15' 39.08"" S"
"19087","Henry","40° 59' 16.37"" N","91° 32' 40.35"" S"
"19035","Cherokee","42° 44' 7.92"" N","95° 37' 25.74"" S"
"19003","Adams","41° 1' 44.29"" N","94° 41' 56.99"" S"
"19163","Scott","41° 38' 13.54"" N","90° 37' 23.70"" S"
"19007","Appanoose","40° 44' 35.26"" N","92° 52' 7.03"" S"
"19017","Bremer","42° 46' 28.47"" N","92° 19' 4.99"" S"
"19025","Calhoun","42° 23' 6.38"" N","94° 38' 25.26"" S"
"19103","Johnson","41° 40' 17.12"" N","91° 35' 16.92"" S"
"19117","Lucas","41° 1' 45.80"" N","93° 19' 39.86"" S"
"19127","Marshall","42° 2' 8.73"" N","92° 59' 55.64"" S"
"19131","Mitchell","43° 21' 22.80"" N","92° 47' 20.45"" S"
"19135","Monroe","41° 1' 47.24"" N","92° 52' 8.42"" S"
"19041","Clay","43° 4' 56.99"" N","95° 9' 3.37"" S"
"19049","Dallas","41° 41' 5.22"" N","94° 2' 23.06"" S"
"19159","Ringgold","40° 44' 6.39"" N","94° 14' 38.36"" S"
"19165","Shelby","41° 41' 6.03"" N","95° 18' 36.42"" S"
"19169","Story","42° 2' 10.16"" N","93° 27' 54.14"" S"
"19189","Winnebago","43° 22' 39.05"" N","93° 44' 2.87"" S"
"19097","Jackson","42° 10' 18.32"" N","90° 34' 27.00"" S"
"19141","O'Brien","43° 5' 1.24"" N","95° 37' 29.68"" S"
"19055","Delaware","42° 28' 16.08"" N","91° 22' 2.37"" S"
"19073","Greene","42° 2' 10.20"" N","94° 23' 48.60"" S"
"19079","Hamilton","42° 23' 1.22"" N","93° 42' 24.31"" S"
"19191","Winneshiek","43° 17' 25.67"" N","91° 50' 37.21"" S"
"19197","Wright","42° 43' 58.81"" N","93° 44' 6.50"" S"
"19181","Warren","41° 20' 3.46"" N","93° 33' 40.82"" S"
"19185","Wayne","40° 44' 22.03"" N","93° 19' 38.50"" S"
"19187","Webster","42° 25' 40.00"" N","94° 10' 54.14"" S"
"19171","Tama","42° 4' 46.72"" N","92° 31' 57.19"" S"
"19077","Guthrie","41° 41' 1.18"" N","94° 30' 3.66"" S"
"19081","Hancock","43° 4' 54.57"" N","93° 44' 3.38"" S"
"19089","Howard","43° 21' 24.23"" N","92° 19' 1.93"" S"
"19167","Sioux","43° 4' 57.40"" N","96° 10' 40.29"" S"
"19173","Taylor","40° 44' 14.42"" N","94° 41' 47.08"" S"
"19095","Iowa","41° 41' 10.47"" N","92° 3' 55.78"" S"
"19099","Jasper","41° 41' 9.57"" N","93° 3' 13.46"" S"
"19101","Jefferson","41° 1' 54.34"" N","91° 56' 56.01"" S"
"19105","Jones","42° 7' 16.13"" N","91° 7' 53.26"" S"
"19109","Kossuth","43° 12' 13.68"" N","94° 12' 24.18"" S"
"19057","Des Moines","40° 55' 23.15"" N","91° 10' 53.51"" S"
"19161","Sac","42° 23' 10.18"" N","95° 6' 19.04"" S"
"19137","Montgomery","41° 1' 48.51"" N","95° 9' 22.88"" S"
"19047","Crawford","42° 2' 13.82"" N","95° 22' 55.16"" S"
"19043","Clayton","42° 50' 40.47"" N","91° 20' 28.56"" S"
"19053","Decatur","40° 44' 15.53"" N","93° 47' 10.64"" S"
"19133","Monona","42° 3' 5.82"" N","95° 57' 35.21"" S"
"19071","Fremont","40° 44' 43.89"" N","95° 36' 16.71"" S"
"19023","Butler","42° 43' 53.35"" N","92° 47' 24.65"" S"
"19029","Cass","41° 19' 53.13"" N","94° 55' 40.21"" S"
"19115","Louisa","41° 13' 6.54"" N","91° 15' 33.94"" S"
"19125","Marion","41° 20' 3.73"" N","93° 5' 58.01"" S"
"19061","Dubuque","42° 28' 7.53"" N","90° 52' 56.72"" S"
"19067","Floyd","43° 3' 35.60"" N","92° 47' 20.42"" S"
"19139","Muscatine","41° 29' 2.24"" N","91° 6' 46.12"" S"
"19143","Osceola","43° 22' 42.90"" N","95° 37' 25.20"" S"
"19153","Polk","41° 41' 7.50"" N","93° 34' 24.58"" S"
"19157","Poweshiek","41° 41' 10.91"" N","92° 31' 53.21"" S"
"19005","Allamakee","43° 17' 2.90"" N","91° 22' 40.79"" S"
"19013","Black Hawk","42° 28' 12.06"" N","92° 18' 31.67"" S"
"19019","Buchanan","42° 28' 14.63"" N","91° 50' 16.18"" S"
"19021","Buena Vista","42° 44' 7.50"" N","95° 9' 4.09"" S"
"19037","Chickasaw","43° 3' 36.03"" N","92° 19' 3.63"" S"
"19149","Plymouth","42° 44' 16.25"" N","96° 12' 50.79"" S"
"19051","Davis","40° 44' 51.56"" N","92° 24' 34.99"" S"
"19011","Benton","42° 4' 48.06"" N","92° 3' 56.67"" S"
"19123","Mahaska","41° 20' 6.50"" N","92° 38' 27.27"" S"
