"nodeID","nodeLabel","latitude","longitude"
"21007","Ballard","37° 3' 30.37"" N","88° 59' 57.29"" S"
"21017","Bourbon","38° 12' 24.19"" N","84° 13' 1.71"" S"
"21031","Butler","37° 12' 26.11"" N","86° 40' 54.27"" S"
"21065","Estill","37° 41' 32.69"" N","83° 57' 51.50"" S"
"21069","Fleming","38° 22' 12.36"" N","83° 41' 47.67"" S"
"21093","Hardin","37° 41' 52.04"" N","85° 57' 48.79"" S"
"21099","Hart","37° 17' 59.67"" N","85° 53' 4.88"" S"
"21131","Leslie","37° 5' 38.32"" N","83° 22' 52.04"" S"
"21151","Madison","37° 43' 12.38"" N","84° 16' 40.71"" S"
"21155","Marion","37° 33' 9.20"" N","85° 16' 10.45"" S"
"21179","Nelson","37° 48' 18.29"" N","85° 27' 58.10"" S"
"21189","Owsley","37° 25' 9.08"" N","83° 40' 58.99"" S"
"21195","Pike","37° 28' 8.25"" N","82° 23' 45.51"" S"
"21217","Taylor","37° 21' 59.27"" N","85° 19' 40.40"" S"
"21237","Wolfe","37° 44' 21.60"" N","83° 29' 35.36"" S"
"21239","Woodford","38° 2' 32.29"" N","84° 44' 36.98"" S"
"21229","Washington","37° 45' 12.08"" N","85° 10' 29.30"" S"
"21231","Wayne","36° 48' 4.37"" N","84° 49' 43.27"" S"
"21005","Anderson","38° 0' 14.07"" N","84° 59' 27.77"" S"
"21025","Breathitt","37° 31' 17.80"" N","83° 19' 26.84"" S"
"21029","Bullitt","37° 58' 12.20"" N","85° 41' 45.22"" S"
"21033","Caldwell","37° 8' 43.28"" N","87° 52' 4.08"" S"
"21043","Carter","38° 19' 5.50"" N","83° 2' 58.16"" S"
"21049","Clark","37° 58' 14.88"" N","84° 8' 50.63"" S"
"21063","Elliott","38° 7' 4.38"" N","83° 5' 51.37"" S"
"21071","Floyd","37° 33' 25.14"" N","82° 44' 44.33"" S"
"21085","Grayson","37° 27' 39.09"" N","86° 20' 37.89"" S"
"21097","Harrison","38° 26' 30.44"" N","84° 19' 52.99"" S"
"21109","Jackson","37° 25' 10.96"" N","84° 0' 20.50"" S"
"21119","Knott","37° 21' 14.42"" N","82° 57' 14.81"" S"
"21125","Laurel","37° 6' 38.20"" N","84° 7' 4.22"" S"
"21135","Lewis","38° 31' 53.63"" N","83° 22' 40.95"" S"
"21139","Livingston","37° 12' 34.20"" N","88° 21' 13.21"" S"
"21153","Magoffin","37° 42' 23.02"" N","83° 3' 53.36"" S"
"21159","Martin","37° 48' 5.54"" N","82° 30' 47.54"" S"
"21167","Mercer","37° 48' 39.62"" N","84° 52' 28.04"" S"
"21181","Nicholas","38° 20' 7.93"" N","84° 0' 54.95"" S"
"21183","Ohio","37° 28' 41.14"" N","86° 50' 56.32"" S"
"21193","Perry","37° 14' 39.19"" N","83° 13' 16.63"" S"
"21197","Powell","37° 49' 52.09"" N","83° 49' 25.27"" S"
"21205","Rowan","38° 11' 46.30"" N","83° 25' 15.95"" S"
"21003","Allen","36° 45' 4.45"" N","86° 11' 25.45"" S"
"21051","Clay","37° 9' 34.63"" N","83° 42' 52.45"" S"
"21165","Menifee","37° 56' 28.96"" N","83° 35' 55.98"" S"
"21055","Crittenden","37° 21' 9.68"" N","88° 5' 50.11"" S"
"21027","Breckinridge","37° 46' 23.88"" N","86° 25' 45.60"" S"
"21147","McCreary","36° 44' 13.43"" N","84° 29' 3.49"" S"
"21175","Morgan","37° 55' 20.17"" N","83° 15' 32.04"" S"
"21079","Garrard","37° 38' 22.38"" N","84° 32' 15.05"" S"
"21123","Larue","37° 32' 44.74"" N","85° 41' 52.64"" S"
"21209","Scott","38° 17' 29.35"" N","84° 35' 2.14"" S"
"21235","Whitley","36° 45' 28.86"" N","84° 8' 42.30"" S"
"21203","Rockcastle","37° 21' 54.02"" N","84° 18' 57.66"" S"
"21011","Bath","38° 8' 41.76"" N","83° 44' 33.24"" S"
"21067","Fayette","38° 2' 32.17"" N","84° 27' 31.25"" S"
"21101","Henderson","37° 47' 44.95"" N","87° 34' 22.90"" S"
"21133","Letcher","37° 7' 16.19"" N","82° 51' 19.61"" S"
"21089","Greenup","38° 32' 44.26"" N","82° 55' 20.24"" S"
"21187","Owen","38° 31' 10.52"" N","84° 49' 40.85"" S"
"21075","Fulton","36° 33' 15.01"" N","89° 11' 14.50"" S"
"21083","Graves","36° 43' 22.56"" N","88° 39' 4.33"" S"
"21045","Casey","37° 19' 20.02"" N","84° 55' 41.82"" S"
"21113","Jessamine","37° 52' 19.35"" N","84° 34' 51.39"" S"
"21141","Logan","36° 51' 34.44"" N","86° 52' 44.21"" S"
"21201","Robertson","38° 31' 7.69"" N","84° 3' 7.30"" S"
"21041","Carroll","38° 40' 4.28"" N","85° 7' 24.85"" S"
"21207","Russell","36° 59' 27.78"" N","85° 3' 31.41"" S"
"21021","Boyle","37° 37' 27.83"" N","84° 52' 0.77"" S"
"21137","Lincoln","37° 27' 19.18"" N","84° 39' 38.93"" S"
"21001","Adair","37° 6' 14.83"" N","85° 16' 50.75"" S"
"21077","Gallatin","38° 45' 24.75"" N","84° 51' 33.79"" S"
"21171","Monroe","36° 42' 43.85"" N","85° 42' 59.28"" S"
"21103","Henry","38° 26' 54.47"" N","85° 7' 8.03"" S"
"21013","Bell","36° 43' 50.18"" N","83° 40' 27.25"" S"
"21173","Montgomery","38° 2' 0.53"" N","83° 54' 47.05"" S"
"21199","Pulaski","37° 6' 13.78"" N","84° 34' 38.15"" S"
"21227","Warren","36° 59' 36.75"" N","86° 25' 25.60"" S"
"21213","Simpson","36° 44' 31.01"" N","86° 34' 56.06"" S"
"21111","Jefferson","38° 11' 13.85"" N","85° 39' 33.21"" S"
"21129","Lee","37° 35' 41.27"" N","83° 42' 58.41"" S"
"21169","Metcalfe","36° 59' 25.66"" N","85° 37' 45.05"" S"
"21145","McCracken","37° 3' 14.20"" N","88° 42' 45.13"" S"
"21215","Spencer","38° 1' 57.13"" N","85° 19' 40.13"" S"
"21221","Trigg","36° 48' 22.80"" N","87° 52' 24.16"" S"
"21127","Lawrence","38° 4' 4.15"" N","82° 44' 5.01"" S"
"21039","Carlisle","36° 51' 11.58"" N","88° 58' 15.61"" S"
"21163","Meade","37° 58' 10.94"" N","86° 13' 0.30"" S"
"21191","Pendleton","38° 41' 44.11"" N","84° 21' 36.98"" S"
"21143","Lyon","37° 1' 8.62"" N","88° 4' 59.30"" S"
"21219","Todd","36° 50' 7.90"" N","87° 10' 45.38"" S"
"21073","Franklin","38° 14' 20.82"" N","84° 52' 37.54"" S"
"21047","Christian","36° 53' 38.27"" N","87° 29' 25.73"" S"
"21081","Grant","38° 38' 55.51"" N","84° 37' 28.32"" S"
"21091","Hancock","37° 50' 29.16"" N","86° 46' 40.14"" S"
"21211","Shelby","38° 12' 55.56"" N","85° 11' 41.18"" S"
"21015","Boone","38° 58' 11.18"" N","84° 43' 40.03"" S"
