"nodeID","nodeLabel","latitude","longitude"
"24003","Anne Arundel","39° 0' 22.57"" N","76° 36' 18.11"" S"
"24011","Caroline","38° 52' 17.48"" N","75° 49' 53.75"" S"
"24033","Prince George's","38° 49' 45.53"" N","76° 50' 50.16"" S"
"24043","Washington","39° 36' 13.09"" N","77° 48' 49.47"" S"
"24001","Allegany","39° 37' 17.60"" N","78° 41' 51.91"" S"
"24005","Baltimore","39° 27' 45.22"" N","76° 38' 20.91"" S"
"24017","Charles","38° 30' 26.18"" N","76° 59' 31.86"" S"
"24021","Frederick","39° 28' 19.53"" N","77° 23' 53.03"" S"
"24031","Montgomery","39° 8' 10.75"" N","77° 12' 14.73"" S"
"24045","Wicomico","38° 22' 24.05"" N","75° 37' 14.87"" S"
"24029","Kent","39° 15' 16.31"" N","76° 2' 24.47"" S"
"24047","Worcester","38° 12' 45.57"" N","75° 20' 3.39"" S"
"24023","Garrett","39° 31' 43.46"" N","79° 16' 23.35"" S"
"24015","Cecil","39° 34' 16.09"" N","75° 56' 26.19"" S"
"24039","Somerset","38° 6' 56.60"" N","75° 45' 6.65"" S"
"24027","Howard","39° 15' 2.57"" N","76° 55' 51.90"" S"
"24019","Dorchester","38° 28' 58.22"" N","76° 0' 45.77"" S"
"24025","Harford","39° 33' 39.69"" N","76° 19' 0.91"" S"
"24035","Queen Anne's","39° 4' 4.64"" N","76° 1' 14.08"" S"
"24009","Calvert","38° 32' 35.52"" N","76° 34' 6.66"" S"
"24510","Baltimore","39° 18' 18.24"" N","76° 36' 51.95"" S"
"24037","St. Mary's","38° 18' 8.43"" N","76° 36' 20.08"" S"
"24013","Carroll","39° 33' 46.01"" N","77° 1' 21.08"" S"
"24041","Talbot","38° 46' 16.65"" N","76° 5' 49.63"" S"
