"nodeID","nodeLabel","latitude","longitude"
"25001","Barnstable","41° 43' 27.12"" N","70° 17' 30.91"" S"
"25013","Hampden","42° 8' 7.13"" N","72° 37' 53.22"" S"
"25025","Suffolk","42° 20' 0.84"" N","71° 4' 15.35"" S"
"25007","Dukes","41° 23' 45.97"" N","70° 39' 0.31"" S"
"25017","Middlesex","42° 29' 7.45"" N","71° 23' 29.89"" S"
"25005","Bristol","41° 47' 48.86"" N","71° 6' 50.72"" S"
"25009","Essex","42° 40' 22.83"" N","70° 57' 6.88"" S"
"25003","Berkshire","42° 22' 12.53"" N","73° 12' 23.95"" S"
"25011","Franklin","42° 34' 59.27"" N","72° 35' 30.07"" S"
"25021","Norfolk","42° 9' 38.53"" N","71° 12' 40.64"" S"
"25019","Nantucket","41° 16' 59.35"" N","70° 4' 9.13"" S"
"25023","Plymouth","41° 57' 3.21"" N","70° 48' 40.58"" S"
"25015","Hampshire","42° 20' 24.94"" N","72° 39' 48.75"" S"
"25027","Worcester","42° 21' 3.73"" N","71° 54' 26.56"" S"
