"nodeID","nodeLabel","latitude","longitude"
"26033","Chippewa","46° 18' 19.98"" N","84° 34' 32.11"" S"
"26053","Gogebic","46° 24' 32.74"" N","89° 41' 35.19"" S"
"26063","Huron","43° 50' 0.25"" N","83° 1' 24.04"" S"
"26097","Mackinac","46° 4' 51.81"" N","85° 5' 9.72"" S"
"26115","Monroe","41° 55' 43.03"" N","83° 32' 15.47"" S"
"26041","Delta","45° 55' 8.42"" N","86° 55' 28.23"" S"
"26099","Macomb","42° 41' 43.22"" N","82° 55' 56.41"" S"
"26103","Marquette","46° 25' 50.90"" N","87° 38' 25.87"" S"
"26135","Oscoda","44° 40' 54.08"" N","84° 7' 47.16"" S"
"26147","St. Clair","42° 56' 1.59"" N","82° 40' 49.06"" S"
"26163","Wayne","42° 16' 54.44"" N","83° 16' 56.14"" S"
"26137","Otsego","45° 1' 16.73"" N","84° 35' 56.46"" S"
"26055","Grand Traverse","44° 40' 7.23"" N","85° 33' 38.07"" S"
"26007","Alpena","45° 2' 5.26"" N","83° 37' 33.06"" S"
"26003","Alger","46° 24' 31.90"" N","86° 36' 19.35"" S"
"26013","Baraga","46° 39' 44.72"" N","88° 21' 55.29"" S"
"26071","Iron","46° 12' 31.30"" N","88° 31' 49.31"" S"
"26089","Leelanau","44° 56' 18.24"" N","85° 48' 42.99"" S"
"26141","Presque Isle","45° 20' 24.95"" N","83° 55' 2.12"" S"
"26015","Barry","42° 35' 41.85"" N","85° 18' 32.24"" S"
"26159","Van Buren","42° 15' 4.49"" N","86° 1' 8.02"" S"
"26165","Wexford","44° 20' 17.70"" N","85° 34' 42.38"" S"
"26023","Branch","41° 54' 57.93"" N","85° 3' 32.49"" S"
"26027","Cass","41° 54' 55.13"" N","85° 59' 36.57"" S"
"26037","Clinton","42° 56' 36.90"" N","84° 36' 5.45"" S"
"26051","Gladwin","43° 59' 26.05"" N","84° 23' 17.82"" S"
"26061","Houghton","46° 53' 48.51"" N","88° 41' 18.63"" S"
"26065","Ingham","42° 35' 49.25"" N","84° 22' 24.76"" S"
"26017","Bay","43° 42' 27.98"" N","83° 59' 28.54"" S"
"26131","Ontonagon","46° 39' 51.48"" N","89° 18' 53.69"" S"
"26075","Jackson","42° 14' 54.42"" N","84° 25' 24.34"" S"
"26079","Kalkaska","44° 41' 4.51"" N","85° 5' 24.77"" S"
"26095","Luce","46° 28' 13.83"" N","85° 32' 39.96"" S"
"26133","Osceola","43° 59' 22.99"" N","85° 19' 31.02"" S"
"26143","Roscommon","44° 20' 7.74"" N","84° 36' 41.63"" S"
"26119","Montmorency","45° 1' 39.12"" N","84° 7' 38.04"" S"
"26149","St. Joseph","41° 54' 51.84"" N","85° 31' 39.97"" S"
"26153","Schoolcraft","46° 11' 46.45"" N","86° 11' 59.60"" S"
"26155","Shiawassee","42° 57' 13.10"" N","84° 8' 48.22"" S"
"26125","Oakland","42° 39' 36.94"" N","83° 23' 8.92"" S"
"26001","Alcona","44° 41' 7.32"" N","83° 35' 37.46"" S"
"26039","Crawford","44° 41' 0.87"" N","84° 36' 37.06"" S"
"26045","Eaton","42° 35' 45.59"" N","84° 50' 17.88"" S"
"26019","Benzie","44° 38' 19.31"" N","86° 0' 56.05"" S"
"26035","Clare","43° 59' 16.14"" N","84° 50' 52.30"" S"
"26009","Antrim","44° 59' 56.58"" N","85° 8' 24.64"" S"
"26011","Arenac","44° 3' 52.91"" N","83° 53' 38.75"" S"
"26117","Montcalm","43° 18' 39.44"" N","85° 9' 8.39"" S"
"26121","Muskegon","43° 17' 28.29"" N","86° 9' 6.63"" S"
"26101","Manistee","44° 19' 58.50"" N","86° 3' 24.80"" S"
"26077","Kalamazoo","42° 14' 43.37"" N","85° 31' 52.25"" S"
"26073","Isabella","43° 38' 25.91"" N","84° 50' 48.42"" S"
"26093","Livingston","42° 36' 10.20"" N","83° 54' 41.46"" S"
"26043","Dickinson","46° 0' 31.94"" N","87° 52' 12.93"" S"
"26057","Gratiot","43° 17' 33.55"" N","84° 36' 17.70"" S"
"26067","Ionia","42° 56' 42.06"" N","85° 4' 28.57"" S"
"26087","Lapeer","43° 5' 23.95"" N","83° 13' 18.50"" S"
"26091","Lenawee","41° 53' 42.29"" N","84° 3' 59.05"" S"
"26005","Allegan","42° 35' 28.62"" N","85° 53' 18.49"" S"
"26025","Calhoun","42° 14' 47.42"" N","85° 0' 20.08"" S"
"26031","Cheboygan","45° 26' 46.46"" N","84° 29' 59.30"" S"
"26123","Newaygo","43° 33' 14.04"" N","85° 48' 3.32"" S"
"26105","Mason","43° 59' 42.24"" N","86° 14' 59.86"" S"
"26151","Sanilac","43° 25' 24.06"" N","82° 49' 11.99"" S"
"26161","Washtenaw","42° 15' 11.47"" N","83° 50' 19.61"" S"
"26069","Iosco","44° 21' 20.84"" N","83° 38' 9.55"" S"
"26021","Berrien","41° 57' 16.09"" N","86° 24' 45.03"" S"
"26059","Hillsdale","41° 53' 15.67"" N","84° 35' 34.58"" S"
"26029","Charlevoix","45° 18' 6.58"" N","85° 7' 30.35"" S"
"26111","Midland","43° 38' 48.30"" N","84° 23' 17.33"" S"
"26047","Emmet","45° 31' 14.54"" N","84° 53' 26.96"" S"
"26113","Missaukee","44° 20' 14.30"" N","85° 5' 40.97"" S"
"26129","Ogemaw","44° 20' 5.59"" N","84° 7' 35.21"" S"
"26127","Oceana","43° 38' 27.08"" N","86° 16' 3.33"" S"
"26145","Saginaw","43° 20' 6.00"" N","84° 3' 11.78"" S"
"26107","Mecosta","43° 38' 26.49"" N","85° 19' 28.56"" S"
"26049","Genesee","43° 1' 17.66"" N","83° 42' 24.45"" S"
"26081","Kent","43° 1' 54.69"" N","85° 32' 57.43"" S"
"26085","Lake","43° 59' 24.10"" N","85° 48' 5.87"" S"
"26157","Tuscola","43° 27' 51.82"" N","83° 25' 1.27"" S"
"26109","Menominee","45° 34' 45.53"" N","87° 33' 24.56"" S"
"26083","Keweenaw","47° 37' 35.98"" N","88° 25' 50.29"" S"
"26139","Ottawa","42° 57' 35.00"" N","85° 59' 46.09"" S"
