"nodeID","nodeLabel","latitude","longitude"
"29057","Dade","37° 25' 55.37"" N","93° 51' 0.96"" S"
"29143","New Madrid","36° 35' 40.15"" N","89° 39' 7.02"" S"
"29157","Perry","37° 42' 25.85"" N","89° 49' 27.82"" S"
"29189","St. Louis","38° 38' 25.62"" N","90° 26' 36.76"" S"
"29199","Scotland","40° 27' 9.15"" N","92° 8' 49.31"" S"
"29207","Stoddard","36° 51' 19.69"" N","89° 56' 39.50"" S"
"29023","Butler","36° 42' 58.66"" N","90° 24' 23.36"" S"
"29029","Camden","38° 1' 37.32"" N","92° 45' 56.99"" S"
"29031","Cape Girardeau","37° 23' 2.01"" N","89° 41' 4.28"" S"
"29033","Carroll","39° 25' 36.95"" N","93° 30' 18.74"" S"
"29041","Chariton","39° 30' 54.00"" N","92° 57' 45.12"" S"
"29069","Dunklin","36° 16' 17.88"" N","90° 5' 27.87"" S"
"29087","Holt","40° 5' 39.55"" N","95° 12' 55.35"" S"
"29113","Lincoln","39° 3' 28.84"" N","90° 57' 36.20"" S"
"29159","Pettis","38° 43' 41.39"" N","93° 17' 6.46"" S"
"29183","St. Charles","38° 46' 55.11"" N","90° 40' 30.72"" S"
"29195","Saline","39° 8' 12.38"" N","93° 12' 7.02"" S"
"29197","Schuyler","40° 28' 12.79"" N","92° 31' 15.31"" S"
"29201","Scott","37° 3' 10.66"" N","89° 34' 6.69"" S"
"29019","Boone","38° 59' 25.23"" N","92° 18' 34.81"" S"
"29013","Bates","38° 15' 25.82"" N","94° 20' 23.93"" S"
"29095","Jackson","39° 0' 30.29"" N","94° 20' 46.26"" S"
"29227","Worth","40° 28' 44.83"" N","94° 25' 19.59"" S"
"29027","Callaway","38° 50' 7.31"" N","91° 55' 34.32"" S"
"29171","Putnam","40° 28' 44.51"" N","93° 0' 58.04"" S"
"29005","Atchison","40° 25' 50.84"" N","95° 25' 40.80"" S"
"29009","Barry","36° 42' 35.10"" N","93° 49' 44.56"" S"
"29203","Shannon","37° 9' 25.82"" N","91° 24' 1.79"" S"
"29133","Mississippi","36° 49' 40.65"" N","89° 17' 28.10"" S"
"29149","Oregon","36° 41' 11.73"" N","91° 24' 11.97"" S"
"29021","Buchanan","39° 39' 35.14"" N","94° 48' 21.49"" S"
"29035","Carter","36° 56' 28.55"" N","90° 57' 44.21"" S"
"29081","Harrison","40° 21' 16.22"" N","93° 59' 31.30"" S"
"29167","Polk","37° 36' 59.01"" N","93° 24' 1.83"" S"
"29085","Hickory","37° 56' 26.86"" N","93° 19' 14.93"" S"
"29173","Ralls","39° 31' 39.36"" N","91° 31' 19.74"" S"
"29011","Barton","37° 30' 8.39"" N","94° 20' 49.60"" S"
"29177","Ray","39° 21' 8.32"" N","93° 59' 23.81"" S"
"29017","Bollinger","37° 19' 18.89"" N","90° 1' 33.65"" S"
"29047","Clay","39° 18' 37.63"" N","94° 25' 15.39"" S"
"29105","Laclede","37° 39' 29.75"" N","92° 35' 24.66"" S"
"29109","Lawrence","37° 6' 22.74"" N","93° 49' 58.65"" S"
"29125","Maries","38° 9' 42.05"" N","91° 55' 29.59"" S"
"29223","Wayne","37° 6' 45.38"" N","90° 27' 41.05"" S"
"29510","St. Louis","38° 38' 8.87"" N","90° 14' 42.48"" S"
"29077","Greene","37° 15' 28.93"" N","93° 20' 31.10"" S"
"29001","Adair","40° 11' 26.01"" N","92° 36' 2.59"" S"
"29119","McDonald","36° 37' 43.40"" N","94° 20' 53.99"" S"
"29061","Daviess","39° 57' 38.47"" N","93° 59' 7.73"" S"
"29067","Douglas","36° 55' 57.90"" N","92° 29' 55.55"" S"
"29055","Crawford","37° 58' 34.23"" N","91° 18' 13.98"" S"
"29137","Monroe","39° 29' 43.64"" N","92° 0' 2.74"" S"
"29135","Moniteau","38° 37' 57.53"" N","92° 34' 59.55"" S"
"29221","Washington","37° 57' 41.48"" N","90° 52' 38.53"" S"
"29075","Gentry","40° 12' 43.05"" N","94° 24' 35.55"" S"
"29079","Grundy","40° 6' 49.93"" N","93° 33' 55.30"" S"
"29165","Platte","39° 22' 48.73"" N","94° 46' 25.25"" S"
"29225","Webster","37° 16' 50.76"" N","92° 52' 33.09"" S"
"29093","Iron","37° 33' 18.15"" N","90° 46' 23.24"" S"
"29111","Lewis","40° 5' 48.62"" N","91° 43' 19.48"" S"
"29025","Caldwell","39° 39' 20.62"" N","93° 58' 57.69"" S"
"29091","Howell","36° 46' 25.53"" N","91° 53' 11.62"" S"
"29181","Ripley","36° 39' 10.06"" N","90° 51' 49.67"" S"
"29107","Lafayette","39° 3' 56.12"" N","93° 47' 8.16"" S"
"29053","Cooper","38° 50' 36.69"" N","92° 48' 36.39"" S"
"29131","Miller","38° 12' 51.93"" N","92° 25' 41.69"" S"
"29039","Cedar","37° 43' 25.76"" N","93° 51' 23.56"" S"
"29051","Cole","38° 30' 19.25"" N","92° 16' 53.79"" S"
"29147","Nodaway","40° 21' 38.24"" N","94° 53' 0.02"" S"
"29151","Osage","38° 27' 37.09"" N","91° 51' 43.15"" S"
"29185","St. Clair","38° 2' 13.78"" N","93° 46' 33.38"" S"
"29083","Henry","38° 23' 6.52"" N","93° 47' 33.90"" S"
"29097","Jasper","37° 12' 12.84"" N","94° 20' 26.12"" S"
"29117","Livingston","39° 46' 55.30"" N","93° 32' 53.57"" S"
"29121","Macon","39° 49' 50.47"" N","92° 33' 52.30"" S"
"29139","Montgomery","38° 56' 28.66"" N","91° 28' 13.17"" S"
"29141","Morgan","38° 25' 24.74"" N","92° 53' 9.23"" S"
"29145","Newton","36° 54' 19.87"" N","94° 20' 21.27"" S"
"29205","Shelby","39° 47' 51.81"" N","92° 4' 35.89"" S"
"29211","Sullivan","40° 12' 37.97"" N","93° 6' 41.39"" S"
"29007","Audrain","39° 12' 57.10"" N","91° 50' 29.40"" S"
"29215","Texas","37° 19' 1.56"" N","91° 57' 53.85"" S"
"29219","Warren","38° 45' 52.37"" N","91° 9' 38.13"" S"
"29045","Clark","40° 24' 36.97"" N","91° 44' 17.71"" S"
"29073","Gasconade","38° 26' 26.15"" N","91° 30' 28.65"" S"
"29123","Madison","37° 28' 40.76"" N","90° 20' 42.09"" S"
"29187","St. Francois","37° 48' 36.49"" N","90° 28' 19.74"" S"
"29186","Ste. Genevieve","37° 53' 39.57"" N","90° 11' 40.10"" S"
"29229","Wright","37° 16' 12.11"" N","92° 28' 7.35"" S"
"29155","Pemiscot","36° 12' 40.56"" N","89° 47' 7.67"" S"
"29059","Dallas","37° 40' 48.85"" N","93° 1' 25.30"" S"
"29063","DeKalb","39° 53' 35.20"" N","94° 24' 17.00"" S"
"29049","Clinton","39° 36' 6.22"" N","94° 24' 16.51"" S"
"29217","Vernon","37° 51' 1.82"" N","94° 20' 32.73"" S"
"29037","Cass","38° 38' 48.89"" N","94° 21' 17.39"" S"
"29209","Stone","36° 44' 48.07"" N","93° 27' 21.41"" S"
"29163","Pike","39° 20' 37.70"" N","91° 10' 16.73"" S"
"29169","Pulaski","37° 49' 28.06"" N","92° 12' 27.32"" S"
"29175","Randolph","39° 26' 24.20"" N","92° 29' 49.37"" S"
