"nodeID","nodeLabel","latitude","longitude"
"38017","Cass","46° 55' 57.69"" N","97° 14' 52.65"" S"
"38037","Grant","46° 21' 28.70"" N","101° 38' 21.72"" S"
"38085","Sioux","46° 6' 46.61"" N","101° 2' 28.66"" S"
"38099","Walsh","48° 22' 11.15"" N","97° 43' 16.72"" S"
"38005","Benson","48° 4' 9.73"" N","99° 21' 54.75"" S"
"38033","Golden Valley","46° 56' 22.15"" N","103° 50' 47.80"" S"
"38053","McKenzie","47° 44' 23.81"" N","103° 23' 47.18"" S"
"38059","Morton","46° 42' 58.27"" N","101° 16' 47.33"" S"
"38067","Pembina","48° 46' 2.60"" N","97° 33' 6.24"" S"
"38071","Ramsey","48° 16' 7.38"" N","98° 43' 13.06"" S"
"38003","Barnes","46° 56' 8.68"" N","98° 4' 17.38"" S"
"38055","McLean","47° 36' 26.43"" N","101° 19' 14.62"" S"
"38097","Traill","47° 27' 14.50"" N","97° 9' 41.65"" S"
"38035","Grand Forks","47° 55' 18.31"" N","97° 27' 24.25"" S"
"38103","Wells","47° 35' 14.32"" N","99° 39' 39.24"" S"
"38045","LaMoure","46° 27' 25.50"" N","98° 32' 7.54"" S"
"38051","McIntosh","46° 6' 43.01"" N","99° 26' 28.32"" S"
"38095","Towner","48° 41' 5.97"" N","99° 14' 44.46"" S"
"38101","Ward","48° 13' 15.95"" N","101° 32' 25.27"" S"
"38027","Eddy","47° 43' 3.71"" N","98° 54' 5.74"" S"
"38007","Billings","47° 1' 22.18"" N","103° 22' 35.70"" S"
"38065","Oliver","47° 6' 55.53"" N","101° 20' 25.47"" S"
"38089","Stark","46° 48' 39.43"" N","102° 39' 18.66"" S"
"38061","Mountrail","48° 12' 2.76"" N","102° 21' 18.86"" S"
"38105","Williams","48° 20' 37.10"" N","103° 28' 49.72"" S"
"38087","Slope","46° 26' 50.93"" N","103° 27' 36.02"" S"
"38023","Divide","48° 48' 54.55"" N","103° 29' 13.94"" S"
"38001","Adams","46° 5' 49.35"" N","102° 31' 42.01"" S"
"38015","Burleigh","46° 58' 36.88"" N","100° 28' 7.22"" S"
"38039","Griggs","47° 27' 25.51"" N","98° 14' 13.23"" S"
"38029","Emmons","46° 17' 4.18"" N","100° 14' 19.30"" S"
"38057","Mercer","47° 18' 32.45"" N","101° 49' 54.55"" S"
"38043","Kidder","46° 58' 46.35"" N","99° 46' 47.94"" S"
"38019","Cavalier","48° 46' 20.66"" N","98° 27' 53.26"" S"
"38021","Dickey","46° 6' 37.30"" N","98° 30' 16.79"" S"
"38083","Sheridan","47° 34' 30.48"" N","100° 20' 44.63"" S"
"38009","Bottineau","48° 47' 33.20"" N","100° 49' 59.86"" S"
"38011","Bowman","46° 6' 46.32"" N","103° 31' 14.44"" S"
"38013","Burke","48° 47' 27.30"" N","102° 31' 6.49"" S"
"38069","Pierce","48° 14' 56.00"" N","99° 58' 20.12"" S"
"38041","Hettinger","46° 25' 57.23"" N","102° 27' 36.60"" S"
"38031","Foster","47° 27' 25.82"" N","98° 52' 58.72"" S"
"38079","Rolette","48° 46' 20.21"" N","99° 50' 27.23"" S"
"38047","Logan","46° 27' 26.83"" N","99° 28' 38.72"" S"
"38049","McHenry","48° 14' 1.74"" N","100° 38' 9.39"" S"
"38073","Ransom","46° 27' 22.27"" N","97° 39' 26.87"" S"
"38025","Dunn","47° 21' 22.35"" N","102° 37' 5.73"" S"
"38063","Nelson","47° 55' 17.10"" N","98° 11' 31.71"" S"
"38081","Sargent","46° 6' 28.27"" N","97° 37' 49.95"" S"
"38077","Richland","46° 15' 50.64"" N","96° 56' 52.84"" S"
"38091","Steele","47° 27' 21.49"" N","97° 43' 28.81"" S"
"38075","Renville","48° 43' 7.37"" N","101° 39' 25.47"" S"
"38093","Stutsman","46° 58' 43.87"" N","98° 57' 31.45"" S"
