"nodeID","nodeLabel","latitude","longitude"
"48011","Armstrong","34° 57' 53.51"" N","101° 21' 26.61"" S"
"48025","Bee","28° 25' 2.16"" N","97° 44' 27.33"" S"
"48035","Bosque","31° 54' 0.97"" N","97° 38' 3.13"" S"
"48053","Burnet","30° 47' 17.39"" N","98° 10' 57.14"" S"
"48055","Caldwell","29° 50' 13.42"" N","97° 37' 11.81"" S"
"48083","Coleman","31° 46' 22.61"" N","99° 27' 12.98"" S"
"48103","Crane","31° 25' 42.76"" N","102° 30' 55.71"" S"
"48141","El Paso","31° 46' 6.26"" N","106° 14' 4.39"" S"
"48151","Fisher","32° 44' 33.86"" N","100° 24' 7.88"" S"
"48161","Freestone","31° 42' 17.37"" N","96° 8' 56.56"" S"
"48167","Galveston","29° 23' 35.24"" N","94° 57' 46.69"" S"
"48199","Hardin","30° 19' 56.48"" N","94° 23' 24.83"" S"
"48213","Henderson","32° 12' 43.24"" N","95° 51' 12.65"" S"
"48229","Hudspeth","31° 27' 19.38"" N","105° 23' 8.82"" S"
"48241","Jasper","30° 44' 36.09"" N","94° 1' 29.83"" S"
"48245","Jefferson","29° 53' 2.15"" N","94° 9' 46.34"" S"
"48261","Kenedy","26° 55' 41.98"" N","97° 42' 6.28"" S"
"48289","Leon","31° 17' 47.06"" N","95° 59' 45.20"" S"
"48317","Martin","32° 18' 21.34"" N","101° 57' 4.62"" S"
"48333","Mills","31° 29' 42.58"" N","98° 35' 43.39"" S"
"48347","Nacogdoches","31° 36' 57.25"" N","94° 36' 56.24"" S"
"48361","Orange","30° 7' 16.64"" N","93° 53' 37.90"" S"
"48371","Pecos","30° 46' 51.18"" N","102° 43' 24.19"" S"
"48395","Robertson","31° 1' 36.88"" N","96° 30' 46.31"" S"
"48423","Smith","32° 22' 29.79"" N","95° 16' 8.46"" S"
"48427","Starr","26° 33' 43.47"" N","98° 44' 19.50"" S"
"48457","Tyler","30° 46' 15.93"" N","94° 22' 35.23"" S"
"48471","Walker","30° 44' 20.26"" N","95° 34' 20.22"" S"
"48475","Ward","31° 30' 34.56"" N","103° 6' 8.63"" S"
"48477","Washington","30° 12' 52.44"" N","96° 24' 12.59"" S"
"48499","Wood","32° 47' 10.89"" N","95° 22' 55.23"" S"
"48007","Aransas","28° 7' 29.22"" N","96° 59' 36.68"" S"
"48411","San Saba","31° 9' 18.32"" N","98° 49' 2.75"" S"
"48429","Stephens","32° 44' 8.83"" N","98° 50' 10.26"" S"
"48449","Titus","33° 12' 59.40"" N","94° 57' 56.41"" S"
"48453","Travis","30° 20' 4.80"" N","97° 46' 54.52"" S"
"48455","Trinity","31° 5' 19.57"" N","95° 8' 8.61"" S"
"48467","Van Zandt","32° 33' 49.01"" N","95° 50' 10.98"" S"
"48473","Waller","30° 0' 38.25"" N","95° 59' 15.50"" S"
"48479","Webb","27° 45' 39.49"" N","99° 19' 50.82"" S"
"48001","Anderson","31° 48' 47.61"" N","95° 39' 8.50"" S"
"48005","Angelina","31° 15' 17.17"" N","94° 36' 41.66"" S"
"48029","Bexar","29° 26' 55.70"" N","98° 31' 11.79"" S"
"48037","Bowie","33° 26' 44.96"" N","94° 25' 23.71"" S"
"48043","Brewster","29° 48' 39.10"" N","103° 15' 5.98"" S"
"48051","Burleson","30° 29' 32.77"" N","96° 37' 16.80"" S"
"48057","Calhoun","28° 30' 23.66"" N","96° 36' 7.43"" S"
"48067","Cass","33° 4' 39.05"" N","94° 20' 36.84"" S"
"48091","Comal","29° 48' 29.42"" N","98° 16' 41.71"" S"
"48109","Culberson","31° 26' 46.42"" N","104° 31' 3.73"" S"
"48119","Delta","33° 23' 10.72"" N","95° 40' 20.58"" S"
"48173","Glasscock","31° 52' 9.81"" N","101° 31' 14.77"" S"
"48187","Guadalupe","29° 34' 58.86"" N","97° 56' 55.11"" S"
