"nodeID_from","nodeID_to","weight","state"
"50001","50003",187525,"Vermont"
"50001","50005",252853,"Vermont"
"50001","50007",1189208,"Vermont"
"50001","50009",166712,"Vermont"
"50001","50011",727230,"Vermont"
"50001","50013",746908,"Vermont"
"50001","50015",429342,"Vermont"
"50001","50017",418856,"Vermont"
"50001","50019",279967,"Vermont"
"50001","50021",1940054,"Vermont"
"50001","50023",575205,"Vermont"
"50001","50025",142543,"Vermont"
"50001","50027",341222,"Vermont"
"50003","50005",99360,"Vermont"
"50003","50007",172703,"Vermont"
"50003","50009",83342,"Vermont"
"50003","50011",112424,"Vermont"
"50003","50013",128616,"Vermont"
"50003","50015",123114,"Vermont"
"50003","50017",121869,"Vermont"
"50003","50019",102090,"Vermont"
"50003","50021",893924,"Vermont"
"50003","50023",134365,"Vermont"
"50003","50025",943194,"Vermont"
"50003","50027",240536,"Vermont"
"50005","50007",370990,"Vermont"
"50005","50009",6970801,"Vermont"
"50005","50011",445563,"Vermont"
"50005","50013",319841,"Vermont"
"50005","50015",1649411,"Vermont"
"50005","50017",1625586,"Vermont"
"50005","50019",2986990,"Vermont"
"50005","50021",209751,"Vermont"
"50005","50023",1264703,"Vermont"
"50005","50025",170954,"Vermont"
"50005","50027",321616,"Vermont"
"50007","50009",204025,"Vermont"
"50007","50011",1695136,"Vermont"
"50007","50013",1958762,"Vermont"
"50007","50015",994752,"Vermont"
"50007","50017",411414,"Vermont"
"50007","50019",429503,"Vermont"
"50007","50021",370081,"Vermont"
"50007","50023",835430,"Vermont"
"50007","50025",195036,"Vermont"
"50007","50027",248011,"Vermont"
"50009","50011",290366,"Vermont"
"50009","50013",209169,"Vermont"
"50009","50015",524054,"Vermont"
"50009","50017",508068,"Vermont"
"50009","50019",4504115,"Vermont"
"50009","50021",131930,"Vermont"
"50009","50023",383974,"Vermont"
"50009","50025",124276,"Vermont"
"50009","50027",212555,"Vermont"
"50011","50013",4687661,"Vermont"
"50011","50015",1504535,"Vermont"
"50011","50017",359368,"Vermont"
"50011","50019",925568,"Vermont"
"50011","50021",321139,"Vermont"
"50011","50023",522697,"Vermont"
"50011","50025",114990,"Vermont"
"50011","50027",174395,"Vermont"
"50013","50015",818646,"Vermont"
"50013","50017",398767,"Vermont"
"50013","50019",493180,"Vermont"
"50013","50021",261652,"Vermont"
"50013","50023",647455,"Vermont"
"50013","50025",133992,"Vermont"
"50013","50027",192459,"Vermont"
"50015","50017",653997,"Vermont"
"50015","50019",2170639,"Vermont"
"50015","50021",244403,"Vermont"
"50015","50023",1559118,"Vermont"
"50015","50025",137075,"Vermont"
"50015","50027",237154,"Vermont"
"50017","50019",538347,"Vermont"
"50017","50021",385835,"Vermont"
"50017","50023",3750095,"Vermont"
"50017","50025",198944,"Vermont"
"50017","50027",2082982,"Vermont"
"50019","50021",206934,"Vermont"
"50019","50023",699823,"Vermont"
"50019","50025",141574,"Vermont"
"50019","50027",250279,"Vermont"
"50021","50023",306991,"Vermont"
"50021","50025",304833,"Vermont"
"50021","50027",804570,"Vermont"
"50023","50025",178649,"Vermont"
"50023","50027",442913,"Vermont"
"50025","50027",919558,"Vermont"
