"nodeID","nodeLabel","latitude","longitude"
"02016","Aleutians West","52° 57' 17.65"" N","173° 49' 21.49"" S"
"02130","Ketchikan Gateway","55° 34' 56.94"" N","130° 55' 37.98"" S"
"02180","Nome","64° 54' 47.53"" N","164° 1' 8.60"" S"
"02282","Yakutat","59° 53' 41.12"" N","140° 19' 29.05"" S"
"02090","Fairbanks North Star","64° 48' 36.35"" N","146° 34' 0.44"" S"
"02158","Kusilvak","62° 9' 7.35"" N","163° 23' 48.43"" S"
"02240","Southeast Fairbanks","63° 51' 53.57"" N","143° 12' 40.46"" S"
"02050","Bethel","60° 56' 23.20"" N","159° 54' 42.90"" S"
"02195","Petersburg","57° 7' 0.58"" N","132° 56' 0.52"" S"
"02100","Haines","59° 7' 2.17"" N","135° 29' 43.66"" S"
"02170","Matanuska-Susitna","62° 19' 4.41"" N","149° 35' 30.34"" S"
"02290","Yukon-Koyukuk","65° 29' 57.16"" N","151° 50' 56.67"" S"
"02070","Dillingham","59° 47' 35.10"" N","158° 15' 13.62"" S"
"02110","Juneau","58° 27' 12.31"" N","134° 10' 10.35"" S"
"02150","Kodiak Island","57° 40' 23.73"" N","153° 47' 16.01"" S"
"02220","Sitka","57° 14' 8.63"" N","135° 18' 30.86"" S"
"02261","Valdez-Cordova","61° 33' 16.22"" N","144° 28' 24.45"" S"
"02020","Anchorage","61° 9' 2.12"" N","149° 6' 29.81"" S"
"02060","Bristol Bay","58° 44' 38.49"" N","156° 42' 0.33"" S"
"02068","Denali","63° 40' 31.91"" N","150° 2' 1.89"" S"
"02188","Northwest Arctic","67° 3' 5.38"" N","159° 44' 26.00"" S"
"02230","Skagway","59° 33' 45.91"" N","135° 20' 7.21"" S"
"02275","Wrangell","56° 19' 51.41"" N","132° 1' 20.32"" S"
"02013","Aleutians East","55° 22' 10.90"" N","162° 1' 23.40"" S"
"02185","North Slope","69° 23' 57.77"" N","153° 28' 37.83"" S"
"02122","Kenai Peninsula","60° 15' 42.59"" N","151° 34' 46.26"" S"
"02164","Lake and Peninsula","58° 36' 26.36"" N","156° 17' 26.89"" S"
"02198","Prince of Wales-Hyder","55° 47' 32.33"" N","133° 0' 12.90"" S"
"02105","Hoonah-Angoon","58° 17' 10.56"" N","135° 36' 55.45"" S"
