"nodeID","nodeLabel","latitude","longitude"
"05011","Bradley","33° 27' 58.47"" N","92° 9' 44.73"" S"
"05015","Carroll","36° 20' 27.56"" N","93° 32' 17.15"" S"
"05019","Clark","34° 3' 3.05"" N","93° 10' 34.08"" S"
"05025","Cleveland","33° 53' 53.95"" N","92° 11' 6.49"" S"
"05063","Independence","35° 44' 29.44"" N","91° 34' 10.99"" S"
"05067","Jackson","35° 35' 56.58"" N","91° 12' 52.88"" S"
"05121","Randolph","36° 20' 29.16"" N","91° 1' 39.52"" S"
"05061","Howard","34° 5' 19.09"" N","93° 59' 35.97"" S"
"05093","Mississippi","35° 45' 49.05"" N","90° 3' 15.91"" S"
"05095","Monroe","34° 40' 39.26"" N","91° 12' 13.51"" S"
"05099","Nevada","33° 39' 49.72"" N","93° 18' 25.73"" S"
"05103","Ouachita","33° 35' 35.64"" N","92° 52' 55.17"" S"
"05109","Pike","34° 9' 48.41"" N","93° 39' 22.28"" S"
"05117","Prairie","34° 49' 46.45"" N","91° 33' 9.96"" S"
"05133","Sevier","33° 59' 49.50"" N","94° 14' 27.73"" S"
"05147","Woodruff","35° 11' 10.23"" N","91° 14' 34.97"" S"
"05003","Ashley","33° 11' 28.35"" N","91° 46' 6.65"" S"
"05007","Benton","36° 20' 19.63"" N","94° 15' 22.66"" S"
"05013","Calhoun","33° 33' 28.42"" N","92° 30' 10.99"" S"
"05045","Faulkner","35° 8' 48.67"" N","92° 19' 55.67"" S"
"05039","Dallas","33° 58' 11.20"" N","92° 39' 15.87"" S"
"05001","Arkansas","34° 17' 26.33"" N","91° 22' 28.97"" S"
"05029","Conway","35° 15' 43.74"" N","92° 42' 5.06"" S"
"05057","Hempstead","33° 44' 6.58"" N","93° 40' 6.46"" S"
"05041","Desha","33° 49' 59.26"" N","91° 15' 15.06"" S"
"05119","Pulaski","34° 46' 11.54"" N","92° 18' 41.82"" S"
"05073","Lafayette","33° 14' 26.79"" N","93° 36' 25.85"" S"
"05085","Lonoke","34° 45' 14.43"" N","91° 53' 18.75"" S"
"05145","White","35° 15' 22.48"" N","91° 44' 44.46"" S"
"05017","Chicot","33° 16' 1.20"" N","91° 17' 38.26"" S"
"05053","Grant","34° 17' 23.78"" N","92° 25' 24.99"" S"
"05069","Jefferson","34° 16' 7.50"" N","91° 55' 53.21"" S"
"05107","Phillips","34° 25' 41.08"" N","90° 50' 53.69"" S"
"05043","Drew","33° 35' 21.84"" N","91° 43' 12.06"" S"
"05049","Fulton","36° 22' 54.32"" N","91° 49' 5.73"" S"
"05135","Sharp","36° 9' 39.31"" N","91° 28' 48.03"" S"
"05101","Newton","35° 55' 11.70"" N","93° 13' 4.43"" S"
"05105","Perry","34° 56' 50.84"" N","92° 55' 53.99"" S"
"05115","Pope","35° 26' 50.59"" N","93° 2' 3.15"" S"
"05005","Baxter","36° 17' 13.28"" N","92° 20' 12.92"" S"
"05009","Boone","36° 18' 30.58"" N","93° 5' 29.54"" S"
"05077","Lee","34° 46' 50.57"" N","90° 46' 55.64"" S"
"05129","Searcy","35° 54' 39.15"" N","92° 41' 58.32"" S"
"05149","Yell","35° 0' 9.09"" N","93° 24' 41.34"" S"
"05021","Clay","36° 22' 6.08"" N","90° 25' 2.93"" S"
"05023","Cleburne","35° 32' 16.98"" N","92° 1' 36.31"" S"
"05037","Cross","35° 17' 44.61"" N","90° 46' 16.37"" S"
"05051","Garland","34° 34' 35.87"" N","93° 9' 1.38"" S"
"05089","Marion","36° 16' 5.69"" N","92° 41' 2.89"" S"
"05113","Polk","34° 29' 8.89"" N","94° 13' 41.55"" S"
"05055","Greene","36° 7' 3.28"" N","90° 33' 32.44"" S"
"05065","Izard","36° 5' 41.35"" N","91° 54' 48.12"" S"
"05071","Johnson","35° 34' 12.04"" N","93° 27' 35.66"" S"
"05083","Logan","35° 12' 55.18"" N","93° 42' 59.94"" S"
"05031","Craighead","35° 49' 51.21"" N","90° 37' 58.46"" S"
"05123","St. Francis","35° 1' 19.62"" N","90° 44' 52.09"" S"
"05141","Van Buren","35° 34' 50.25"" N","92° 30' 56.21"" S"
"05047","Franklin","35° 30' 43.62"" N","93° 53' 26.83"" S"
"05137","Stone","35° 51' 35.47"" N","92° 9' 23.87"" S"
"05111","Poinsett","35° 34' 26.91"" N","90° 39' 46.69"" S"
"05027","Columbia","33° 12' 51.18"" N","93° 13' 38.40"" S"
"05125","Saline","34° 38' 47.72"" N","92° 40' 34.30"" S"
"05079","Lincoln","33° 57' 26.72"" N","91° 44' 0.22"" S"
"05127","Scott","34° 51' 38.98"" N","94° 3' 47.79"" S"
"05035","Crittenden","35° 12' 27.76"" N","90° 18' 31.86"" S"
"05097","Montgomery","34° 32' 19.51"" N","93° 39' 34.42"" S"
"05091","Miller","33° 18' 42.73"" N","93° 53' 29.75"" S"
"05087","Madison","36° 0' 38.75"" N","93° 43' 28.34"" S"
"05033","Crawford","35° 35' 20.43"" N","94° 14' 34.28"" S"
"05081","Little River","33° 42' 1.89"" N","94° 14' 3.11"" S"
"05139","Union","33° 10' 17.11"" N","92° 35' 49.64"" S"
"05059","Hot Spring","34° 19' 3.70"" N","92° 56' 45.33"" S"
"05143","Washington","35° 58' 44.29"" N","94° 12' 56.41"" S"
"05075","Lawrence","36° 2' 28.41"" N","91° 6' 25.39"" S"
"05131","Sebastian","35° 11' 58.26"" N","94° 16' 27.36"" S"
