"nodeID","nodeLabel","latitude","longitude"
"08013","Boulder","40° 5' 32.93"" N","105° 21' 27.85"" S"
"08029","Delta","38° 51' 41.03"" N","107° 51' 47.55"" S"
"08049","Grand","40° 6' 9.18"" N","106° 7' 5.22"" S"
"08077","Mesa","39° 1' 5.57"" N","108° 28' 3.66"" S"
"08083","Montezuma","37° 20' 18.43"" N","108° 35' 48.94"" S"
"08091","Ouray","38° 9' 19.32"" N","107° 46' 8.75"" S"
"08019","Clear Creek","39° 41' 21.08"" N","105° 38' 39.65"" S"
"08023","Costilla","37° 16' 40.27"" N","105° 25' 42.18"" S"
"08031","Denver","39° 45' 43.68"" N","104° 52' 33.99"" S"
"08037","Eagle","39° 37' 39.92"" N","106° 41' 42.75"" S"
"08055","Huerfano","37° 41' 4.78"" N","104° 57' 37.93"" S"
"08065","Lake","39° 12' 8.72"" N","106° 20' 41.46"" S"
"08071","Las Animas","37° 18' 59.69"" N","104° 2' 20.57"" S"
"08093","Park","39° 7' 7.54"" N","105° 43' 1.14"" S"
"08105","Rio Grande","37° 34' 57.13"" N","106° 22' 59.43"" S"
"08113","San Miguel","38° 0' 15.24"" N","108° 24' 19.81"" S"
"08043","Fremont","38° 28' 23.15"" N","105° 26' 22.47"" S"
"08097","Pitkin","39° 13' 2.02"" N","106° 54' 59.31"" S"
"08035","Douglas","39° 19' 46.56"" N","104° 55' 46.89"" S"
"08027","Custer","38° 6' 31.34"" N","105° 22' 2.87"" S"
"08051","Gunnison","38° 39' 59.02"" N","107° 1' 54.61"" S"
"08111","San Juan","37° 45' 50.40"" N","107° 40' 34.45"" S"
"08005","Arapahoe","39° 39' 1.14"" N","104° 20' 21.42"" S"
"08033","Dolores","37° 45' 7.56"" N","108° 31' 2.81"" S"
"08069","Larimer","40° 39' 58.22"" N","105° 27' 38.68"" S"
"08117","Summit","39° 38' 2.27"" N","106° 6' 57.70"" S"
"08001","Adams","39° 52' 27.00"" N","104° 20' 15.86"" S"
"08021","Conejos","37° 12' 2.97"" N","106° 11' 29.30"" S"
"08039","Elbert","39° 17' 11.30"" N","104° 8' 7.83"" S"
"08059","Jefferson","39° 35' 9.17"" N","105° 15' 2.31"" S"
"08073","Lincoln","38° 59' 13.13"" N","103° 30' 52.52"" S"
"08101","Pueblo","38° 10' 24.03"" N","104° 30' 45.59"" S"
"08121","Washington","39° 58' 13.32"" N","103° 12' 5.91"" S"
"08125","Yuma","40° 0' 8.02"" N","102° 25' 27.39"" S"
"08003","Alamosa","37° 34' 22.37"" N","105° 47' 18.54"" S"
"08015","Chaffee","38° 44' 48.16"" N","106° 11' 37.77"" S"
"08053","Hinsdale","37° 49' 15.06"" N","107° 18' 1.28"" S"
"08009","Baca","37° 19' 8.83"" N","102° 33' 37.36"" S"
"08011","Bent","37° 57' 17.30"" N","103° 4' 18.18"" S"
"08017","Cheyenne","38° 49' 41.53"" N","102° 36' 12.68"" S"
"08115","Sedgwick","40° 52' 33.52"" N","102° 21' 6.61"" S"
"08014","Broomfield","39° 57' 14.75"" N","105° 3' 9.92"" S"
"08099","Prowers","37° 57' 17.76"" N","102° 23' 36.11"" S"
"08041","El Paso","38° 49' 55.22"" N","104° 31' 31.35"" S"
"08047","Gilpin","39° 51' 27.21"" N","105° 31' 20.93"" S"
"08089","Otero","37° 54' 8.76"" N","103° 42' 59.81"" S"
"08103","Rio Blanco","39° 58' 50.59"" N","108° 13' 4.12"" S"
"08109","Saguache","38° 4' 50.66"" N","106° 16' 51.00"" S"
"08119","Teller","38° 52' 54.95"" N","105° 9' 42.08"" S"
"08081","Moffat","40° 37' 7.35"" N","108° 12' 27.29"" S"
"08085","Montrose","38° 24' 9.85"" N","108° 16' 12.48"" S"
"08061","Kiowa","38° 25' 59.75"" N","102° 44' 25.54"" S"
"08075","Logan","40° 43' 28.51"" N","103° 6' 36.34"" S"
"08007","Archuleta","37° 11' 37.12"" N","107° 2' 53.30"" S"
"08123","Weld","40° 33' 15.22"" N","104° 23' 37.31"" S"
"08107","Routt","40° 29' 2.91"" N","106° 59' 26.98"" S"
"08087","Morgan","40° 15' 44.92"" N","103° 48' 35.01"" S"
"08063","Kit Carson","39° 18' 20.20"" N","102° 36' 10.70"" S"
"08045","Garfield","39° 36' 1.25"" N","107° 54' 19.12"" S"
"08025","Crowley","38° 19' 35.45"" N","103° 47' 4.14"" S"
"08067","La Plata","37° 17' 10.78"" N","107° 50' 37.04"" S"
"08095","Phillips","40° 35' 38.43"" N","102° 21' 27.36"" S"
"08057","Jackson","40° 39' 58.22"" N","106° 20' 32.57"" S"
"08079","Mineral","37° 40' 7.25"" N","106° 55' 26.72"" S"
