"nodeID_from","nodeID_to","weight","state"
"09001","09003",46705,"Connecticut"
"09001","09005",130273,"Connecticut"
"09001","09007",56373,"Connecticut"
"09001","09009",168838,"Connecticut"
"09001","09011",28240,"Connecticut"
"09001","09013",39240,"Connecticut"
"09001","09015",16288,"Connecticut"
"09003","09005",188131,"Connecticut"
"09003","09007",293928,"Connecticut"
"09003","09009",139202,"Connecticut"
"09003","09011",97191,"Connecticut"
"09003","09013",380141,"Connecticut"
"09003","09015",83132,"Connecticut"
"09005","09007",126090,"Connecticut"
"09005","09009",241008,"Connecticut"
"09005","09011",53599,"Connecticut"
"09005","09013",90021,"Connecticut"
"09005","09015",38870,"Connecticut"
"09007","09009",273013,"Connecticut"
"09007","09011",292608,"Connecticut"
"09007","09013",230513,"Connecticut"
"09007","09015",109853,"Connecticut"
"09009","09011",68480,"Connecticut"
"09009","09013",71965,"Connecticut"
"09009","09015",36895,"Connecticut"
"09011","09013",217907,"Connecticut"
"09011","09015",589012,"Connecticut"
"09013","09015",526582,"Connecticut"
