"nodeID","nodeLabel","latitude","longitude"
"13009","Baldwin","33° 4' 9.33"" N","83° 14' 58.33"" S"
"13027","Brooks","30° 50' 30.78"" N","83° 34' 48.68"" S"
"13103","Effingham","32° 22' 1.88"" N","81° 20' 28.66"" S"
"13121","Fulton","33° 47' 23.69"" N","84° 28' 3.37"" S"
"13141","Hancock","33° 16' 13.46"" N","83° 0' 2.62"" S"
"13149","Heard","33° 17' 49.23"" N","85° 7' 41.98"" S"
"13179","Liberty","31° 49' 41.00"" N","81° 29' 39.81"" S"
"13183","Long","31° 45' 8.92"" N","81° 44' 43.95"" S"
"13189","McDuffie","33° 28' 58.04"" N","82° 28' 52.61"" S"
"13209","Montgomery","32° 10' 23.86"" N","82° 32' 5.20"" S"
"13229","Pierce","31° 21' 31.50"" N","82° 12' 45.94"" S"
"13267","Tattnall","32° 2' 44.38"" N","82° 3' 28.91"" S"
"13271","Telfair","31° 55' 47.27"" N","82° 56' 20.56"" S"
"13291","Union","34° 50' 2.52"" N","83° 59' 26.56"" S"
"13305","Wayne","31° 33' 4.91"" N","81° 54' 59.68"" S"
"13319","Wilkinson","32° 48' 8.38"" N","83° 10' 16.32"" S"
"13283","Treutlen","32° 24' 13.97"" N","82° 34' 2.34"" S"
"13289","Twiggs","32° 40' 1.65"" N","83° 25' 37.41"" S"
"13313","Whitfield","34° 48' 19.88"" N","84° 58' 2.20"" S"
"13317","Wilkes","33° 46' 54.82"" N","82° 44' 35.40"" S"
"13051","Chatham","32° 0' 14.91"" N","81° 7' 57.90"" S"
"13077","Coweta","33° 21' 12.43"" N","84° 45' 47.96"" S"
"13123","Gilmer","34° 41' 28.09"" N","84° 27' 20.21"" S"
"13133","Greene","33° 34' 43.60"" N","83° 9' 59.87"" S"
"13137","Habersham","34° 37' 51.45"" N","83° 31' 52.06"" S"
"13139","Hall","34° 19' 0.50"" N","83° 49' 11.11"" S"
"13143","Haralson","33° 47' 39.13"" N","85° 12' 39.72"" S"
"13157","Jackson","34° 8' 1.97"" N","83° 33' 58.83"" S"
"13171","Lamar","33° 4' 35.40"" N","84° 8' 22.08"" S"
"13181","Lincoln","33° 47' 36.97"" N","82° 27' 3.73"" S"
"13185","Lowndes","30° 50' 1.43"" N","83° 16' 3.83"" S"
"13195","Madison","34° 7' 39.97"" N","83° 12' 32.46"" S"
"13213","Murray","34° 47' 17.90"" N","84° 44' 53.25"" S"
"13217","Newton","33° 33' 18.01"" N","83° 51' 0.70"" S"
"13237","Putnam","33° 19' 18.26"" N","83° 22' 22.14"" S"
"13245","Richmond","33° 21' 34.49"" N","82° 4' 24.63"" S"
"13251","Screven","32° 45' 1.75"" N","81° 36' 42.97"" S"
"13269","Taylor","32° 33' 19.56"" N","84° 15' 1.80"" S"
"13279","Toombs","32° 7' 17.44"" N","82° 19' 52.37"" S"
"13021","Bibb","32° 48' 23.35"" N","83° 41' 50.60"" S"
"13029","Bryan","32° 0' 51.79"" N","81° 26' 35.93"" S"
"13219","Oconee","33° 50' 5.83"" N","83° 26' 13.30"" S"
"13007","Baker","31° 19' 34.06"" N","84° 26' 41.19"" S"
"13001","Appling","31° 44' 56.92"" N","82° 17' 19.82"" S"
"13079","Crawford","32° 42' 52.16"" N","83° 59' 10.72"" S"
"13135","Gwinnett","33° 57' 42.03"" N","84° 1' 25.05"" S"
"13311","White","34° 38' 46.86"" N","83° 44' 49.60"" S"
"13261","Sumter","32° 2' 23.83"" N","84° 11' 49.14"" S"
"13025","Brantley","31° 11' 48.73"" N","81° 58' 55.22"" S"
"13075","Cook","31° 9' 14.20"" N","83° 25' 49.60"" S"
"13303","Washington","32° 58' 10.13"" N","82° 47' 45.24"" S"
"13201","Miller","31° 9' 50.49"" N","84° 43' 50.85"" S"
"13265","Taliaferro","33° 33' 58.03"" N","82° 52' 43.59"" S"
"13107","Emanuel","32° 35' 22.66"" N","82° 18' 6.32"" S"
"13215","Muscogee","32° 30' 36.08"" N","84° 52' 37.39"" S"
"13301","Warren","33° 24' 32.08"" N","82° 40' 36.14"" S"
"13309","Wheeler","32° 7' 1.16"" N","82° 43' 28.31"" S"
"13031","Bulloch","32° 23' 48.20"" N","81° 44' 34.89"" S"
"13019","Berrien","31° 16' 33.10"" N","83° 13' 46.56"" S"
"13113","Fayette","33° 24' 50.07"" N","84° 29' 38.98"" S"
"13151","Henry","33° 27' 10.69"" N","84° 9' 15.06"" S"
"13191","McIntosh","31° 29' 47.83"" N","81° 24' 30.50"" S"
"13063","Clayton","33° 32' 30.68"" N","84° 21' 27.51"" S"
"13159","Jasper","33° 18' 58.79"" N","83° 41' 17.04"" S"
"13003","Atkinson","31° 17' 49.76"" N","82° 52' 48.14"" S"
"13117","Forsyth","34° 13' 31.85"" N","84° 7' 30.23"" S"
"13169","Jones","33° 1' 30.34"" N","83° 33' 37.67"" S"
"13197","Marion","32° 21' 11.84"" N","84° 31' 28.76"" S"
"13059","Clarke","33° 57' 4.24"" N","83° 22' 2.31"" S"
"13069","Coffee","31° 32' 57.28"" N","82° 50' 56.88"" S"
"13083","Dade","34° 51' 16.07"" N","85° 30' 16.34"" S"
"13145","Harris","32° 44' 9.73"" N","84° 54' 31.86"" S"
"13023","Bleckley","32° 26' 3.93"" N","83° 19' 40.29"" S"
"13037","Calhoun","31° 31' 45.25"" N","84° 37' 28.28"" S"
"13053","Chattahoochee","32° 20' 49.07"" N","84° 47' 13.42"" S"
"13093","Dooly","32° 9' 25.85"" N","83° 47' 55.69"" S"
"13111","Fannin","34° 51' 50.67"" N","84° 19' 10.80"" S"
"13243","Randolph","31° 45' 45.43"" N","84° 45' 15.06"" S"
"13257","Stephens","34° 33' 14.18"" N","83° 17' 36.49"" S"
"13287","Turner","31° 42' 58.93"" N","83° 37' 26.80"" S"
"13295","Walker","34° 44' 8.04"" N","85° 18' 3.40"" S"
"13233","Polk","34° 0' 6.57"" N","85° 11' 17.40"" S"
"13239","Quitman","31° 52' 2.39"" N","85° 1' 7.59"" S"
"13205","Mitchell","31° 13' 31.03"" N","84° 11' 39.78"" S"
"13315","Wilcox","31° 58' 22.35"" N","83° 25' 56.29"" S"
"13273","Terrell","31° 46' 37.04"" N","84° 26' 12.99"" S"
"13073","Columbia","33° 32' 38.69"" N","82° 15' 50.46"" S"
"13223","Paulding","33° 55' 13.74"" N","84° 52' 2.34"" S"
"13047","Catoosa","34° 54' 13.01"" N","85° 8' 17.74"" S"
"13235","Pulaski","32° 13' 56.16"" N","83° 28' 33.38"" S"
"13249","Schley","32° 15' 41.88"" N","84° 18' 53.05"" S"
"13065","Clinch","30° 54' 53.45"" N","82° 42' 21.52"" S"
"13161","Jeff Davis","31° 48' 20.06"" N","82° 38' 12.93"" S"
"13011","Banks","34° 21' 14.83"" N","83° 29' 50.44"" S"
"13207","Monroe","33° 0' 49.88"" N","83° 55' 7.25"" S"
"13057","Cherokee","34° 14' 38.09"" N","84° 28' 34.42"" S"
"13085","Dawson","34° 26' 39.36"" N","84° 10' 13.90"" S"
"13225","Peach","32° 34' 7.47"" N","83° 49' 36.95"" S"
"13253","Seminole","30° 56' 19.41"" N","84° 52' 7.77"" S"
"13277","Tift","31° 27' 26.64"" N","83° 31' 35.74"" S"
"13015","Bartow","34° 14' 16.13"" N","84° 50' 25.85"" S"
"13095","Dougherty","31° 32' 0.61"" N","84° 12' 59.01"" S"
"13049","Charlton","30° 46' 53.10"" N","82° 8' 16.40"" S"
"13177","Lee","31° 46' 46.24"" N","84° 8' 28.27"" S"
"13167","Johnson","32° 42' 5.28"" N","82° 39' 36.19"" S"
"13043","Candler","32° 24' 12.29"" N","82° 4' 25.18"" S"
"13187","Lumpkin","34° 34' 19.76"" N","84° 0' 9.71"" S"
"13099","Early","31° 19' 22.00"" N","84° 54' 13.41"" S"
"13089","DeKalb","33° 46' 17.35"" N","84° 13' 34.94"" S"
"13285","Troup","33° 2' 0.55"" N","85° 1' 42.20"" S"
"13115","Floyd","34° 15' 47.12"" N","85° 12' 51.70"" S"
"13125","Glascock","33° 13' 45.39"" N","82° 36' 38.63"" S"
