"nodeID","nodeLabel","latitude","longitude"
"17091","Kankakee","41° 8' 16.03"" N","87° 51' 43.00"" S"
"17187","Warren","40° 50' 55.05"" N","90° 36' 54.04"" S"
"17197","Will","41° 26' 41.89"" N","87° 58' 42.44"" S"
"17027","Clinton","38° 36' 23.35"" N","89° 25' 21.29"" S"
"17031","Cook","41° 50' 22.66"" N","87° 48' 58.22"" S"
"17047","Edwards","38° 24' 59.20"" N","88° 3' 11.84"" S"
"17075","Iroquois","40° 44' 49.35"" N","87° 49' 27.63"" S"
"17129","Menard","40° 1' 38.60"" N","89° 48' 8.05"" S"
"17161","Rock Island","41° 28' 2.60"" N","90° 34' 4.83"" S"
"17175","Stark","41° 5' 35.90"" N","89° 47' 51.05"" S"
"17185","Wabash","38° 26' 45.54"" N","87° 50' 39.78"" S"
"17153","Pulaski","37° 13' 22.29"" N","89° 7' 35.92"" S"
"17017","Cass","39° 58' 24.92"" N","90° 14' 50.79"" S"
"17125","Mason","40° 14' 22.69"" N","89° 55' 1.34"" S"
"17007","Boone","42° 19' 22.62"" N","88° 49' 24.17"" S"
"17003","Alexander","37° 11' 29.10"" N","89° 20' 14.91"" S"
"17189","Washington","38° 21' 7.88"" N","89° 24' 37.84"" S"
"17067","Hancock","40° 24' 12.97"" N","91° 9' 53.45"" S"
"17183","Vermilion","40° 10' 58.88"" N","87° 43' 58.18"" S"
"17053","Ford","40° 35' 48.53"" N","88° 13' 24.10"" S"
"17073","Henry","41° 21' 10.93"" N","90° 7' 53.48"" S"
"17097","Lake","42° 19' 23.65"" N","88° 0' 13.12"" S"
"17059","Gallatin","37° 45' 45.63"" N","88° 13' 49.71"" S"
"17063","Grundy","41° 17' 6.00"" N","88° 25' 6.47"" S"
"17011","Bureau","41° 24' 14.75"" N","89° 31' 43.47"" S"
"17015","Carroll","42° 4' 7.27"" N","89° 56' 3.66"" S"
"17149","Pike","39° 37' 20.86"" N","90° 53' 10.38"" S"
"17159","Richland","38° 42' 44.56"" N","88° 5' 6.37"" S"
"17107","Logan","40° 7' 28.00"" N","89° 22' 2.87"" S"
"17115","Macon","39° 51' 35.55"" N","88° 57' 41.72"" S"
"17121","Marion","38° 38' 58.28"" N","88° 55' 8.36"" S"
"17131","Mercer","41° 12' 19.42"" N","90° 44' 28.97"" S"
"17135","Montgomery","39° 13' 51.26"" N","89° 28' 43.71"" S"
"17145","Perry","38° 5' 1.50"" N","89° 22' 1.19"" S"
