"nodeID","nodeLabel","latitude","longitude"
"18027","Daviess","38° 42' 8.23"" N","87° 4' 19.46"" S"
"18061","Harrison","38° 11' 42.12"" N","86° 6' 40.42"" S"
"18103","Miami","40° 46' 9.25"" N","86° 2' 42.00"" S"
"18129","Posey","38° 1' 18.09"" N","87° 52' 6.86"" S"
"18147","Spencer","38° 0' 50.48"" N","87° 0' 28.42"" S"
"18009","Blackford","40° 28' 25.03"" N","85° 19' 29.36"" S"
"18035","Delaware","40° 13' 38.94"" N","85° 23' 48.83"" S"
"18067","Howard","40° 29' 1.21"" N","86° 7' 1.07"" S"
"18083","Knox","38° 41' 20.06"" N","87° 25' 5.84"" S"
"18159","Tipton","40° 18' 40.88"" N","86° 3' 6.67"" S"
"18175","Washington","38° 35' 59.75"" N","86° 6' 19.19"" S"
"18071","Jackson","38° 54' 23.07"" N","86° 2' 15.04"" S"
"18179","Wells","40° 43' 44.64"" N","85° 13' 16.52"" S"
"18007","Benton","40° 36' 22.46"" N","87° 18' 39.35"" S"
"18051","Gibson","38° 18' 42.71"" N","87° 35' 4.74"" S"
"18123","Perry","38° 4' 46.38"" N","86° 38' 16.89"" S"
"18021","Clay","39° 23' 33.45"" N","87° 6' 56.93"" S"
"18125","Pike","38° 23' 55.39"" N","87° 13' 55.53"" S"
"18053","Grant","40° 30' 56.78"" N","85° 39' 16.97"" S"
"18099","Marshall","41° 19' 29.22"" N","86° 15' 42.33"" S"
"18101","Martin","38° 42' 28.31"" N","86° 48' 11.13"" S"
"18003","Allen","41° 5' 27.00"" N","85° 3' 59.74"" S"
"18031","Decatur","39° 18' 25.02"" N","85° 30' 4.32"" S"
"18037","Dubois","38° 21' 51.21"" N","86° 52' 47.45"" S"
"18041","Fayette","39° 38' 23.96"" N","85° 10' 43.42"" S"
"18055","Greene","39° 2' 10.95"" N","86° 57' 43.34"" S"
"18065","Henry","39° 55' 51.65"" N","85° 23' 47.18"" S"
"18075","Jay","40° 26' 16.56"" N","85° 0' 20.59"" S"
"18085","Kosciusko","41° 14' 38.18"" N","85° 51' 38.65"" S"
"18091","LaPorte","41° 32' 44.88"" N","86° 44' 24.38"" S"
"18109","Morgan","39° 28' 53.53"" N","86° 26' 46.47"" S"
"18181","White","40° 44' 58.92"" N","86° 51' 56.33"" S"
"18095","Madison","40° 9' 41.09"" N","85° 43' 9.69"" S"
"18097","Marion","39° 46' 53.97"" N","86° 8' 18.52"" S"
"18017","Cass","40° 45' 41.28"" N","86° 20' 45.16"" S"
"18115","Ohio","38° 57' 0.33"" N","84° 57' 54.44"" S"
"18119","Owen","39° 18' 45.90"" N","86° 50' 15.91"" S"
"18121","Parke","39° 46' 24.76"" N","87° 12' 22.83"" S"
"18133","Putnam","39° 39' 58.10"" N","86° 50' 41.95"" S"
"18157","Tippecanoe","40° 23' 18.71"" N","86° 53' 38.61"" S"
"18111","Newton","40° 57' 20.21"" N","87° 23' 51.27"" S"
"18143","Scott","38° 41' 6.19"" N","85° 44' 50.94"" S"
"18171","Warren","40° 20' 48.80"" N","87° 21' 12.36"" S"
"18177","Wayne","39° 51' 51.64"" N","85° 0' 35.45"" S"
"18059","Hancock","39° 49' 24.70"" N","85° 46' 23.85"" S"
"18173","Warrick","38° 5' 31.69"" N","87° 16' 19.82"" S"
"18069","Huntington","40° 49' 44.76"" N","85° 29' 17.27"" S"
"18073","Jasper","41° 1' 21.84"" N","87° 6' 58.29"" S"
"18029","Dearborn","39° 8' 42.27"" N","84° 58' 23.96"" S"
"18131","Pulaski","41° 2' 30.65"" N","86° 41' 55.67"" S"
"18139","Rush","39° 37' 11.56"" N","85° 27' 56.73"" S"
"18105","Monroe","39° 9' 38.89"" N","86° 31' 23.15"" S"
"18117","Orange","38° 32' 30.27"" N","86° 29' 42.22"" S"
"18137","Ripley","39° 6' 12.08"" N","85° 15' 44.85"" S"
"18043","Floyd","38° 19' 8.05"" N","85° 54' 24.50"" S"
"18141","St. Joseph","41° 36' 59.83"" N","86° 17' 23.52"" S"
"18149","Starke","41° 16' 51.31"" N","86° 38' 51.84"" S"
"18005","Bartholomew","39° 12' 21.24"" N","85° 53' 51.51"" S"
"18015","Carroll","40° 34' 58.06"" N","86° 33' 48.36"" S"
"18163","Vanderburgh","38° 1' 29.57"" N","87° 35' 9.02"" S"
