"nodeID","nodeLabel","latitude","longitude"
"22001","Acadia","30° 17' 25.69"" N","92° 24' 43.25"" S"
"22009","Avoyelles","31° 4' 34.13"" N","92° 0' 5.00"" S"
"22011","Beauregard","30° 38' 54.32"" N","93° 20' 36.71"" S"
"22029","Concordia","31° 26' 43.89"" N","91° 38' 24.77"" S"
"22031","De Soto","32° 3' 19.31"" N","93° 44' 13.78"" S"
"22033","East Baton Rouge","30° 32' 17.35"" N","91° 5' 44.15"" S"
"22047","Iberville","30° 15' 30.45"" N","91° 20' 56.82"" S"
"22071","Orleans","30° 4' 7.29"" N","89° 55' 44.09"" S"
"22081","Red River","32° 5' 35.13"" N","93° 20' 23.28"" S"
"22099","St. Martin","30° 7' 44.13"" N","91° 36' 27.11"" S"
"22119","Webster","32° 42' 47.31"" N","93° 20' 5.57"" S"
"22035","East Carroll","32° 43' 56.64"" N","91° 14' 6.38"" S"
"22045","Iberia","29° 53' 46.96"" N","91° 43' 48.99"" S"
"22053","Jefferson Davis","30° 16' 3.41"" N","92° 48' 50.76"" S"
"22055","Lafayette","30° 12' 24.15"" N","92° 3' 49.95"" S"
"22067","Morehouse","32° 49' 12.47"" N","91° 48' 6.62"" S"
"22069","Natchitoches","31° 43' 23.39"" N","93° 5' 46.11"" S"
"22079","Rapides","31° 11' 54.70"" N","92° 31' 59.74"" S"
"22097","St. Landry","30° 35' 55.53"" N","92° 0' 21.31"" S"
"22107","Tensas","32° 0' 5.74"" N","91° 20' 24.88"" S"
"22113","Vermilion","29° 50' 47.06"" N","92° 19' 25.96"" S"
"22117","Washington","30° 51' 11.97"" N","90° 2' 25.58"" S"
"22123","West Carroll","32° 47' 18.16"" N","91° 27' 24.80"" S"
"22017","Caddo","32° 34' 46.41"" N","93° 52' 55.73"" S"
"22115","Vernon","31° 6' 29.80"" N","93° 11' 3.20"" S"
"22111","Union","32° 49' 54.62"" N","92° 22' 28.94"" S"
"22005","Ascension","30° 12' 12.74"" N","90° 54' 40.80"" S"
"22015","Bossier","32° 40' 42.63"" N","93° 36' 17.40"" S"
"22025","Catahoula","31° 39' 57.08"" N","91° 50' 50.17"" S"
"22037","East Feliciana","30° 50' 42.30"" N","91° 2' 44.06"" S"
"22091","St. Helena","30° 49' 18.88"" N","90° 42' 37.26"" S"
"22109","Terrebonne","29° 24' 52.94"" N","90° 51' 58.68"" S"
"22065","Madison","32° 21' 51.85"" N","91° 14' 33.41"" S"
"22105","Tangipahoa","30° 37' 34.51"" N","90° 24' 19.98"" S"
"22043","Grant","31° 35' 58.85"" N","92° 33' 34.06"" S"
"22127","Winn","31° 56' 39.20"" N","92° 38' 12.46"" S"
"22057","Lafourche","29° 33' 57.69"" N","90° 25' 30.11"" S"
"22077","Pointe Coupee","30° 42' 33.30"" N","91° 36' 2.30"" S"
"22103","St. Tammany","30° 24' 36.43"" N","89° 57' 29.22"" S"
"22063","Livingston","30° 26' 24.23"" N","90° 43' 40.05"" S"
"22101","St. Mary","29° 42' 16.58"" N","91° 26' 34.67"" S"
"22095","St. John the Baptist","30° 7' 35.13"" N","90° 28' 15.90"" S"
"22125","West Feliciana","30° 52' 47.26"" N","91° 25' 11.89"" S"
"22023","Cameron","29° 52' 33.13"" N","93° 11' 37.30"" S"
"22041","Franklin","32° 7' 59.02"" N","91° 40' 25.93"" S"
"22051","Jefferson","29° 47' 11.95"" N","90° 7' 37.70"" S"
"22075","Plaquemines","29° 26' 25.14"" N","89° 36' 31.03"" S"
"22003","Allen","30° 39' 10.15"" N","92° 49' 40.99"" S"
"22021","Caldwell","32° 5' 32.14"" N","92° 6' 59.50"" S"
"22121","West Baton Rouge","30° 27' 48.15"" N","91° 18' 45.74"" S"
"22059","LaSalle","31° 40' 35.40"" N","92° 9' 37.21"" S"
"22073","Ouachita","32° 28' 41.74"" N","92° 9' 17.80"" S"
"22083","Richland","32° 25' 3.87"" N","91° 45' 49.38"" S"
"22087","St. Bernard","29° 52' 9.60"" N","89° 33' 18.83"" S"
"22049","Jackson","32° 18' 7.30"" N","92° 33' 27.98"" S"
"22089","St. Charles","29° 54' 19.36"" N","90° 21' 29.31"" S"
"22093","St. James","30° 1' 34.63"" N","90° 47' 46.83"" S"
"22027","Claiborne","32° 49' 21.18"" N","92° 59' 44.88"" S"
"22019","Calcasieu","30° 13' 45.59"" N","93° 21' 28.56"" S"
"22039","Evangeline","30° 43' 43.82"" N","92° 24' 21.42"" S"
"22061","Lincoln","32° 36' 5.79"" N","92° 39' 53.42"" S"
"22007","Assumption","29° 54' 2.55"" N","91° 3' 45.21"" S"
"22013","Bienville","32° 20' 49.70"" N","93° 3' 21.57"" S"
"22085","Sabine","31° 33' 49.71"" N","93° 33' 15.96"" S"
