"nodeID","nodeLabel","latitude","longitude"
"23013","Knox","44° 8' 27.53"" N","69° 10' 6.13"" S"
"23015","Lincoln","44° 3' 58.33"" N","69° 32' 37.02"" S"
"23023","Sagadahoc","43° 57' 34.54"" N","69° 51' 16.03"" S"
"23031","York","43° 28' 40.08"" N","70° 42' 51.35"" S"
"23007","Franklin","44° 58' 22.77"" N","70° 26' 33.96"" S"
"23003","Aroostook","46° 39' 24.88"" N","68° 35' 41.71"" S"
"23025","Somerset","45° 30' 33.88"" N","69° 57' 26.76"" S"
"23027","Waldo","44° 30' 9.51"" N","69° 8' 43.41"" S"
"23011","Kennebec","44° 24' 32.18"" N","69° 46' 3.62"" S"
"23019","Penobscot","45° 23' 50.21"" N","68° 39' 3.40"" S"
"23021","Piscataquis","45° 50' 3.83"" N","69° 17' 5.09"" S"
"23009","Hancock","44° 39' 47.49"" N","68° 21' 34.27"" S"
"23005","Cumberland","43° 50' 46.85"" N","70° 23' 54.49"" S"
"23029","Washington","45° 1' 45.57"" N","67° 37' 42.03"" S"
"23001","Androscoggin","44° 9' 55.88"" N","70° 12' 23.44"" S"
"23017","Oxford","44° 29' 52.47"" N","70° 45' 21.01"" S"
