"nodeID","nodeLabel","latitude","longitude"
"27023","Chippewa","45° 1' 20.52"" N","95° 33' 59.62"" S"
"27053","Hennepin","45° 0' 16.09"" N","93° 28' 36.29"" S"
"27077","Lake of the Woods","48° 46' 11.84"" N","94° 54' 14.20"" S"
"27091","Martin","43° 40' 27.42"" N","94° 33' 4.19"" S"
"27129","Renville","44° 43' 36.76"" N","94° 56' 48.81"" S"
"27139","Scott","44° 38' 54.50"" N","93° 32' 9.63"" S"
"27163","Washington","45° 2' 17.86"" N","92° 53' 2.15"" S"
"27011","Big Stone","45° 25' 33.77"" N","96° 24' 38.02"" S"
"27013","Blue Earth","44° 2' 4.30"" N","94° 4' 1.26"" S"
"27031","Cook","47° 54' 9.73"" N","90° 32' 6.21"" S"
"27061","Itasca","47° 30' 32.65"" N","93° 37' 51.73"" S"
"27073","Lac qui Parle","44° 59' 43.35"" N","96° 10' 23.85"" S"
"27075","Lake","47° 38' 22.41"" N","91° 26' 46.76"" S"
"27089","Marshall","48° 21' 31.51"" N","96° 22' 6.31"" S"
"27097","Morrison","46° 0' 45.30"" N","94° 16' 5.29"" S"
"27127","Redwood","44° 24' 12.99"" N","95° 15' 14.13"" S"
"27161","Waseca","44° 1' 19.18"" N","93° 35' 14.17"" S"
"27171","Wright","45° 10' 25.98"" N","93° 57' 47.32"" S"
"27015","Brown","44° 14' 31.79"" N","94° 43' 39.38"" S"
"27167","Wilkin","46° 21' 23.62"" N","96° 28' 5.04"" S"
"27021","Cass","46° 56' 53.80"" N","94° 19' 35.59"" S"
"27087","Mahnomen","47° 19' 30.79"" N","95° 48' 32.54"" S"
"27173","Yellow Medicine","44° 42' 59.63"" N","95° 52' 5.62"" S"
"27103","Nicollet","44° 20' 59.80"" N","94° 14' 50.01"" S"
"27137","St. Louis","47° 35' 57.32"" N","92° 28' 10.98"" S"
"27067","Kandiyohi","45° 9' 7.43"" N","95° 0' 16.94"" S"
"27119","Polk","47° 46' 26.40"" N","96° 24' 0.95"" S"
"27069","Kittson","48° 46' 35.41"" N","96° 46' 57.91"" S"
"27107","Norman","47° 19' 35.38"" N","96° 27' 18.98"" S"
"27145","Stearns","45° 33' 7.96"" N","94° 36' 45.58"" S"
