"nodeID","nodeLabel","latitude","longitude"
"28007","Attala","33° 5' 10.49"" N","89° 34' 53.86"" S"
"28033","DeSoto","34° 52' 31.54"" N","89° 59' 30.56"" S"
"28055","Issaquena","32° 44' 28.25"" N","90° 59' 20.36"" S"
"28075","Lauderdale","32° 24' 15.28"" N","88° 39' 45.24"" S"
"28143","Tunica","34° 39' 6.69"" N","90° 22' 31.95"" S"
"28157","Wilkinson","31° 9' 39.84"" N","91° 18' 39.48"" S"
"28163","Yazoo","32° 46' 49.18"" N","90° 23' 47.62"" S"
"28149","Warren","32° 21' 25.67"" N","90° 51' 7.78"" S"
"28151","Washington","33° 17' 0.99"" N","90° 56' 50.91"" S"
"28001","Adams","31° 28' 58.05"" N","91° 21' 13.15"" S"
"28011","Bolivar","33° 47' 43.31"" N","90° 52' 50.00"" S"
"28029","Copiah","31° 52' 9.30"" N","90° 26' 55.55"" S"
"28043","Grenada","33° 46' 11.82"" N","89° 48' 6.92"" S"
"28083","Leflore","33° 33' 1.26"" N","90° 18' 4.00"" S"
"28087","Lowndes","33° 28' 22.21"" N","88° 26' 36.42"" S"
"28103","Noxubee","33° 6' 36.43"" N","88° 34' 11.17"" S"
"28121","Rankin","32° 15' 50.37"" N","89° 56' 45.28"" S"
"28141","Tishomingo","34° 44' 24.56"" N","88° 14' 21.37"" S"
"28051","Holmes","33° 7' 24.60"" N","90° 5' 31.23"" S"
"28017","Chickasaw","33° 55' 14.75"" N","88° 56' 52.51"" S"
"28089","Madison","32° 38' 4.92"" N","90° 2' 2.40"" S"
"28109","Pearl River","30° 46' 7.37"" N","89° 35' 23.05"" S"
"28021","Claiborne","31° 58' 25.12"" N","90° 54' 42.51"" S"
"28053","Humphreys","33° 7' 42.86"" N","90° 31' 35.89"" S"
"28137","Tate","34° 39' 1.41"" N","89° 56' 41.27"" S"
"28049","Hinds","32° 15' 59.82"" N","90° 26' 34.52"" S"
"28013","Calhoun","33° 56' 10.84"" N","89° 20' 11.18"" S"
"28023","Clarke","32° 2' 28.76"" N","88° 41' 22.09"" S"
"28047","Harrison","30° 30' 42.55"" N","89° 6' 57.45"" S"
"28153","Wayne","31° 38' 26.56"" N","88° 41' 45.01"" S"
"28159","Winston","33° 5' 18.49"" N","89° 2' 4.17"" S"
"28161","Yalobusha","34° 1' 41.30"" N","89° 42' 27.65"" S"
"28115","Pontotoc","34° 13' 31.48"" N","89° 2' 14.60"" S"
"28129","Smith","32° 1' 3.21"" N","89° 30' 23.90"" S"
"28067","Jones","31° 37' 20.97"" N","89° 10' 7.76"" S"
"28071","Lafayette","34° 21' 24.09"" N","89° 29' 5.51"" S"
"28085","Lincoln","31° 31' 56.43"" N","90° 27' 14.29"" S"
"28133","Sunflower","33° 36' 6.60"" N","90° 35' 19.56"" S"
"28037","Franklin","31° 28' 37.90"" N","90° 53' 52.50"" S"
"28041","Greene","31° 12' 50.82"" N","88° 38' 20.99"" S"
"28091","Marion","31° 13' 50.77"" N","89° 49' 20.62"" S"
"28095","Monroe","33° 53' 31.88"" N","88° 28' 49.89"" S"
