"nodeID_from","nodeID_to","weight","state"
"31001","31003",307324,"Nebraska"
"31001","31005",916786,"Nebraska"
"31001","31007",191323,"Nebraska"
"31001","31009",648822,"Nebraska"
"31001","31011",406369,"Nebraska"
"31001","31013",192276,"Nebraska"
"31001","31015",311365,"Nebraska"
"31001","31017",482979,"Nebraska"
"31001","31019",1266885,"Nebraska"
"31001","31021",175687,"Nebraska"
"31001","31023",367130,"Nebraska"
"31001","31025",174178,"Nebraska"
"31001","31027",174553,"Nebraska"
"31001","31029",439356,"Nebraska"
"31001","31031",299955,"Nebraska"
"31001","31033",174806,"Nebraska"
"31001","31035",7583266,"Nebraska"
"31001","31037",171106,"Nebraska"
"31001","31039",203986,"Nebraska"
"31001","31041",747107,"Nebraska"
"31001","31043",35371,"Nebraska"
"31001","31045",259516,"Nebraska"
"31001","31047",525965,"Nebraska"
"31001","31049",239592,"Nebraska"
"31001","31051",111442,"Nebraska"
"31001","31053",156334,"Nebraska"
"31001","31055",146031,"Nebraska"
"31001","31057",451920,"Nebraska"
"31001","31059",1212993,"Nebraska"
"31001","31061",2914274,"Nebraska"
"31001","31063",722041,"Nebraska"
"31001","31065",901969,"Nebraska"
"31001","31067",342031,"Nebraska"
"31001","31069",209447,"Nebraska"
"31001","31071",818851,"Nebraska"
"31001","31073",739086,"Nebraska"
"31001","31075",951383,"Nebraska"
"31001","31077",929781,"Nebraska"
"31001","31079",1615942,"Nebraska"
"31001","31081",1758680,"Nebraska"
"31001","31083",1343276,"Nebraska"
"31001","31085",453874,"Nebraska"
"31001","31087",376341,"Nebraska"
"31001","31089",379411,"Nebraska"
"31001","31091",687598,"Nebraska"
"31001","31093",1425286,"Nebraska"
"31001","31095",393760,"Nebraska"
"31001","31097",229217,"Nebraska"
"31001","31099",2297935,"Nebraska"
"31001","31101",310146,"Nebraska"
"31001","31103",465971,"Nebraska"
"31001","31105",205706,"Nebraska"
"31001","31107",203665,"Nebraska"
"31001","31109",372435,"Nebraska"
"31001","31111",461157,"Nebraska"
"31001","31113",440959,"Nebraska"
"31001","31115",591305,"Nebraska"
"31001","31117",439696,"Nebraska"
"31001","31119",227601,"Nebraska"
"31001","31121",1060421,"Nebraska"
"31001","31123",193603,"Nebraska"
"31001","31125",563235,"Nebraska"
"31001","31127",293361,"Nebraska"
"31001","31129",3819271,"Nebraska"
"31001","31131",182434,"Nebraska"
"31001","31133",191410,"Nebraska"
"31001","31135",463362,"Nebraska"
"31001","31137",1201452,"Nebraska"
"31001","31139",213868,"Nebraska"
"31001","31141",284610,"Nebraska"
"31001","31143",555161,"Nebraska"
"31001","31145",509264,"Nebraska"
"31001","31147",159776,"Nebraska"
"31001","31149",684112,"Nebraska"
"31001","31151",320397,"Nebraska"
"31001","31153",142722,"Nebraska"
"31001","31155",295948,"Nebraska"
"31001","31157",179365,"Nebraska"
"31001","31159",444894,"Nebraska"
"31001","31161",171276,"Nebraska"
"31001","31163",1068073,"Nebraska"
"31001","31165",281407,"Nebraska"
"31001","31167",219055,"Nebraska"
"31001","31169",1293708,"Nebraska"
"31001","31171",598939,"Nebraska"
"31001","31173",62246,"Nebraska"
