"nodeID","nodeLabel","latitude","longitude"
"31091","Hooker","41° 54' 57.99"" N","101° 8' 7.11"" S"
"31167","Stanton","41° 55' 0.57"" N","97° 11' 38.08"" S"
"31103","Keya Paha","42° 52' 44.70"" N","99° 42' 44.47"" S"
"31151","Saline","40° 31' 26.37"" N","97° 8' 27.32"" S"
"31033","Cheyenne","41° 13' 11.09"" N","102° 59' 41.83"" S"
"31009","Blaine","41° 54' 45.92"" N","99° 58' 36.55"" S"
"31003","Antelope","42° 10' 35.86"" N","98° 4' 0.05"" S"
"31029","Chase","40° 31' 27.15"" N","101° 41' 52.75"" S"
"31171","Thomas","41° 54' 48.83"" N","100° 33' 20.83"" S"
"31031","Cherry","42° 32' 42.72"" N","101° 7' 6.47"" S"
"31035","Clay","40° 31' 27.70"" N","98° 3' 4.63"" S"
"31037","Colfax","41° 34' 26.06"" N","97° 5' 11.41"" S"
"31051","Dixon","42° 29' 34.73"" N","96° 52' 3.87"" S"
"31023","Butler","41° 13' 33.56"" N","97° 7' 54.46"" S"
"31153","Sarpy","41° 6' 46.61"" N","96° 6' 43.18"" S"
"31081","Hamilton","40° 52' 22.48"" N","98° 1' 22.81"" S"
"31109","Lancaster","40° 47' 2.05"" N","96° 41' 15.92"" S"
"31119","Madison","41° 54' 59.82"" N","97° 36' 2.76"" S"
"31053","Dodge","41° 34' 40.28"" N","96° 39' 14.07"" S"
"31123","Morrill","41° 42' 56.86"" N","103° 0' 38.09"" S"
"31095","Jefferson","40° 10' 32.38"" N","97° 8' 33.80"" S"
"31137","Phelps","40° 30' 39.81"" N","99° 24' 52.32"" S"
"31133","Pawnee","40° 7' 53.24"" N","96° 14' 13.42"" S"
"31177","Washington","41° 31' 51.70"" N","96° 13' 18.74"" S"
"31041","Custer","41° 23' 38.59"" N","99° 43' 34.05"" S"
"31055","Douglas","41° 17' 43.35"" N","96° 9' 15.30"" S"
"31047","Dawson","40° 52' 12.09"" N","99° 49' 10.36"" S"
"31161","Sheridan","42° 30' 13.13"" N","102° 24' 31.38"" S"
"31065","Furnas","40° 10' 35.08"" N","99° 54' 44.31"" S"
"31071","Garfield","41° 54' 51.40"" N","98° 59' 29.05"" S"
"31089","Holt","42° 27' 19.09"" N","98° 47' 1.21"" S"
"31169","Thayer","40° 10' 34.20"" N","97° 35' 41.82"" S"
"31039","Cuming","41° 54' 58.76"" N","96° 47' 14.58"" S"
"31113","Logan","41° 33' 59.16"" N","100° 28' 58.23"" S"
"31021","Burt","41° 51' 5.26"" N","96° 19' 42.75"" S"
"31141","Platte","41° 34' 16.45"" N","97° 31' 15.84"" S"
"31145","Red Willow","40° 10' 32.86"" N","100° 28' 36.75"" S"
"31149","Rock","42° 25' 14.83"" N","99° 26' 59.76"" S"
"31067","Gage","40° 15' 41.87"" N","96° 41' 22.00"" S"
"31077","Greeley","41° 34' 2.53"" N","98° 31' 16.39"" S"
"31097","Johnson","40° 23' 33.39"" N","96° 15' 54.30"" S"
"31127","Nemaha","40° 23' 15.48"" N","95° 50' 59.28"" S"
"31083","Harlan","40° 10' 35.10"" N","99° 24' 16.72"" S"
"31093","Howard","41° 13' 11.91"" N","98° 31' 1.60"" S"
"31173","Thurston","42° 9' 29.59"" N","96° 32' 38.16"" S"
"31175","Valley","41° 34' 2.09"" N","98° 58' 54.76"" S"
"31131","Otoe","40° 38' 54.88"" N","96° 8' 4.99"" S"
"31139","Pierce","42° 15' 51.41"" N","97° 36' 4.68"" S"
"31013","Box Butte","42° 13' 10.95"" N","103° 5' 8.18"" S"
"31159","Seward","40° 52' 20.29"" N","97° 8' 22.27"" S"
"31165","Sioux","42° 29' 11.23"" N","103° 45' 31.49"" S"
"31111","Lincoln","41° 2' 51.06"" N","100° 44' 42.90"" S"
"31115","Loup","41° 54' 49.60"" N","99° 27' 15.78"" S"
"31179","Wayne","42° 12' 33.50"" N","97° 7' 9.08"" S"
"31183","Wheeler","41° 54' 52.88"" N","98° 31' 41.46"" S"
"31121","Merrick","41° 10' 8.44"" N","98° 2' 18.25"" S"
"31125","Nance","41° 23' 50.57"" N","97° 59' 32.24"" S"
"31163","Sherman","41° 13' 13.85"" N","98° 58' 34.35"" S"
"31063","Frontier","40° 31' 48.60"" N","100° 23' 39.12"" S"
"31143","Polk","41° 11' 12.69"" N","97° 34' 6.74"" S"
"31087","Hitchcock","40° 10' 34.70"" N","101° 2' 32.12"" S"
"31117","McPherson","41° 34' 5.49"" N","101° 3' 37.81"" S"
"31181","Webster","40° 10' 34.93"" N","98° 29' 59.87"" S"
"31007","Banner","41° 32' 45.97"" N","103° 42' 37.86"" S"
"31027","Cedar","42° 35' 56.53"" N","97° 15' 8.25"" S"
"31043","Dakota","42° 23' 27.96"" N","96° 33' 52.37"" S"
"31099","Kearney","40° 30' 23.97"" N","98° 56' 52.91"" S"
"31045","Dawes","42° 43' 10.15"" N","103° 8' 7.39"" S"
"31005","Arthur","41° 34' 8.14"" N","101° 41' 44.86"" S"
"31049","Deuel","41° 6' 41.81"" N","102° 20' 1.64"" S"
"31185","York","40° 52' 21.61"" N","97° 35' 49.63"" S"
"31107","Knox","42° 38' 12.68"" N","97° 53' 30.93"" S"
"31085","Hayes","40° 31' 29.06"" N","101° 3' 42.68"" S"
"31147","Richardson","40° 7' 30.32"" N","95° 43' 2.99"" S"
"31017","Brown","42° 25' 46.08"" N","99° 55' 45.78"" S"
"31135","Perkins","40° 51' 3.92"" N","101° 38' 59.26"" S"
"31079","Hall","40° 52' 20.99"" N","98° 30' 7.80"" S"
"31129","Nuckolls","40° 10' 34.74"" N","98° 2' 49.88"" S"
"31157","Scotts Bluff","41° 51' 2.33"" N","103° 42' 28.80"" S"
"31001","Adams","40° 31' 27.84"" N","98° 30' 4.35"" S"
"31019","Buffalo","40° 51' 18.52"" N","99° 4' 29.94"" S"
"31011","Boone","41° 42' 23.88"" N","98° 4' 2.16"" S"
"31015","Boyd","42° 53' 59.84"" N","98° 45' 58.82"" S"
"31101","Keith","41° 11' 55.97"" N","101° 39' 40.61"" S"
"31069","Garden","41° 37' 7.65"" N","102° 20' 7.22"" S"
"31057","Dundy","40° 10' 34.49"" N","101° 41' 16.60"" S"
"31075","Grant","41° 54' 53.89"" N","101° 44' 26.07"" S"
"31105","Kimball","41° 11' 51.90"" N","103° 42' 53.72"" S"
"31025","Cass","40° 54' 35.18"" N","96° 8' 27.27"" S"
"31155","Saunders","41° 13' 34.63"" N","96° 38' 14.13"" S"
"31059","Fillmore","40° 31' 28.50"" N","97° 35' 47.40"" S"
"31061","Franklin","40° 10' 34.52"" N","98° 57' 10.08"" S"
"31073","Gosper","40° 30' 52.98"" N","99° 49' 50.74"" S"
