"nodeID","nodeLabel","latitude","longitude"
"32001","Churchill","39° 34' 51.05"" N","118° 20' 9.10"" S"
"32003","Clark","36° 12' 50.13"" N","115° 0' 49.26"" S"
"32015","Lander","39° 55' 49.20"" N","117° 2' 22.29"" S"
"32033","White Pine","39° 26' 27.73"" N","114° 54' 2.75"" S"
"32031","Washoe","40° 39' 25.30"" N","119° 39' 52.28"" S"
"32011","Eureka","39° 58' 49.36"" N","116° 16' 4.15"" S"
"32013","Humboldt","41° 24' 25.12"" N","118° 6' 39.35"" S"
"32009","Esmeralda","37° 47' 1.57"" N","117° 37' 53.07"" S"
"32023","Nye","38° 2' 8.94"" N","116° 28' 12.34"" S"
"32510","Carson City","39° 9' 4.27"" N","119° 44' 50.70"" S"
"32017","Lincoln","37° 38' 29.25"" N","114° 52' 45.83"" S"
"32021","Mineral","38° 32' 16.73"" N","118° 26' 5.15"" S"
"32027","Pershing","40° 26' 27.24"" N","118° 24' 14.78"" S"
"32029","Storey","39° 26' 48.73"" N","119° 31' 46.17"" S"
"32005","Douglas","38° 54' 43.44"" N","119° 36' 57.83"" S"
"32019","Lyon","39° 1' 8.36"" N","119° 11' 19.22"" S"
"32007","Elko","41° 8' 39.66"" N","115° 21' 16.62"" S"
