"nodeID","nodeLabel","latitude","longitude"
"33007","Coos","44° 41' 17.57"" N","71° 18' 21.22"" S"
"33015","Rockingham","42° 59' 14.98"" N","71° 7' 31.58"" S"
"33017","Strafford","43° 17' 48.33"" N","71° 1' 43.26"" S"
"33003","Carroll","43° 52' 23.91"" N","71° 12' 11.22"" S"
"33013","Merrimack","43° 17' 50.65"" N","71° 40' 47.64"" S"
"33001","Belknap","43° 31' 4.22"" N","71° 25' 20.71"" S"
"33005","Cheshire","42° 55' 9.21"" N","72° 15' 4.10"" S"
"33011","Hillsborough","42° 54' 54.82"" N","71° 42' 56.74"" S"
"33019","Sullivan","43° 21' 40.39"" N","72° 13' 19.97"" S"
"33009","Grafton","43° 56' 24.23"" N","71° 49' 16.78"" S"
