"nodeID","nodeLabel","latitude","longitude"
"34003","Bergen","40° 57' 34.38"" N","74° 4' 26.90"" S"
"34007","Camden","39° 48' 12.35"" N","74° 57' 34.36"" S"
"34013","Essex","40° 47' 13.92"" N","74° 14' 49.27"" S"
"34023","Middlesex","40° 26' 20.64"" N","74° 24' 42.53"" S"
"34041","Warren","40° 51' 25.23"" N","74° 59' 50.96"" S"
"34001","Atlantic","39° 28' 39.71"" N","74° 39' 39.20"" S"
"34005","Burlington","39° 52' 39.05"" N","74° 40' 3.82"" S"
"34015","Gloucester","39° 43' 2.09"" N","75° 8' 28.36"" S"
"34019","Hunterdon","40° 34' 1.89"" N","74° 54' 44.15"" S"
"34021","Mercer","40° 17' 0.30"" N","74° 42' 6.09"" S"
"34025","Monmouth","40° 15' 37.70"" N","74° 13' 16.10"" S"
"34029","Ocean","39° 53' 5.12"" N","74° 16' 51.16"" S"
"34035","Somerset","40° 33' 48.20"" N","74° 36' 59.04"" S"
"34027","Morris","40° 51' 43.05"" N","74° 32' 40.68"" S"
"34031","Passaic","41° 2' 3.66"" N","74° 18' 2.32"" S"
"34009","Cape May","39° 8' 55.95"" N","74° 48' 1.25"" S"
"34033","Salem","39° 35' 15.33"" N","75° 20' 56.49"" S"
"34037","Sussex","41° 8' 20.97"" N","74° 41' 27.54"" S"
"34039","Union","40° 39' 36.09"" N","74° 18' 30.61"" S"
"34017","Hudson","40° 44' 6.29"" N","74° 4' 39.83"" S"
"34011","Cumberland","39° 22' 25.75"" N","75° 6' 38.40"" S"
