"nodeID_from","nodeID_to","weight","state"
"35001","35003",106881,"New Mexico"
"35001","35005",123259,"New Mexico"
"35001","35006",404893,"New Mexico"
"35001","35007",174183,"New Mexico"
"35001","35009",86290,"New Mexico"
"35001","35011",121829,"New Mexico"
"35001","35013",87112,"New Mexico"
"35001","35015",86977,"New Mexico"
"35001","35017",100778,"New Mexico"
"35001","35019",366975,"New Mexico"
"35001","35021",217157,"New Mexico"
"35001","35023",54587,"New Mexico"
"35001","35025",56129,"New Mexico"
"35001","35027",98786,"New Mexico"
"35001","35028",167123,"New Mexico"
"35001","35029",67411,"New Mexico"
"35001","35031",255972,"New Mexico"
"35001","35033",337454,"New Mexico"
"35001","35035",60891,"New Mexico"
"35001","35037",161147,"New Mexico"
"35001","35039",413712,"New Mexico"
"35001","35041",100336,"New Mexico"
"35001","35043",582736,"New Mexico"
"35001","35045",117320,"New Mexico"
"35001","35047",440522,"New Mexico"
"35001","35049",377809,"New Mexico"
"35001","35051",108178,"New Mexico"
"35001","35053",372294,"New Mexico"
"35001","35055",296937,"New Mexico"
"35001","35057",464485,"New Mexico"
"35001","35059",125305,"New Mexico"
"35001","35061",668862,"New Mexico"
"35003","35005",150722,"New Mexico"
"35003","35006",835189,"New Mexico"
"35003","35007",170538,"New Mexico"
"35003","35009",83301,"New Mexico"
"35003","35011",838338,"New Mexico"
"35003","35013",231642,"New Mexico"
"35003","35015",168342,"New Mexico"
"35003","35017",3235450,"New Mexico"
"35003","35019",276325,"New Mexico"
"35003","35021",1290116,"New Mexico"
"35003","35023",1608295,"New Mexico"
"35003","35025",79235,"New Mexico"
"35003","35027",509719,"New Mexico"
"35003","35028",64595,"New Mexico"
"35003","35029",407694,"New Mexico"
"35003","35031",201721,"New Mexico"
"35003","35033",151205,"New Mexico"
"35003","35035",190192,"New Mexico"
"35003","35037",302932,"New Mexico"
"35003","35039",88771,"New Mexico"
"35003","35041",321216,"New Mexico"
"35003","35043",132766,"New Mexico"
"35003","35045",138526,"New Mexico"
"35003","35047",176184,"New Mexico"
"35003","35049",68471,"New Mexico"
"35003","35051",1477506,"New Mexico"
