"nodeID","nodeLabel","latitude","longitude"
"35007","Colfax","36° 36' 22.09"" N","104° 38' 48.78"" S"
"35011","De Baca","34° 20' 32.34"" N","104° 24' 43.76"" S"
"35051","Sierra","33° 7' 50.64"" N","107° 11' 33.86"" S"
"35015","Eddy","32° 28' 15.80"" N","104° 18' 15.12"" S"
"35039","Rio Arriba","36° 30' 34.50"" N","106° 41' 32.02"" S"
"35045","San Juan","36° 30' 29.45"" N","108° 19' 14.81"" S"
"35055","Taos","36° 34' 39.34"" N","105° 37' 51.70"" S"
"35019","Guadalupe","34° 51' 47.50"" N","104° 47' 28.56"" S"
"35033","Mora","36° 0' 38.47"" N","104° 56' 41.08"" S"
"35017","Grant","32° 44' 16.89"" N","108° 22' 55.81"" S"
"35003","Catron","33° 54' 50.81"" N","108° 24' 17.64"" S"
"35021","Harding","35° 51' 28.07"" N","103° 49' 10.04"" S"
"35037","Quay","35° 6' 13.74"" N","103° 33' 3.98"" S"
"35047","San Miguel","35° 28' 53.13"" N","104° 48' 56.85"" S"
"35057","Torrance","34° 38' 25.23"" N","105° 51' 3.48"" S"
"35061","Valencia","34° 42' 55.92"" N","106° 48' 31.88"" S"
"35001","Bernalillo","35° 3' 5.48"" N","106° 40' 12.24"" S"
"35006","Cibola","34° 54' 47.05"" N","108° 0' 1.18"" S"
"35009","Curry","34° 34' 26.61"" N","103° 20' 50.06"" S"
"35013","Doña Ana","32° 21' 6.93"" N","106° 49' 59.60"" S"
"35028","Los Alamos","35° 52' 9.64"" N","106° 18' 26.45"" S"
"35027","Lincoln","33° 44' 41.37"" N","105° 27' 34.21"" S"
"35053","Socorro","34° 0' 25.62"" N","106° 55' 47.85"" S"
"35005","Chaves","33° 21' 44.40"" N","104° 28' 7.94"" S"
"35041","Roosevelt","34° 1' 14.79"" N","103° 28' 45.89"" S"
"35023","Hidalgo","31° 54' 45.60"" N","108° 42' 50.67"" S"
"35025","Lea","32° 47' 24.34"" N","103° 24' 44.79"" S"
"35059","Union","36° 28' 50.42"" N","103° 28' 13.72"" S"
"35031","McKinley","35° 34' 51.21"" N","108° 15' 45.79"" S"
"35049","Santa Fe","35° 30' 22.02"" N","105° 58' 34.77"" S"
"35035","Otero","32° 36' 43.44"" N","105° 44' 25.81"" S"
"35043","Sandoval","35° 41' 17.09"" N","106° 51' 53.96"" S"
"35029","Luna","32° 10' 55.04"" N","107° 44' 59.57"" S"
