"nodeID","nodeLabel","latitude","longitude"
"39035","Cuyahoga","41° 25' 28.17"" N","81° 39' 31.58"" S"
"39039","Defiance","41° 19' 26.34"" N","84° 29' 25.40"" S"
"39043","Erie","41° 21' 47.86"" N","82° 37' 9.00"" S"
"39125","Paulding","41° 6' 59.83"" N","84° 34' 48.66"" S"
"39137","Putnam","41° 1' 19.57"" N","84° 7' 54.46"" S"
"39175","Wyandot","40° 50' 32.38"" N","83° 18' 15.82"" S"
"39047","Fayette","39° 33' 35.30"" N","83° 27' 21.86"" S"
"39061","Hamilton","39° 11' 44.08"" N","84° 32' 33.79"" S"
"39095","Lucas","41° 37' 11.84"" N","83° 39' 30.48"" S"
"39115","Morgan","39° 37' 13.13"" N","81° 51' 9.70"" S"
"39167","Washington","39° 27' 19.41"" N","81° 29' 43.89"" S"
"39123","Ottawa","41° 32' 17.54"" N","83° 8' 26.99"" S"
"39055","Geauga","41° 29' 58.11"" N","81° 10' 43.37"" S"
"39159","Union","40° 17' 57.31"" N","83° 22' 17.40"" S"
"39105","Meigs","39° 4' 56.17"" N","82° 1' 22.00"" S"
"39099","Mahoning","41° 0' 52.84"" N","80° 46' 34.81"" S"
"39103","Medina","41° 7' 3.27"" N","81° 53' 59.19"" S"
"39025","Clermont","39° 2' 50.09"" N","84° 9' 6.59"" S"
"39053","Gallia","38° 49' 28.42"" N","82° 19' 0.95"" S"
"39067","Harrison","40° 17' 37.74"" N","81° 5' 28.10"" S"
"39135","Preble","39° 44' 29.13"" N","84° 38' 52.73"" S"
"39119","Muskingum","39° 57' 55.19"" N","81° 56' 39.51"" S"
"39127","Perry","39° 44' 13.27"" N","82° 14' 9.55"" S"
"39163","Vinton","39° 15' 3.41"" N","82° 29' 6.93"" S"
"39009","Athens","39° 20' 1.88"" N","82° 2' 42.35"" S"
"39171","Williams","41° 33' 37.04"" N","84° 35' 17.29"" S"
"39147","Seneca","41° 7' 26.09"" N","83° 7' 39.69"" S"
"39153","Summit","41° 7' 32.84"" N","81° 31' 55.90"" S"
"39131","Pike","39° 4' 38.54"" N","83° 4' 0.12"" S"
"39007","Ashtabula","41° 42' 26.66"" N","80° 44' 54.13"" S"
"39073","Hocking","39° 29' 49.50"" N","82° 28' 45.55"" S"
"39077","Huron","41° 8' 46.08"" N","82° 35' 54.34"" S"
"39129","Pickaway","39° 38' 30.75"" N","83° 1' 27.47"" S"
"39019","Carroll","40° 34' 46.31"" N","81° 5' 23.03"" S"
"39097","Madison","39° 53' 37.87"" N","83° 24' 1.03"" S"
"39151","Stark","40° 48' 49.93"" N","81° 21' 56.76"" S"
"39083","Knox","40° 23' 55.44"" N","82° 25' 17.59"" S"
"39091","Logan","40° 23' 18.41"" N","83° 45' 56.94"" S"
"39157","Tuscarawas","40° 26' 26.83"" N","81° 28' 25.48"" S"
"39117","Morrow","40° 31' 26.34"" N","82° 47' 38.82"" S"
"39143","Sandusky","41° 21' 22.95"" N","83° 8' 46.10"" S"
"39165","Warren","39° 25' 38.97"" N","84° 10' 0.29"" S"
"39133","Portage","41° 10' 3.23"" N","81° 11' 50.64"" S"
"39013","Belmont","40° 0' 56.92"" N","80° 59' 18.53"" S"
"39107","Mercer","40° 32' 23.35"" N","84° 37' 45.75"" S"
"39121","Noble","39° 45' 57.19"" N","81° 27' 20.15"" S"
"39017","Butler","39° 26' 19.04"" N","84° 34' 32.10"" S"
"39155","Trumbull","41° 19' 1.57"" N","80° 45' 40.08"" S"
"39001","Adams","38° 50' 43.84"" N","83° 28' 19.34"" S"
"39169","Wayne","40° 49' 43.79"" N","81° 53' 16.92"" S"
"39071","Highland","39° 11' 4.82"" N","83° 36' 3.92"" S"
"39079","Jackson","39° 1' 10.44"" N","82° 37' 6.06"" S"
"39069","Henry","41° 20' 1.66"" N","84° 4' 5.45"" S"
"39089","Licking","40° 5' 29.73"" N","82° 28' 59.07"" S"
"39051","Fulton","41° 36' 6.65"" N","84° 7' 48.32"" S"
"39059","Guernsey","40° 3' 7.17"" N","81° 29' 39.56"" S"
"39081","Jefferson","40° 23' 5.38"" N","80° 45' 39.54"" S"
"39031","Coshocton","40° 18' 6.02"" N","81° 55' 11.95"" S"
"39033","Crawford","40° 51' 2.61"" N","82° 55' 11.24"" S"
"39037","Darke","40° 7' 59.12"" N","84° 37' 9.87"" S"
"39057","Greene","39° 41' 29.23"" N","83° 53' 23.44"" S"
"39065","Hardin","40° 39' 41.32"" N","83° 39' 33.72"" S"
"39023","Clark","39° 55' 0.60"" N","83° 47' 1.73"" S"
"39139","Richland","40° 46' 28.07"" N","82° 32' 10.91"" S"
"39041","Delaware","40° 16' 42.16"" N","83° 0' 17.15"" S"
"39027","Clinton","39° 24' 53.75"" N","83° 48' 30.34"" S"
"39005","Ashland","40° 50' 44.82"" N","82° 16' 14.29"" S"
"39015","Brown","38° 56' 1.67"" N","83° 52' 2.21"" S"
"39029","Columbiana","40° 46' 6.31"" N","80° 46' 37.59"" S"
"39113","Montgomery","39° 45' 16.29"" N","84° 17' 26.32"" S"
"39141","Ross","39° 20' 15.40"" N","83° 3' 25.19"" S"
"39063","Hancock","41° 0' 6.63"" N","83° 39' 59.72"" S"
"39149","Shelby","40° 19' 53.46"" N","84° 12' 17.29"" S"
"39085","Lake","41° 41' 47.65"" N","81° 14' 15.19"" S"
"39109","Miami","40° 3' 12.43"" N","84° 13' 43.84"" S"
"39093","Lorain","41° 17' 43.83"" N","82° 9' 4.77"" S"
"39045","Fairfield","39° 45' 5.60"" N","82° 37' 50.21"" S"
"39173","Wood","41° 21' 41.59"" N","83° 37' 23.26"" S"
"39087","Lawrence","38° 35' 54.00"" N","82° 32' 12.01"" S"
"39145","Scioto","38° 48' 14.43"" N","82° 59' 33.98"" S"
"39161","Van Wert","40° 51' 19.41"" N","84° 35' 9.95"" S"
"39003","Allen","40° 46' 17.62"" N","84° 6' 20.96"" S"
"39021","Champaign","40° 8' 15.88"" N","83° 46' 10.15"" S"
"39011","Auglaize","40° 33' 39.46"" N","84° 13' 18.51"" S"
"39049","Franklin","39° 58' 10.15"" N","83° 0' 33.57"" S"
"39111","Monroe","39° 43' 38.40"" N","81° 4' 58.54"" S"
"39101","Marion","40° 35' 13.90"" N","83° 9' 39.20"" S"
"39075","Holmes","40° 33' 40.51"" N","81° 55' 45.56"" S"
