"nodeID","nodeLabel","latitude","longitude"
"41005","Clackamas","45° 11' 16.87"" N","122° 13' 14.55"" S"
"41021","Gilliam","45° 22' 39.68"" N","120° 12' 38.13"" S"
"41033","Josephine","42° 21' 53.93"" N","123° 33' 19.57"" S"
"41035","Klamath","42° 41' 1.45"" N","121° 38' 57.28"" S"
"41039","Lane","43° 56' 22.83"" N","122° 50' 46.29"" S"
"41043","Linn","44° 29' 21.07"" N","122° 32' 6.11"" S"
"41051","Multnomah","45° 32' 49.80"" N","122° 24' 52.02"" S"
"41055","Sherman","45° 24' 17.31"" N","120° 41' 22.07"" S"
"41061","Union","45° 18' 35.38"" N","118° 0' 32.50"" S"
"41007","Clatsop","45° 59' 41.77"" N","123° 39' 21.11"" S"
"41017","Deschutes","43° 54' 54.71"" N","121° 13' 36.44"" S"
"41019","Douglas","43° 16' 45.64"" N","123° 9' 53.33"" S"
"41065","Wasco","45° 9' 34.01"" N","121° 10' 3.10"" S"
"41023","Grant","44° 29' 26.88"" N","119° 0' 26.73"" S"
"41015","Curry","42° 27' 24.05"" N","124° 9' 22.61"" S"
"41031","Jefferson","44° 37' 47.54"" N","121° 10' 36.22"" S"
"41047","Marion","44° 54' 13.14"" N","122° 35' 1.54"" S"
"41003","Benton","44° 29' 29.69"" N","123° 25' 46.24"" S"
"41025","Harney","43° 3' 36.27"" N","118° 57' 59.65"" S"
"41011","Coos","43° 10' 24.61"" N","124° 3' 33.92"" S"
"41027","Hood River","45° 31' 7.72"" N","121° 39' 3.34"" S"
"41049","Morrow","45° 25' 5.42"" N","119° 35' 1.51"" S"
"41059","Umatilla","45° 35' 28.10"" N","118° 44' 14.96"" S"
"41001","Baker","44° 42' 33.04"" N","117° 40' 35.08"" S"
"41045","Malheur","43° 11' 10.61"" N","117° 37' 22.95"" S"
"41009","Columbia","45° 56' 37.18"" N","123° 5' 17.12"" S"
"41057","Tillamook","45° 27' 47.34"" N","123° 42' 46.86"" S"
"41037","Lake","42° 47' 27.82"" N","120° 23' 2.80"" S"
"41029","Jackson","42° 25' 53.41"" N","122° 43' 44.11"" S"
"41041","Lincoln","44° 38' 28.71"" N","123° 52' 5.82"" S"
"41053","Polk","44° 54' 12.60"" N","123° 24' 47.76"" S"
"41063","Wallowa","45° 34' 45.56"" N","117° 10' 48.83"" S"
"41071","Yamhill","45° 13' 57.57"" N","123° 18' 30.29"" S"
"41013","Crook","44° 8' 31.67"" N","120° 21' 20.33"" S"
"41069","Wheeler","44° 43' 31.91"" N","120° 1' 37.59"" S"
"41067","Washington","45° 33' 35.93"" N","123° 5' 53.05"" S"
