"nodeID","nodeLabel","latitude","longitude"
"72054","Florida","18° 22' 24.42"" N","66° 33' 36.76"" S"
"72113","Ponce","18° 3' 34.78"" N","66° 36' 50.64"" S"
"72115","Quebradillas","18° 26' 23.02"" N","66° 55' 33.71"" S"
"72141","Utuado","18° 16' 15.68"" N","66° 42' 8.89"" S"
"72147","Vieques","18° 7' 21.63"" N","65° 26' 20.78"" S"
"72023","Cabo Rojo","18° 2' 28.41"" N","67° 9' 17.71"" S"
"72031","Carolina","18° 22' 30.77"" N","65° 57' 25.35"" S"
"72037","Ceiba","18° 15' 6.21"" N","65° 39' 52.06"" S"
"72039","Ciales","18° 17' 20.52"" N","66° 30' 59.28"" S"
"72053","Fajardo","18° 19' 6.48"" N","65° 40' 2.50"" S"
"72097","Mayagüez","18° 10' 34.46"" N","67° 19' 47.83"" S"
"72151","Yabucoa","18° 4' 13.69"" N","65° 53' 46.71"" S"
"72061","Guaynabo","18° 20' 37.71"" N","66° 6' 50.60"" S"
"72035","Cayey","18° 6' 10.48"" N","66° 8' 58.31"" S"
"72041","Cidra","18° 10' 25.37"" N","66° 9' 39.36"" S"
"72011","Añasco","18° 17' 17.02"" N","67° 7' 14.25"" S"
"72013","Arecibo","18° 24' 24.73"" N","66° 40' 30.84"" S"
"72047","Corozal","18° 18' 15.53"" N","66° 19' 40.48"" S"
"72045","Comerío","18° 13' 29.08"" N","66° 13' 18.53"" S"
"72089","Luquillo","18° 20' 35.28"" N","65° 43' 29.67"" S"
"72093","Maricao","18° 10' 19.55"" N","66° 56' 32.26"" S"
"72007","Aguas Buenas","18° 15' 3.81"" N","66° 7' 38.42"" S"
"72005","Aguadilla","18° 27' 35.04"" N","67° 7' 14.75"" S"
"72021","Bayamón","18° 20' 58.50"" N","66° 10' 6.01"" S"
"72025","Caguas","18° 12' 42.85"" N","66° 3' 2.84"" S"
"72033","Cataño","18° 26' 29.50"" N","66° 8' 19.85"" S"
"72059","Guayanilla","18° 2' 19.09"" N","66° 47' 30.51"" S"
"72017","Barceloneta","18° 26' 44.55"" N","66° 33' 37.51"" S"
"72065","Hatillo","18° 24' 38.43"" N","66° 47' 47.30"" S"
"72019","Barranquitas","18° 12' 6.19"" N","66° 18' 35.43"" S"
"72111","Peñuelas","18° 3' 38.45"" N","66° 43' 17.10"" S"
"72127","San Juan","18° 23' 26.63"" N","66° 3' 47.86"" S"
"72143","Vega Alta","18° 24' 34.10"" N","66° 20' 13.97"" S"
"72099","Moca","18° 22' 40.64"" N","67° 4' 50.76"" S"
"72131","San Sebastián","18° 19' 43.41"" N","66° 58' 16.48"" S"
"72133","Santa Isabel","17° 59' 39.47"" N","66° 23' 18.85"" S"
"72149","Villalba","18° 7' 41.35"" N","66° 28' 22.14"" S"
"72101","Morovis","18° 19' 1.45"" N","66° 25' 13.12"" S"
"72105","Naranjito","18° 17' 18.34"" N","66° 15' 9.19"" S"
"72135","Toa Alta","18° 21' 45.12"" N","66° 14' 47.11"" S"
"72087","Loíza","18° 25' 34.81"" N","65° 53' 58.21"" S"
"72153","Yauco","18° 4' 46.98"" N","66° 51' 29.79"" S"
"72057","Guayama","18° 0' 13.74"" N","66° 8' 15.33"" S"
"72079","Lajas","18° 0' 41.35"" N","67° 2' 26.19"" S"
"72081","Lares","18° 16' 7.15"" N","66° 52' 0.41"" S"
"72103","Naguabo","18° 13' 49.31"" N","65° 45' 12.97"" S"
"72137","Toa Baja","18° 25' 56.44"" N","66° 12' 43.45"" S"
"72121","Sabana Grande","18° 5' 1.03"" N","66° 56' 35.97"" S"
"72001","Adjuntas","18° 10' 47.04"" N","66° 45' 14.24"" S"
"72051","Dorado","18° 26' 13.09"" N","66° 16' 42.51"" S"
"72083","Las Marías","18° 14' 13.53"" N","66° 59' 0.32"" S"
"72069","Humacao","18° 8' 42.42"" N","65° 48' 37.84"" S"
"72077","Juncos","18° 13' 24.83"" N","65° 54' 31.97"" S"
"72015","Arroyo","17° 59' 53.16"" N","66° 3' 22.82"" S"
"72123","Salinas","18° 0' 25.79"" N","66° 15' 18.13"" S"
"72003","Aguada","18° 21' 37.91"" N","67° 10' 29.99"" S"
"72107","Orocovis","18° 12' 53.63"" N","66° 26' 2.50"" S"
"72125","San Germán","18° 6' 40.00"" N","67° 2' 18.44"" S"
"72043","Coamo","18° 5' 50.30"" N","66° 21' 36.58"" S"
"72029","Canóvanas","18° 19' 44.50"" N","65° 53' 16.33"" S"
"72119","Río Grande","18° 20' 48.05"" N","65° 48' 48.88"" S"
"72027","Camuy","18° 25' 8.52"" N","66° 51' 37.26"" S"
"72049","Culebra","18° 18' 49.95"" N","65° 17' 10.26"" S"
"72095","Maunabo","18° 1' 4.65"" N","65° 55' 19.00"" S"
"72009","Aibonito","18° 7' 52.03"" N","66° 15' 51.90"" S"
"72067","Hormigueros","18° 8' 3.05"" N","67° 6' 50.55"" S"
"72091","Manatí","18° 25' 14.51"" N","66° 29' 24.95"" S"
"72139","Trujillo Alto","18° 20' 10.79"" N","65° 59' 56.83"" S"
"72073","Jayuya","18° 12' 38.34"" N","66° 35' 18.44"" S"
"72063","Gurabo","18° 15' 59.11"" N","65° 58' 45.44"" S"
"72145","Vega Baja","18° 25' 42.44"" N","66° 23' 52.54"" S"
"72055","Guánica","17° 58' 55.07"" N","66° 55' 10.42"" S"
"72109","Patillas","18° 1' 54.80"" N","66° 0' 45.00"" S"
"72075","Juana Díaz","18° 3' 4.15"" N","66° 29' 42.59"" S"
"72071","Isabela","18° 27' 0.45"" N","67° 0' 18.67"" S"
"72085","Las Piedras","18° 11' 15.24"" N","65° 52' 9.50"" S"
"72117","Rincón","18° 20' 8.44"" N","67° 13' 54.19"" S"
"72129","San Lorenzo","18° 8' 52.87"" N","65° 58' 35.24"" S"
