"nodeID","nodeLabel","latitude","longitude"
"45005","Allendale","32° 59' 17.16"" N","81° 21' 29.83"" S"
"45019","Charleston","32° 50' 4.79"" N","79° 57' 14.96"" S"
"45025","Chesterfield","34° 38' 23.25"" N","80° 9' 31.18"" S"
"45043","Georgetown","33° 26' 2.84"" N","79° 19' 56.68"" S"
"45063","Lexington","33° 54' 7.89"" N","81° 16' 19.48"" S"
"45077","Pickens","34° 53' 14.04"" N","82° 43' 30.89"" S"
"45091","York","34° 58' 29.06"" N","81° 11' 3.62"" S"
"45027","Clarendon","33° 39' 56.57"" N","80° 12' 59.89"" S"
"45047","Greenwood","34° 9' 13.44"" N","82° 7' 33.07"" S"
"45029","Colleton","32° 51' 48.36"" N","80° 39' 59.74"" S"
"45071","Newberry","34° 17' 23.20"" N","81° 36' 0.50"" S"
"45055","Kershaw","34° 20' 19.27"" N","80° 35' 25.30"" S"
"45059","Laurens","34° 29' 0.60"" N","82° 0' 21.14"" S"
"45069","Marlboro","34° 36' 6.67"" N","79° 40' 42.62"" S"
"45073","Oconee","34° 45' 11.84"" N","83° 3' 56.92"" S"
"45083","Spartanburg","34° 55' 51.74"" N","81° 59' 26.55"" S"
"45089","Williamsburg","33° 37' 11.44"" N","79° 43' 39.98"" S"
"45009","Bamberg","33° 12' 53.12"" N","81° 3' 15.07"" S"
"45057","Lancaster","34° 41' 11.66"" N","80° 42' 19.15"" S"
"45087","Union","34° 41' 21.05"" N","81° 37' 9.66"" S"
"45015","Berkeley","33° 11' 50.04"" N","79° 57' 7.44"" S"
"45067","Marion","34° 4' 47.50"" N","79° 21' 44.83"" S"
"45003","Aiken","33° 32' 38.96"" N","81° 38' 5.71"" S"
"45007","Anderson","34° 31' 8.92"" N","82° 38' 16.23"" S"
"45017","Calhoun","33° 40' 29.58"" N","80° 46' 48.43"" S"
"45035","Dorchester","33° 4' 45.26"" N","80° 24' 22.89"" S"
"45041","Florence","34° 1' 27.72"" N","79° 42' 10.12"" S"
"45045","Greenville","34° 53' 38.35"" N","82° 22' 14.02"" S"
"45051","Horry","33° 55' 16.81"" N","78° 59' 47.34"" S"
"45061","Lee","34° 9' 47.73"" N","80° 15' 15.88"" S"
"45021","Cherokee","35° 2' 53.15"" N","81° 37' 13.52"" S"
"45065","McCormick","33° 53' 58.22"" N","82° 18' 34.83"" S"
"45001","Abbeville","34° 13' 21.12"" N","82° 27' 33.29"" S"
"45081","Saluda","34° 0' 21.82"" N","81° 43' 36.75"" S"
"45011","Barnwell","33° 15' 57.71"" N","81° 26' 6.50"" S"
"45037","Edgefield","33° 46' 19.81"" N","81° 57' 59.24"" S"
"45053","Jasper","32° 26' 11.23"" N","81° 1' 53.39"" S"
"45039","Fairfield","34° 23' 42.37"" N","81° 7' 16.24"" S"
"45023","Chester","34° 41' 31.50"" N","81° 9' 34.18"" S"
"45085","Sumter","33° 54' 58.31"" N","80° 22' 56.37"" S"
"45079","Richland","34° 1' 18.38"" N","80° 54' 10.01"" S"
"45031","Darlington","34° 19' 56.92"" N","79° 57' 28.00"" S"
"45049","Hampton","32° 46' 34.51"" N","81° 8' 26.86"" S"
"45075","Orangeburg","33° 26' 21.00"" N","80° 47' 59.87"" S"
"45013","Beaufort","32° 23' 7.34"" N","80° 43' 49.27"" S"
"45033","Dillon","34° 23' 29.32"" N","79° 22' 43.95"" S"
