"nodeID_from","nodeID_to","weight","state"
"46003","46005",1184840,"South Dakota"
"46003","46007",511648,"South Dakota"
"46003","46009",1841771,"South Dakota"
"46003","46011",932426,"South Dakota"
"46003","46013",444184,"South Dakota"
"46003","46015",13496414,"South Dakota"
"46003","46017",1321232,"South Dakota"
"46003","46019",481298,"South Dakota"
"46003","46021",290694,"South Dakota"
"46003","46023",6412149,"South Dakota"
"46003","46025",975508,"South Dakota"
"46003","46027",644385,"South Dakota"
"46003","46029",574087,"South Dakota"
"46003","46031",247173,"South Dakota"
"46003","46033",237828,"South Dakota"
"46003","46035",12568940,"South Dakota"
"46003","46037",548105,"South Dakota"
"46003","46039",713657,"South Dakota"
"46003","46041",234595,"South Dakota"
"46003","46043",30643129,"South Dakota"
"46003","46045",819237,"South Dakota"
"46003","46047",332686,"South Dakota"
"46003","46049",1372448,"South Dakota"
"46003","46051",337090,"South Dakota"
"46003","46053",2085393,"South Dakota"
"46003","46055",911274,"South Dakota"
"46003","46057",870100,"South Dakota"
"46003","46059",2197170,"South Dakota"
"46003","46061",7806623,"South Dakota"
"46003","46063",425076,"South Dakota"
"46003","46065",945800,"South Dakota"
"46003","46067",4561924,"South Dakota"
"46003","46069",3105023,"South Dakota"
"46003","46071",437952,"South Dakota"
"46003","46073",15032014,"South Dakota"
"46003","46075",1172333,"South Dakota"
"46003","46077",1272874,"South Dakota"
"46003","46079",1422525,"South Dakota"
"46003","46081",363932,"South Dakota"
"46003","46083",978017,"South Dakota"
"46003","46085",2327564,"South Dakota"
"46003","46087",2047279,"South Dakota"
"46003","46089",587907,"South Dakota"
"46003","46091",372261,"South Dakota"
"46003","46093",352909,"South Dakota"
"46003","46095",529918,"South Dakota"
"46003","46097",2773105,"South Dakota"
"46003","46099",629271,"South Dakota"
"46003","46101",707580,"South Dakota"
"46003","46102",77516,"South Dakota"
"46003","46103",276180,"South Dakota"
"46003","46105",340839,"South Dakota"
"46003","46107",911744,"South Dakota"
"46003","46109",342483,"South Dakota"
"46003","46111",13838857,"South Dakota"
"46003","46115",690420,"South Dakota"
"46003","46117",1030309,"South Dakota"
