"nodeID","nodeLabel","latitude","longitude"
"46073","Jerauld","44° 3' 58.94"" N","98° 37' 46.79"" S"
"46093","Meade","44° 33' 59.29"" N","102° 43' 6.36"" S"
"46095","Mellette","43° 34' 53.06"" N","100° 45' 35.16"" S"
"46123","Tripp","43° 20' 43.51"" N","99° 53' 1.90"" S"
"46067","Hutchinson","43° 20' 5.65"" N","97° 45' 15.90"" S"
"46085","Lyman","43° 53' 44.68"" N","99° 50' 48.29"" S"
"46117","Stanley","44° 24' 43.88"" N","100° 44' 6.99"" S"
"46009","Bon Homme","42° 59' 18.14"" N","97° 53' 4.95"" S"
"46041","Dewey","45° 9' 23.21"" N","100° 52' 18.04"" S"
"46071","Jackson","43° 41' 38.63"" N","101° 37' 42.38"" S"
"46075","Jones","43° 57' 37.87"" N","100° 41' 22.55"" S"
"46079","Lake","44° 1' 19.11"" N","97° 7' 45.69"" S"
"46127","Union","42° 49' 55.77"" N","96° 39' 21.39"" S"
"46055","Haakon","44° 17' 38.97"" N","101° 32' 24.32"" S"
"46003","Aurora","43° 43' 4.19"" N","98° 33' 41.51"" S"
"46023","Charles Mix","43° 12' 28.37"" N","98° 35' 11.74"" S"
"46111","Sanborn","44° 1' 24.02"" N","98° 5' 28.83"" S"
"46109","Roberts","45° 37' 44.55"" N","96° 56' 46.18"" S"
"46121","Todd","43° 11' 36.80"" N","100° 43' 6.39"" S"
"46015","Brule","43° 43' 4.63"" N","99° 4' 51.28"" S"
"46035","Davison","43° 40' 28.56"" N","98° 8' 45.41"" S"
"46039","Deuel","44° 45' 35.44"" N","96° 40' 4.85"" S"
"46049","Faulk","45° 4' 15.99"" N","99° 8' 43.02"" S"
"46005","Beadle","44° 24' 52.10"" N","98° 16' 41.19"" S"
"46011","Brookings","44° 22' 10.77"" N","96° 47' 25.57"" S"
"46059","Hand","44° 32' 49.95"" N","99° 0' 17.66"" S"
"46063","Harding","45° 34' 48.11"" N","103° 29' 45.09"" S"
"46077","Kingsbury","44° 22' 10.62"" N","97° 29' 29.41"" S"
"46087","McCook","43° 40' 27.17"" N","97° 22' 6.39"" S"
"46089","McPherson","45° 45' 59.71"" N","99° 13' 17.05"" S"
"46097","Miner","44° 1' 18.74"" N","97° 36' 36.71"" S"
"46099","Minnehaha","43° 40' 26.96"" N","96° 47' 29.31"" S"
"46125","Turner","43° 18' 38.78"" N","97° 8' 54.91"" S"
"46107","Potter","45° 3' 52.45"" N","99° 57' 26.37"" S"
"46047","Fall River","43° 14' 22.11"" N","103° 31' 39.10"" S"
"46007","Bennett","43° 11' 42.30"" N","101° 39' 50.35"" S"
"46065","Hughes","44° 23' 20.60"" N","99° 59' 44.08"" S"
"46129","Walworth","45° 25' 47.75"" N","100° 1' 53.09"" S"
"46051","Grant","45° 10' 19.02"" N","96° 46' 2.94"" S"
"46045","Edmunds","45° 25' 8.29"" N","99° 12' 55.14"" S"
"46043","Douglas","43° 23' 13.05"" N","98° 21' 57.36"" S"
"46057","Hamlin","44° 40' 25.68"" N","97° 11' 17.95"" S"
"46091","Marshall","45° 45' 30.91"" N","97° 35' 54.98"" S"
"46103","Pennington","44° 0' 17.82"" N","102° 49' 27.07"" S"
"46061","Hanson","43° 40' 28.91"" N","97° 47' 14.22"" S"
"46115","Spink","44° 56' 15.66"" N","98° 20' 46.23"" S"
"46037","Day","45° 22' 1.49"" N","97° 36' 26.62"" S"
"46027","Clay","42° 54' 52.46"" N","96° 58' 32.18"" S"
"46135","Yankton","43° 0' 32.11"" N","97° 23' 41.08"" S"
"46033","Custer","43° 40' 40.79"" N","103° 27' 6.32"" S"
"46031","Corson","45° 42' 33.24"" N","101° 11' 48.89"" S"
"46029","Codington","44° 58' 40.13"" N","97° 11' 19.05"" S"
"46025","Clark","44° 51' 28.15"" N","97° 43' 45.94"" S"
"46013","Brown","45° 35' 21.40"" N","98° 21' 5.73"" S"
"46017","Buffalo","44° 4' 34.79"" N","99° 12' 17.11"" S"
"46069","Hyde","44° 32' 47.99"" N","99° 29' 13.27"" S"
"46053","Gregory","43° 11' 32.54"" N","99° 11' 6.40"" S"
"46102","Oglala Lakota","43° 20' 6.76"" N","102° 33' 5.91"" S"
"46083","Lincoln","43° 16' 43.51"" N","96° 43' 18.05"" S"
"46081","Lawrence","44° 21' 30.43"" N","103° 47' 31.95"" S"
"46019","Butte","44° 54' 20.63"" N","103° 30' 28.78"" S"
"46119","Sully","44° 42' 56.65"" N","100° 7' 56.37"" S"
"46101","Moody","44° 1' 18.74"" N","96° 40' 15.20"" S"
"46137","Ziebach","44° 58' 46.23"" N","101° 39' 55.64"" S"
"46021","Campbell","45° 46' 16.15"" N","100° 3' 5.65"" S"
"46105","Perkins","45° 29' 22.52"" N","102° 28' 32.58"" S"
