"nodeID_from","nodeID_to","weight","state"
"47001","47003",16163,"Tennessee"
"47001","47005",17013,"Tennessee"
"47001","47007",51062,"Tennessee"
"47001","47009",323309,"Tennessee"
"47001","47011",52039,"Tennessee"
"47001","47013",1768863,"Tennessee"
"47001","47015",15476,"Tennessee"
"47001","47017",18062,"Tennessee"
"47001","47019",50602,"Tennessee"
"47001","47021",18900,"Tennessee"
"47001","47023",20134,"Tennessee"
"47001","47025",252767,"Tennessee"
"47001","47027",40325,"Tennessee"
"47001","47029",91631,"Tennessee"
"47001","47031",22954,"Tennessee"
"47001","47033",13735,"Tennessee"
"47001","47035",124080,"Tennessee"
"47001","47037",22266,"Tennessee"
"47001","47039",18355,"Tennessee"
"47001","47041",23294,"Tennessee"
"47001","47043",18199,"Tennessee"
"47001","47045",9638,"Tennessee"
"47001","47047",10974,"Tennessee"
"47001","47049",109280,"Tennessee"
"47001","47051",22845,"Tennessee"
"47001","47053",14185,"Tennessee"
"47001","47055",13305,"Tennessee"
"47001","47057",220367,"Tennessee"
"47001","47059",60995,"Tennessee"
"47001","47061",21826,"Tennessee"
"47001","47063",113074,"Tennessee"
"47001","47065",48483,"Tennessee"
"47001","47067",111780,"Tennessee"
"47001","47069",10381,"Tennessee"
"47001","47071",10723,"Tennessee"
"47001","47073",66469,"Tennessee"
"47001","47075",6708,"Tennessee"
"47001","47077",23246,"Tennessee"
"47001","47079",17838,"Tennessee"
"47001","47081",12428,"Tennessee"
"47001","47083",18581,"Tennessee"
"47001","47085",24669,"Tennessee"
"47001","47087",43167,"Tennessee"
"47001","47089",191608,"Tennessee"
"47001","47091",22358,"Tennessee"
"47001","47093",774982,"Tennessee"
"47001","47095",8143,"Tennessee"
"47001","47097",6084,"Tennessee"
"47001","47099",15194,"Tennessee"
"47001","47101",19438,"Tennessee"
"47001","47103",17577,"Tennessee"
"47001","47105",420116,"Tennessee"
"47001","47107",124674,"Tennessee"
"47001","47109",8776,"Tennessee"
"47001","47111",18668,"Tennessee"
"47001","47113",12772,"Tennessee"
"47001","47115",27461,"Tennessee"
"47001","47117",14188,"Tennessee"
"47001","47119",19867,"Tennessee"
"47001","47121",178535,"Tennessee"
"47001","47123",191378,"Tennessee"
"47001","47125",13345,"Tennessee"
"47001","47127",21932,"Tennessee"
"47001","47129",2352674,"Tennessee"
"47001","47131",10071,"Tennessee"
"47001","47133",34459,"Tennessee"
"47001","47135",19961,"Tennessee"
"47001","47137",33009,"Tennessee"
"47001","47139",42352,"Tennessee"
"47001","47141",69183,"Tennessee"
"47001","47143",113669,"Tennessee"
"47001","47145",1660209,"Tennessee"
"47001","47147",17266,"Tennessee"
"47001","47149",25440,"Tennessee"
"47001","47151",605598,"Tennessee"
"47001","47153",39536,"Tennessee"
"47001","47155",165014,"Tennessee"
"47001","47157",6120,"Tennessee"
"47001","47159",21132,"Tennessee"
"47001","47161",12619,"Tennessee"
"47001","47163",52372,"Tennessee"
"47001","47165",21865,"Tennessee"
"47001","47167",11121,"Tennessee"
"47001","47169",24766,"Tennessee"
"47001","47171",36918,"Tennessee"
"47001","47173",924439,"Tennessee"
"47001","47175",33632,"Tennessee"
"47001","47177",18287,"Tennessee"
"47001","47179",76572,"Tennessee"
"47001","47181",12137,"Tennessee"
"47001","47183",18359,"Tennessee"
"47001","47185",42078,"Tennessee"
"47001","47187",24340,"Tennessee"
"47001","47189",27218,"Tennessee"
"47003","47005",49516,"Tennessee"
"47003","47007",76841,"Tennessee"
"47003","47009",19403,"Tennessee"
"47003","47011",19610,"Tennessee"
"47003","47013",9935,"Tennessee"
"47003","47015",767631,"Tennessee"
"47003","47017",41385,"Tennessee"
"47003","47019",9033,"Tennessee"
"47003","47021",100041,"Tennessee"
"47003","47023",44214,"Tennessee"
"47003","47025",17765,"Tennessee"
"47003","47027",55085,"Tennessee"
"47003","47029",8703,"Tennessee"
"47003","47031",1505708,"Tennessee"
"47003","47033",33903,"Tennessee"
"47003","47035",37531,"Tennessee"
"47003","47037",106350,"Tennessee"
"47003","47039",38020,"Tennessee"
"47003","47041",207483,"Tennessee"
