"nodeID","nodeLabel","latitude","longitude"
"47001","Anderson","36° 7' 6.35"" N","84° 11' 54.68"" S"
"47003","Bedford","35° 30' 49.53"" N","86° 27' 31.92"" S"
"47005","Benton","36° 4' 10.39"" N","88° 4' 6.15"" S"
"47019","Carter","36° 17' 33.69"" N","82° 7' 38.91"" S"
"47029","Cocke","35° 55' 31.26"" N","83° 7' 16.28"" S"
"47049","Fentress","36° 22' 49.37"" N","84° 55' 57.13"" S"
"47063","Hamblen","36° 13' 1.72"" N","83° 16' 0.18"" S"
"47073","Hawkins","36° 26' 28.36"" N","82° 56' 41.54"" S"
"47081","Hickman","35° 48' 11.52"" N","87° 28' 24.29"" S"
"47097","Lauderdale","35° 45' 39.50"" N","89° 37' 53.85"" S"
"47121","Meigs","35° 30' 45.71"" N","84° 48' 49.15"" S"
"47149","Rutherford","35° 50' 33.50"" N","86° 25' 0.16"" S"
"47173","Union","36° 17' 16.22"" N","83° 50' 15.09"" S"
"47057","Grainger","36° 16' 34.51"" N","83° 30' 35.12"" S"
"47091","Johnson","36° 27' 17.56"" N","81° 51' 6.66"" S"
"47107","McMinn","35° 25' 28.86"" N","84° 37' 2.99"" S"
"47117","Marshall","35° 28' 7.36"" N","86° 45' 54.19"" S"
"47123","Monroe","35° 26' 33.24"" N","84° 15' 9.59"" S"
"47143","Rhea","35° 36' 31.07"" N","84° 55' 28.46"" S"
"47151","Scott","36° 25' 42.24"" N","84° 30' 12.39"" S"
"47155","Sevier","35° 47' 4.39"" N","83° 31' 26.85"" S"
"47157","Shelby","35° 11' 2.10"" N","89° 53' 44.25"" S"
"47165","Sumner","36° 28' 9.55"" N","86° 27' 37.82"" S"
"47167","Tipton","35° 29' 48.98"" N","89° 45' 33.43"" S"
"47185","White","35° 55' 34.86"" N","85° 27' 18.65"" S"
"47189","Wilson","36° 9' 17.30"" N","86° 17' 51.41"" S"
"47013","Campbell","36° 24' 12.40"" N","84° 8' 58.12"" S"
"47021","Cheatham","36° 15' 39.64"" N","87° 5' 12.25"" S"
"47031","Coffee","35° 29' 25.97"" N","86° 4' 28.88"" S"
"47035","Cumberland","35° 57' 1.17"" N","84° 59' 54.15"" S"
"47037","Davidson","36° 10' 10.12"" N","86° 47' 5.15"" S"
"47041","DeKalb","35° 58' 47.39"" N","85° 49' 57.77"" S"
"47065","Hamilton","35° 10' 50.54"" N","85° 9' 53.56"" S"
"47089","Jefferson","36° 3' 3.52"" N","83° 26' 46.53"" S"
"47025","Claiborne","36° 29' 9.27"" N","83° 39' 37.36"" S"
"47053","Gibson","35° 59' 47.53"" N","88° 55' 57.01"" S"
"47135","Perry","35° 38' 33.15"" N","87° 51' 32.23"" S"
"47163","Sullivan","36° 30' 46.93"" N","82° 18' 15.31"" S"
"47009","Blount","35° 41' 13.83"" N","83° 55' 31.76"" S"
"47129","Morgan","36° 8' 5.82"" N","84° 38' 56.64"" S"
"47045","Dyer","36° 3' 32.61"" N","89° 24' 49.78"" S"
"47127","Moore","35° 17' 4.53"" N","86° 21' 31.43"" S"
