"nodeID","nodeLabel","latitude","longitude"
"49001","Beaver","38° 21' 28.52"" N","113° 14' 8.27"" S"
"49003","Box Elder","41° 31' 17.08"" N","113° 4' 57.16"" S"
"49011","Davis","40° 59' 24.30"" N","112° 6' 40.78"" S"
"49029","Morgan","41° 5' 20.92"" N","111° 34' 24.45"" S"
"49035","Salt Lake","40° 40' 2.12"" N","111° 55' 25.01"" S"
"49043","Summit","40° 52' 7.39"" N","110° 57' 21.23"" S"
"49049","Utah","40° 7' 11.22"" N","111° 40' 10.65"" S"
"49025","Kane","37° 17' 10.70"" N","111° 53' 17.32"" S"
"49033","Rich","41° 37' 53.59"" N","111° 14' 39.65"" S"
"49045","Tooele","40° 26' 55.40"" N","113° 7' 51.90"" S"
"49047","Uintah","40° 7' 22.41"" N","109° 31' 7.16"" S"
"49051","Wasatch","40° 19' 49.38"" N","111° 10' 3.60"" S"
"49007","Carbon","39° 38' 54.74"" N","110° 35' 19.40"" S"
"49019","Grand","38° 58' 52.89"" N","109° 34' 11.62"" S"
"49005","Cache","41° 43' 19.69"" N","111° 44' 36.38"" S"
"49023","Juab","39° 42' 16.90"" N","112° 47' 2.19"" S"
"49057","Weber","41° 16' 12.15"" N","111° 54' 49.44"" S"
"49017","Garfield","37° 51' 23.48"" N","111° 26' 36.36"" S"
"49037","San Juan","37° 37' 28.93"" N","109° 48' 24.29"" S"
"49009","Daggett","40° 53' 15.23"" N","109° 30' 27.08"" S"
"49021","Iron","37° 51' 34.47"" N","113° 17' 22.28"" S"
"49027","Millard","39° 4' 25.56"" N","113° 6' 2.96"" S"
"49055","Wayne","38° 19' 32.67"" N","110° 54' 14.33"" S"
"49041","Sevier","38° 44' 52.38"" N","111° 48' 17.18"" S"
"49031","Piute","38° 20' 11.87"" N","112° 7' 38.22"" S"
"49053","Washington","37° 16' 49.88"" N","113° 30' 16.50"" S"
"49015","Emery","38° 59' 46.62"" N","110° 42' 1.83"" S"
"49039","Sanpete","39° 22' 24.45"" N","111° 34' 36.41"" S"
"49013","Duchesne","40° 17' 50.55"" N","110° 25' 30.93"" S"
