"nodeID","nodeLabel","latitude","longitude"
"50017","Orange","44° 0' 20.26"" N","72° 22' 36.81"" S"
"50027","Windsor","43° 34' 46.08"" N","72° 35' 10.35"" S"
"50025","Windham","42° 59' 25.36"" N","72° 42' 49.95"" S"
"50009","Essex","44° 43' 38.96"" N","71° 44' 10.79"" S"
"50019","Orleans","44° 49' 43.33"" N","72° 14' 37.86"" S"
"50003","Bennington","43° 2' 6.02"" N","73° 5' 35.10"" S"
"50007","Chittenden","44° 27' 39.10"" N","73° 4' 51.23"" S"
"50011","Franklin","44° 51' 26.96"" N","72° 54' 43.73"" S"
"50015","Lamoille","44° 36' 20.35"" N","72° 38' 29.01"" S"
"50023","Washington","44° 16' 24.16"" N","72° 36' 54.97"" S"
"50001","Addison","44° 1' 50.68"" N","73° 8' 27.01"" S"
"50013","Grand Isle","44° 47' 47.37"" N","73° 17' 41.69"" S"
"50021","Rutland","43° 34' 47.44"" N","73° 2' 11.61"" S"
"50005","Caledonia","44° 27' 51.82"" N","72° 6' 8.79"" S"
