"nodeID","nodeLabel","latitude","longitude"
"51015","Augusta","38° 9' 51.60"" N","79° 8' 1.56"" S"
"51037","Charlotte","37° 0' 41.38"" N","78° 39' 41.58"" S"
"51051","Dickenson","37° 7' 32.77"" N","82° 21' 1.26"" S"
"51053","Dinwiddie","37° 4' 33.29"" N","77° 37' 56.19"" S"
"51069","Frederick","39° 12' 16.09"" N","78° 15' 45.30"" S"
"51073","Gloucester","37° 24' 57.17"" N","76° 32' 36.10"" S"
"51085","Hanover","37° 45' 36.45"" N","77° 29' 27.03"" S"
"51099","King George","38° 16' 24.01"" N","77° 9' 25.91"" S"
"51125","Nelson","37° 47' 14.17"" N","78° 53' 12.44"" S"
"51131","Northampton","37° 20' 34.25"" N","75° 52' 37.36"" S"
"51137","Orange","38° 14' 46.48"" N","78° 0' 49.87"" S"
"51145","Powhatan","37° 33' 0.70"" N","77° 54' 54.75"" S"
"51149","Prince George","37° 11' 11.37"" N","77° 13' 27.40"" S"
"51161","Roanoke","37° 16' 9.32"" N","80° 4' 4.69"" S"
"51177","Spotsylvania","38° 11' 5.72"" N","77° 39' 22.06"" S"
"51185","Tazewell","37° 7' 29.94"" N","81° 33' 38.69"" S"
"51199","York","37° 14' 35.30"" N","76° 33' 48.22"" S"
"51007","Amelia","37° 20' 9.63"" N","77° 58' 33.65"" S"
"51017","Bath","38° 3' 31.18"" N","79° 44' 28.02"" S"
"51019","Bedford","37° 18' 54.16"" N","79° 31' 27.49"" S"
"51023","Botetourt","37° 33' 25.29"" N","79° 48' 44.62"" S"
"51033","Caroline","38° 1' 35.93"" N","77° 20' 49.62"" S"
"51036","Charles City","37° 21' 24.20"" N","77° 3' 43.76"" S"
"51041","Chesterfield","37° 22' 42.74"" N","77° 35' 12.76"" S"
"51057","Essex","37° 56' 35.91"" N","76° 57' 4.32"" S"
"51067","Franklin","36° 59' 30.85"" N","79° 52' 51.96"" S"
"51083","Halifax","36° 46' 0.35"" N","78° 56' 11.94"" S"
"51091","Highland","38° 21' 44.11"" N","79° 34' 6.80"" S"
"51095","James City","37° 19' 43.47"" N","76° 46' 43.39"" S"
"51107","Loudoun","39° 5' 26.01"" N","77° 38' 8.38"" S"
"51111","Lunenburg","36° 56' 46.33"" N","78° 14' 25.71"" S"
"51127","New Kent","37° 30' 18.86"" N","76° 59' 50.23"" S"
"51133","Northumberland","37° 53' 15.29"" N","76° 25' 10.33"" S"
"51143","Pittsylvania","36° 49' 15.71"" N","79° 23' 50.35"" S"
"51159","Richmond","37° 56' 36.10"" N","76° 43' 36.14"" S"
