"nodeID","nodeLabel","latitude","longitude"
"53065","Stevens","48° 23' 49.14"" N","117° 51' 19.42"" S"
"53005","Benton","46° 14' 21.10"" N","119° 30' 39.12"" S"
"53007","Chelan","47° 52' 3.96"" N","120° 37' 5.47"" S"
"53009","Clallam","48° 3' 0.84"" N","123° 55' 37.40"" S"
"53015","Cowlitz","46° 11' 35.70"" N","122° 40' 50.86"" S"
"53025","Grant","47° 12' 15.66"" N","119° 27' 12.50"" S"
"53031","Jefferson","47° 44' 59.14"" N","123° 35' 46.64"" S"
"53037","Kittitas","47° 7' 27.89"" N","120° 40' 41.15"" S"
"53043","Lincoln","47° 34' 34.04"" N","118° 25' 6.54"" S"
"53047","Okanogan","48° 32' 54.73"" N","119° 44' 24.40"" S"
"53049","Pacific","46° 33' 19.73"" N","123° 42' 15.57"" S"
"53053","Pierce","47° 1' 27.27"" N","122° 6' 12.99"" S"
"53061","Snohomish","48° 2' 51.58"" N","121° 41' 51.45"" S"
"53071","Walla Walla","46° 13' 46.49"" N","118° 28' 42.77"" S"
"53073","Whatcom","48° 49' 37.89"" N","121° 43' 11.27"" S"
"53077","Yakima","46° 27' 24.50"" N","120° 44' 15.09"" S"
"53011","Clark","45° 46' 44.65"" N","122° 28' 57.15"" S"
"53045","Mason","47° 20' 53.50"" N","123° 11' 33.86"" S"
"53027","Grays Harbor","47° 8' 58.94"" N","123° 46' 20.85"" S"
"53033","King","47° 29' 24.45"" N","121° 48' 19.18"" S"
"53057","Skagit","48° 28' 49.13"" N","121° 43' 48.69"" S"
"53019","Ferry","48° 28' 7.04"" N","118° 31' 0.39"" S"
"53075","Whitman","46° 54' 2.89"" N","117° 31' 23.11"" S"
"53067","Thurston","46° 55' 32.73"" N","122° 49' 58.50"" S"
"53021","Franklin","46° 32' 4.92"" N","118° 53' 57.75"" S"
"53055","San Juan","48° 34' 41.28"" N","122° 57' 53.92"" S"
"53051","Pend Oreille","48° 31' 51.50"" N","117° 16' 26.12"" S"
"53059","Skamania","46° 1' 20.50"" N","121° 54' 54.12"" S"
"53013","Columbia","46° 17' 49.93"" N","117° 54' 26.24"" S"
"53029","Island","48° 9' 45.76"" N","122° 32' 51.78"" S"
"53035","Kitsap","47° 36' 46.56"" N","122° 40' 18.86"" S"
"53041","Lewis","46° 34' 44.35"" N","122° 23' 33.53"" S"
"53039","Klickitat","45° 52' 28.58"" N","120° 47' 21.67"" S"
"53001","Adams","46° 59' 0.69"" N","118° 33' 40.11"" S"
"53063","Spokane","47° 37' 11.93"" N","117° 24' 15.71"" S"
"53023","Garfield","46° 25' 52.23"" N","117° 32' 42.11"" S"
"53003","Asotin","46° 11' 29.92"" N","117° 12' 10.88"" S"
"53069","Wahkiakum","46° 17' 30.44"" N","123° 25' 27.45"" S"
"53017","Douglas","47° 44' 8.53"" N","119° 41' 36.48"" S"
