"nodeID","nodeLabel","latitude","longitude"
"55003","Ashland","46° 18' 54.07"" N","90° 40' 39.87"" S"
"55043","Grant","42° 52' 1.89"" N","90° 42' 22.09"" S"
"55113","Sawyer","45° 52' 47.49"" N","91° 8' 39.47"" S"
"55023","Crawford","43° 14' 21.62"" N","90° 55' 52.19"" S"
"55037","Florence","45° 50' 54.53"" N","88° 23' 52.81"" S"
"55051","Iron","46° 15' 43.09"" N","90° 14' 29.37"" S"
"55069","Lincoln","45° 20' 14.29"" N","89° 44' 4.56"" S"
"55075","Marinette","45° 22' 56.28"" N","88° 1' 57.60"" S"
"55111","Sauk","43° 25' 35.47"" N","89° 56' 53.62"" S"
"55001","Adams","43° 58' 8.93"" N","89° 46' 13.02"" S"
"55011","Buffalo","44° 22' 46.51"" N","91° 45' 15.32"" S"
"55007","Bayfield","46° 31' 23.13"" N","91° 12' 4.43"" S"
"55057","Juneau","43° 55' 26.74"" N","90° 6' 49.04"" S"
"55121","Trempealeau","44° 18' 12.79"" N","91° 21' 30.72"" S"
"55123","Vernon","43° 35' 38.55"" N","90° 50' 4.49"" S"
"55077","Marquette","43° 49' 10.07"" N","89° 23' 55.58"" S"
"55085","Oneida","45° 42' 20.53"" N","89° 31' 17.72"" S"
"55105","Rock","42° 40' 16.29"" N","89° 4' 17.64"" S"
"55119","Taylor","45° 12' 42.10"" N","90° 30' 4.77"" S"
"55067","Langlade","45° 15' 44.39"" N","89° 4' 18.56"" S"
"55073","Marathon","44° 53' 54.43"" N","89° 45' 32.93"" S"
"55127","Walworth","42° 40' 6.28"" N","88° 32' 30.97"" S"
"55025","Dane","43° 4' 2.28"" N","89° 25' 5.35"" S"
"55039","Fond du Lac","43° 45' 13.09"" N","88° 29' 17.46"" S"
"55059","Kenosha","42° 34' 37.08"" N","88° 2' 32.61"" S"
"55015","Calumet","44° 4' 53.42"" N","88° 13' 4.88"" S"
"55021","Columbia","43° 27' 59.81"" N","89° 20' 1.27"" S"
"55005","Barron","45° 25' 24.78"" N","91° 50' 53.91"" S"
"55089","Ozaukee","43° 23' 1.96"" N","87° 57' 3.58"" S"
"55091","Pepin","44° 34' 58.63"" N","92° 0' 6.61"" S"
"55071","Manitowoc","44° 7' 11.16"" N","87° 48' 35.62"" S"
"55083","Oconto","45° 1' 32.78"" N","88° 16' 5.79"" S"
"55049","Iowa","43° 0' 1.51"" N","90° 8' 7.29"" S"
"55031","Douglas","46° 25' 57.41"" N","91° 54' 58.42"" S"
"55101","Racine","42° 44' 51.03"" N","88° 3' 40.54"" S"
"55129","Washburn","45° 53' 56.13"" N","91° 47' 28.27"" S"
"55135","Waupaca","44° 28' 13.11"" N","88° 57' 53.56"" S"
"55093","Pierce","44° 43' 10.69"" N","92° 25' 20.18"" S"
"55097","Portage","44° 28' 33.17"" N","89° 30' 4.61"" S"
"55141","Wood","44° 27' 18.69"" N","90° 2' 29.28"" S"
"55027","Dodge","43° 24' 58.20"" N","88° 42' 27.12"" S"
"55133","Waukesha","43° 1' 5.30"" N","88° 18' 16.26"" S"
"55045","Green","42° 40' 47.62"" N","89° 36' 7.93"" S"
"55033","Dunn","44° 56' 46.49"" N","91° 53' 47.00"" S"
"55087","Outagamie","44° 24' 57.72"" N","88° 27' 53.81"" S"
"55017","Chippewa","45° 4' 9.59"" N","91° 16' 47.62"" S"
"55019","Clark","44° 44' 3.69"" N","90° 36' 43.23"" S"
"55109","St. Croix","45° 2' 2.55"" N","92° 27' 10.01"" S"
"55137","Waushara","44° 6' 47.59"" N","89° 14' 34.43"" S"
"55115","Shawano","44° 47' 21.67"" N","88° 45' 53.49"" S"
"55095","Polk","45° 27' 40.23"" N","92° 26' 28.89"" S"
"55125","Vilas","46° 3' 11.06"" N","89° 30' 52.76"" S"
"55053","Jackson","44° 19' 9.14"" N","90° 48' 18.22"" S"
"55047","Green Lake","43° 48' 0.99"" N","89° 2' 41.68"" S"
"55055","Jefferson","43° 1' 14.66"" N","88° 46' 33.18"" S"
"55041","Forest","45° 40' 0.88"" N","88° 46' 12.18"" S"
"55103","Richland","43° 22' 31.96"" N","90° 25' 46.12"" S"
"55065","Lafayette","42° 39' 37.76"" N","90° 7' 54.11"" S"
"55078","Menominee","45° 0' 15.79"" N","88° 42' 35.84"" S"
"55013","Burnett","45° 51' 45.36"" N","92° 22' 4.96"" S"
"55009","Brown","44° 27' 10.02"" N","88° 0' 13.31"" S"
"55061","Kewaunee","44° 30' 57.39"" N","87° 36' 55.32"" S"
"55063","La Crosse","43° 54' 23.34"" N","91° 6' 54.58"" S"
"55131","Washington","43° 22' 6.08"" N","88° 13' 50.71"" S"
"55035","Eau Claire","44° 43' 36.76"" N","91° 17' 9.52"" S"
"55099","Price","45° 40' 48.02"" N","90° 21' 41.06"" S"
"55107","Rusk","45° 28' 30.85"" N","91° 7' 59.82"" S"
"55117","Sheboygan","43° 43' 15.89"" N","87° 56' 43.40"" S"
"55139","Winnebago","44° 4' 7.70"" N","88° 38' 40.73"" S"
"55029","Door","44° 56' 48.46"" N","87° 18' 53.23"" S"
"55081","Monroe","43° 56' 44.23"" N","90° 37' 3.96"" S"
"55079","Milwaukee","43° 0' 25.36"" N","87° 58' 0.27"" S"
