"nodeID","nodeLabel","latitude","longitude"
"56029","Park","44° 31' 13.43"" N","109° 35' 9.29"" S"
"56003","Big Horn","44° 31' 35.15"" N","107° 59' 38.75"" S"
"56013","Fremont","43° 2' 22.55"" N","108° 37' 32.18"" S"
"56031","Platte","42° 7' 55.01"" N","104° 57' 57.25"" S"
"56035","Sublette","42° 45' 57.71"" N","109° 54' 49.13"" S"
"56033","Sheridan","44° 47' 27.02"" N","106° 52' 44.05"" S"
"56039","Teton","43° 55' 57.60"" N","110° 35' 21.77"" S"
"56041","Uinta","41° 17' 15.41"" N","110° 32' 51.53"" S"
"56045","Weston","43° 50' 24.84"" N","104° 34' 3.68"" S"
"56001","Albany","41° 39' 7.98"" N","105° 43' 27.47"" S"
"56005","Campbell","44° 14' 43.14"" N","105° 32' 53.57"" S"
"56015","Goshen","42° 5' 11.82"" N","104° 21' 11.92"" S"
"56019","Johnson","44° 2' 15.70"" N","106° 35' 3.95"" S"
"56037","Sweetwater","41° 39' 34.37"" N","108° 52' 49.88"" S"
"56011","Crook","44° 35' 16.79"" N","104° 34' 11.76"" S"
"56017","Hot Springs","43° 43' 9.74"" N","108° 26' 28.80"" S"
"56023","Lincoln","42° 15' 38.32"" N","110° 39' 15.12"" S"
"56027","Niobrara","43° 3' 20.32"" N","104° 28' 31.51"" S"
"56007","Carbon","41° 41' 34.34"" N","106° 55' 56.24"" S"
"56009","Converse","42° 58' 16.55"" N","105° 30' 26.93"" S"
"56043","Washakie","43° 54' 18.38"" N","107° 40' 54.74"" S"
"56025","Natrona","42° 57' 41.10"" N","106° 47' 54.63"" S"
"56021","Laramie","41° 18' 25.32"" N","104° 41' 21.50"" S"
