"nodeID","nodeLabel","latitude","longitude"
"20053","Ellsworth","38° 41' 47.80"" N","98° 12' 17.12"" S"
"20095","Kingman","37° 33' 32.10"" N","98° 8' 10.82"" S"
"20135","Ness","38° 28' 45.73"" N","99° 54' 58.13"" S"
"20199","Wallace","38° 54' 59.70"" N","101° 45' 49.02"" S"
"20069","Gray","37° 44' 16.61"" N","100° 26' 16.31"" S"
"20143","Ottawa","39° 7' 57.01"" N","97° 39' 0.75"" S"
"20181","Sherman","39° 21' 4.99"" N","101° 43' 11.95"" S"
"20033","Comanche","37° 11' 28.35"" N","99° 16' 18.64"" S"
"20149","Pottawatomie","39° 22' 44.33"" N","96° 20' 32.39"" S"
"20083","Hodgeman","38° 5' 15.05"" N","99° 53' 52.54"" S"
"20203","Wichita","38° 28' 54.90"" N","101° 20' 50.58"" S"
"20065","Graham","39° 20' 58.63"" N","99° 52' 59.64"" S"
"20067","Grant","37° 33' 44.02"" N","101° 18' 28.89"" S"
"20195","Trego","38° 54' 51.12"" N","99° 52' 22.23"" S"
"20105","Lincoln","39° 2' 43.01"" N","98° 12' 27.68"" S"
"20109","Logan","38° 55' 2.10"" N","101° 8' 54.27"" S"
"20111","Lyon","38° 27' 21.20"" N","96° 9' 9.56"" S"
"20113","McPherson","38° 23' 29.56"" N","97° 38' 52.87"" S"
"20049","Elk","37° 27' 13.31"" N","96° 14' 38.95"" S"
"20057","Ford","37° 41' 29.95"" N","99° 53' 16.57"" S"
"20091","Johnson","38° 53' 1.44"" N","94° 49' 20.47"" S"
"20097","Kiowa","37° 33' 29.52"" N","99° 17' 9.87"" S"
"20101","Lane","38° 28' 52.27"" N","100° 27' 59.11"" S"
"20063","Gove","38° 54' 57.71"" N","100° 28' 58.70"" S"
"20073","Greenwood","37° 52' 39.35"" N","96° 13' 57.64"" S"
"20077","Harper","37° 11' 29.63"" N","98° 4' 31.74"" S"
"20085","Jackson","39° 25' 0.13"" N","95° 47' 37.53"" S"
"20001","Allen","37° 53' 8.47"" N","95° 18' 4.91"" S"
"20009","Barton","38° 28' 43.88"" N","98° 45' 23.25"" S"
"20015","Butler","37° 46' 51.46"" N","96° 50' 20.56"" S"
"20025","Clark","37° 14' 7.36"" N","99° 49' 13.02"" S"
"20029","Cloud","39° 28' 48.95"" N","97° 38' 57.33"" S"
"20043","Doniphan","39° 47' 16.92"" N","95° 8' 48.29"" S"
"20087","Jefferson","39° 14' 8.38"" N","95° 23' 0.35"" S"
"20089","Jewell","39° 47' 4.65"" N","98° 13' 6.02"" S"
"20023","Cheyenne","39° 47' 8.86"" N","101° 43' 52.66"" S"
"20013","Brown","39° 49' 35.10"" N","95° 33' 51.15"" S"
"20045","Douglas","38° 53' 4.67"" N","95° 17' 33.14"" S"
"20051","Ellis","38° 54' 52.64"" N","99° 19' 2.18"" S"
"20055","Finney","38° 2' 39.30"" N","100° 44' 14.44"" S"
"20173","Sedgwick","37° 41' 4.91"" N","97° 27' 39.82"" S"
"20177","Shawnee","39° 2' 29.20"" N","95° 45' 23.14"" S"
"20185","Stafford","38° 1' 51.07"" N","98° 43' 3.02"" S"
"20059","Franklin","38° 33' 52.06"" N","95° 17' 9.43"" S"
"20175","Seward","37° 11' 35.63"" N","100° 51' 4.84"" S"
"20017","Chase","38° 18' 6.85"" N","96° 35' 38.28"" S"
"20183","Smith","39° 47' 6.19"" N","98° 47' 7.69"" S"
"20189","Stevens","37° 11' 32.13"" N","101° 18' 43.42"" S"
"20037","Crawford","37° 30' 26.17"" N","94° 51' 6.51"" S"
"20027","Clay","39° 20' 58.42"" N","97° 9' 54.64"" S"
"20031","Coffey","38° 14' 12.33"" N","95° 44' 2.82"" S"
"20159","Rice","38° 20' 49.73"" N","98° 12' 3.54"" S"
"20169","Saline","38° 47' 1.62"" N","97° 38' 59.83"" S"
"20125","Montgomery","37° 11' 32.74"" N","95° 44' 34.37"" S"
"20209","Wyandotte","39° 6' 52.64"" N","94° 45' 52.35"" S"
"20131","Nemaha","39° 46' 59.73"" N","96° 0' 50.69"" S"
"20141","Osborne","39° 21' 0.79"" N","98° 46' 4.62"" S"
"20193","Thomas","39° 21' 3.08"" N","101° 3' 20.01"" S"
"20021","Cherokee","37° 10' 9.37"" N","94° 50' 46.63"" S"
"20147","Phillips","39° 47' 4.02"" N","99° 20' 49.24"" S"
"20151","Pratt","37° 38' 51.72"" N","98° 44' 22.64"" S"
"20153","Rawlins","39° 47' 6.44"" N","101° 4' 33.07"" S"
"20061","Geary","39° 0' 8.63"" N","96° 45' 8.66"" S"
"20171","Scott","38° 28' 55.34"" N","100° 54' 24.69"" S"
"20071","Greeley","38° 28' 49.63"" N","101° 48' 21.76"" S"
"20123","Mitchell","39° 23' 35.66"" N","98° 12' 33.73"" S"
"20139","Osage","38° 39' 7.82"" N","95° 43' 36.89"" S"
"20191","Sumner","37° 14' 13.96"" N","97° 28' 35.54"" S"
"20145","Pawnee","38° 10' 52.84"" N","99° 14' 11.72"" S"
"20081","Haskell","37° 33' 43.78"" N","100° 52' 16.24"" S"
"20093","Kearny","38° 0' 0.07"" N","101° 19' 11.52"" S"
"20163","Rooks","39° 21' 0.41"" N","99° 19' 30.07"" S"
"20201","Washington","39° 47' 2.63"" N","97° 5' 15.12"" S"
"20205","Wilson","37° 33' 33.11"" N","95° 44' 36.30"" S"
"20167","Russell","38° 54' 52.90"" N","98° 45' 44.61"" S"
"20127","Morris","38° 41' 14.63"" N","96° 38' 59.53"" S"
"20129","Morton","37° 11' 28.71"" N","101° 47' 57.30"" S"
"20133","Neosho","37° 33' 30.34"" N","95° 18' 24.46"" S"
"20187","Stanton","37° 33' 46.70"" N","101° 47' 3.16"" S"
"20003","Anderson","38° 12' 50.79"" N","95° 17' 36.07"" S"
"20047","Edwards","37° 53' 15.40"" N","99° 18' 43.44"" S"
"20119","Meade","37° 14' 16.78"" N","100° 21' 58.45"" S"
"20157","Republic","39° 49' 39.83"" N","97° 39' 2.22"" S"
"20121","Miami","38° 33' 48.47"" N","94° 50' 17.16"" S"
"20041","Dickinson","38° 51' 58.49"" N","97° 9' 9.62"" S"
"20137","Norton","39° 47' 3.37"" N","99° 54' 12.56"" S"
"20179","Sheridan","39° 21' 0.85"" N","100° 26' 30.62"" S"
"20007","Barber","37° 13' 43.57"" N","98° 41' 5.16"" S"
"20117","Marshall","39° 47' 0.44"" N","96° 31' 22.59"" S"
"20207","Woodson","37° 53' 11.99"" N","95° 44' 24.50"" S"
"20075","Hamilton","37° 59' 56.12"" N","101° 47' 28.45"" S"
"20039","Decatur","39° 47' 4.64"" N","100° 27' 35.78"" S"
"20011","Bourbon","37° 51' 18.48"" N","94° 50' 57.61"" S"
"20005","Atchison","39° 31' 54.42"" N","95° 18' 48.45"" S"
"20099","Labette","37° 11' 28.38"" N","95° 17' 51.26"" S"
"20103","Leavenworth","39° 11' 56.85"" N","95° 2' 16.84"" S"
"20197","Wabaunsee","38° 57' 11.36"" N","96° 12' 17.94"" S"
"20161","Riley","39° 17' 46.81"" N","96° 44' 5.34"" S"
"20019","Chautauqua","37° 9' 0.13"" N","96° 14' 43.37"" S"
"20079","Harvey","38° 2' 35.68"" N","97° 25' 38.04"" S"
"20107","Linn","38° 12' 43.91"" N","94° 50' 34.71"" S"
"20035","Cowley","37° 14' 15.36"" N","96° 50' 15.09"" S"
"20155","Reno","37° 57' 10.63"" N","98° 5' 9.55"" S"
"20115","Marion","38° 21' 31.30"" N","97° 5' 48.41"" S"
"20165","Rush","38° 31' 23.16"" N","99° 18' 32.95"" S"
