"nodeID_from","nodeID_to","weight","state"
"23001","23003",178653,"Maine"
"23001","23005",616854,"Maine"
"23001","23007",1091138,"Maine"
"23001","23009",128572,"Maine"
"23001","23011",746862,"Maine"
"23001","23013",193763,"Maine"
"23001","23015",337236,"Maine"
"23001","23017",1393799,"Maine"
"23001","23019",232076,"Maine"
"23001","23021",192767,"Maine"
"23001","23023",1031001,"Maine"
"23001","23025",309893,"Maine"
"23001","23027",184100,"Maine"
"23001","23029",133128,"Maine"
"23001","23031",240612,"Maine"
"23003","23005",189886,"Maine"
"23003","23007",176943,"Maine"
"23003","23009",230506,"Maine"
"23003","23011",248548,"Maine"
"23003","23013",163565,"Maine"
"23003","23015",124276,"Maine"
"23003","23017",125764,"Maine"
"23003","23019",816975,"Maine"
"23003","23021",325738,"Maine"
"23003","23023",180040,"Maine"
"23003","23025",222216,"Maine"
"23003","23027",241955,"Maine"
"23003","23029",508501,"Maine"
"23003","23031",155247,"Maine"
"23005","23007",333828,"Maine"
"23005","23009",178024,"Maine"
"23005","23011",336412,"Maine"
"23005","23013",266438,"Maine"
"23005","23015",354566,"Maine"
"23005","23017",515842,"Maine"
"23005","23019",243152,"Maine"
"23005","23021",182546,"Maine"
"23005","23023",898749,"Maine"
"23005","23025",196465,"Maine"
"23005","23027",195107,"Maine"
"23005","23029",160761,"Maine"
"23005","23031",617567,"Maine"
"23007","23009",208866,"Maine"
"23007","23011",845366,"Maine"
"23007","23013",283675,"Maine"
"23007","23015",367362,"Maine"
"23007","23017",1255150,"Maine"
"23007","23019",305170,"Maine"
"23007","23021",338255,"Maine"
"23007","23023",399309,"Maine"
"23007","23025",1378645,"Maine"
"23007","23027",281468,"Maine"
"23007","23029",185500,"Maine"
"23007","23031",192805,"Maine"
"23009","23011",207037,"Maine"
"23009","23013",364764,"Maine"
"23009","23015",205271,"Maine"
"23009","23017",99178,"Maine"
"23009","23019",1044404,"Maine"
"23009","23021",429838,"Maine"
"23009","23023",164107,"Maine"
"23009","23025",241704,"Maine"
"23009","23027",901175,"Maine"
"23009","23029",1629587,"Maine"
"23009","23031",93807,"Maine"
"23011","23013",438035,"Maine"
"23011","23015",909578,"Maine"
"23011","23017",328664,"Maine"
"23011","23019",416342,"Maine"
"23011","23021",362153,"Maine"
"23011","23023",837117,"Maine"
"23011","23025",1795441,"Maine"
"23011","23027",700260,"Maine"
"23011","23029",221693,"Maine"
"23011","23031",164862,"Maine"
"23013","23015",2823852,"Maine"
"23013","23017",140445,"Maine"
"23013","23019",296989,"Maine"
"23013","23021",224639,"Maine"
"23013","23023",397898,"Maine"
"23013","23025",271032,"Maine"
"23013","23027",2041880,"Maine"
"23013","23029",279738,"Maine"
"23013","23031",117335,"Maine"
"23015","23017",193080,"Maine"
"23015","23019",216969,"Maine"
"23015","23021",230148,"Maine"
"23015","23023",1933830,"Maine"
"23015","23025",318021,"Maine"
"23015","23027",556394,"Maine"
"23015","23029",183163,"Maine"
"23015","23031",134608,"Maine"
"23017","23019",181113,"Maine"
"23017","23021",173976,"Maine"
"23017","23023",309727,"Maine"
"23017","23025",260759,"Maine"
"23017","23027",146152,"Maine"
"23017","23029",114274,"Maine"
"23017","23031",291979,"Maine"
"23019","23021",1917424,"Maine"
"23019","23023",240213,"Maine"
"23019","23025",891815,"Maine"
"23019","23027",1041304,"Maine"
"23019","23029",921145,"Maine"
"23019","23031",155367,"Maine"
"23021","23023",233641,"Maine"
"23021","23025",1287706,"Maine"
"23021","23027",510447,"Maine"
"23021","23029",363915,"Maine"
"23021","23031",139254,"Maine"
"23023","23025",320852,"Maine"
"23023","23027",266511,"Maine"
"23023","23029",189415,"Maine"
"23023","23031",204667,"Maine"
"23025","23027",754301,"Maine"
"23025","23029",234727,"Maine"
"23025","23031",128283,"Maine"
"23027","23029",364776,"Maine"
"23027","23031",110685,"Maine"
"23029","23031",112763,"Maine"
