"nodeID_from","nodeID_to","weight","state"
"25001","25003",30547,"Massachusetts"
"25001","25005",97082,"Massachusetts"
"25001","25007",224649,"Massachusetts"
"25001","25009",35280,"Massachusetts"
"25001","25011",39243,"Massachusetts"
"25001","25013",24083,"Massachusetts"
"25001","25015",43852,"Massachusetts"
"25001","25017",52345,"Massachusetts"
"25001","25019",270123,"Massachusetts"
"25001","25021",91019,"Massachusetts"
"25001","25023",207339,"Massachusetts"
"25001","25025",60035,"Massachusetts"
"25001","25027",50824,"Massachusetts"
"25003","25005",13622,"Massachusetts"
"25003","25007",29791,"Massachusetts"
"25003","25009",17682,"Massachusetts"
"25003","25011",167940,"Massachusetts"
"25003","25013",103687,"Massachusetts"
"25003","25015",148271,"Massachusetts"
"25003","25017",21920,"Massachusetts"
"25003","25019",37748,"Massachusetts"
"25003","25021",21542,"Massachusetts"
"25003","25023",17180,"Massachusetts"
"25003","25025",24432,"Massachusetts"
"25003","25027",27483,"Massachusetts"
"25005","25007",62687,"Massachusetts"
"25005","25009",31310,"Massachusetts"
"25005","25011",18942,"Massachusetts"
"25005","25013",19203,"Massachusetts"
"25005","25015",25093,"Massachusetts"
"25005","25017",37222,"Massachusetts"
"25005","25019",36079,"Massachusetts"
"25005","25021",134047,"Massachusetts"
"25005","25023",284223,"Massachusetts"
"25005","25025",77492,"Massachusetts"
"25005","25027",43216,"Massachusetts"
"25007","25009",41522,"Massachusetts"
"25007","25011",50977,"Massachusetts"
"25007","25013",20272,"Massachusetts"
"25007","25015",60165,"Massachusetts"
"25007","25017",66193,"Massachusetts"
"25007","25019",157269,"Massachusetts"
"25007","25021",70594,"Massachusetts"
"25007","25023",87450,"Massachusetts"
"25007","25025",67246,"Massachusetts"
"25007","25027",41674,"Massachusetts"
"25009","25011",23612,"Massachusetts"
"25009","25013",18624,"Massachusetts"
"25009","25015",30994,"Massachusetts"
"25009","25017",132641,"Massachusetts"
"25009","25019",42655,"Massachusetts"
"25009","25021",61746,"Massachusetts"
"25009","25023",47281,"Massachusetts"
"25009","25025",132593,"Massachusetts"
"25009","25027",41595,"Massachusetts"
"25011","25013",210104,"Massachusetts"
"25011","25015",916418,"Massachusetts"
"25011","25017",32848,"Massachusetts"
"25011","25019",31408,"Massachusetts"
"25011","25021",26010,"Massachusetts"
"25011","25023",23282,"Massachusetts"
"25011","25025",25520,"Massachusetts"
"25011","25027",150519,"Massachusetts"
"25013","25015",522541,"Massachusetts"
"25013","25017",18678,"Massachusetts"
"25013","25019",17450,"Massachusetts"
"25013","25021",20065,"Massachusetts"
"25013","25023",17639,"Massachusetts"
"25013","25025",24123,"Massachusetts"
"25013","25027",60316,"Massachusetts"
"25015","25017",50232,"Massachusetts"
"25015","25019",51179,"Massachusetts"
"25015","25021",46412,"Massachusetts"
"25015","25023",33522,"Massachusetts"
"25015","25025",41953,"Massachusetts"
"25015","25027",77719,"Massachusetts"
"25017","25019",49535,"Massachusetts"
"25017","25021",109098,"Massachusetts"
"25017","25023",60100,"Massachusetts"
"25017","25025",152461,"Massachusetts"
"25017","25027",91316,"Massachusetts"
"25019","25021",55476,"Massachusetts"
"25019","25023",71667,"Massachusetts"
"25019","25025",75952,"Massachusetts"
"25019","25027",28643,"Massachusetts"
"25021","25023",283507,"Massachusetts"
"25021","25025",235768,"Massachusetts"
"25021","25027",70427,"Massachusetts"
"25023","25025",155816,"Massachusetts"
"25023","25027",42159,"Massachusetts"
"25025","25027",52140,"Massachusetts"
