"nodeID_from","nodeID_to","weight","state"
"30001","30003",314099,"Montana"
"30001","30005",602200,"Montana"
"30001","30007",1521672,"Montana"
"30001","30009",553564,"Montana"
"30001","30011",663930,"Montana"
"30001","30013",433218,"Montana"
"30001","30015",686193,"Montana"
"30001","30017",725869,"Montana"
"30001","30019",601471,"Montana"
"30001","30021",539391,"Montana"
"30001","30023",1532928,"Montana"
"30001","30025",589452,"Montana"
"30001","30027",821480,"Montana"
"30001","30029",272267,"Montana"
"30001","30031",685485,"Montana"
"30001","30033",963789,"Montana"
"30001","30035",567442,"Montana"
"30001","30037",709877,"Montana"
"30001","30039",1412404,"Montana"
"30001","30041",536472,"Montana"
"30001","30043",1663276,"Montana"
"30001","30045",1181831,"Montana"
"30001","30047",574307,"Montana"
"30001","30049",818438,"Montana"
"30001","30051",661289,"Montana"
"30001","30053",288939,"Montana"
"30001","30055",485813,"Montana"
"30001","30057",4686149,"Montana"
"30001","30059",1565582,"Montana"
"30001","30061",677880,"Montana"
"30001","30063",525358,"Montana"
"30001","30065",491883,"Montana"
"30001","30067",594871,"Montana"
"30001","30069",1205472,"Montana"
"30001","30071",675934,"Montana"
"30001","30073",1063514,"Montana"
"30001","30075",695065,"Montana"
"30001","30077",1597073,"Montana"
"30001","30079",423445,"Montana"
"30001","30081",694453,"Montana"
"30001","30083",417982,"Montana"
"30001","30085",195074,"Montana"
"30001","30087",423917,"Montana"
"30001","30089",442486,"Montana"
"30001","30091",287074,"Montana"
"30001","30093",1938782,"Montana"
"30001","30095",711020,"Montana"
"30001","30097",948447,"Montana"
"30001","30099",1286109,"Montana"
"30001","30101",478683,"Montana"
"30001","30103",888600,"Montana"
"30001","30105",399600,"Montana"
"30001","30107",988073,"Montana"
"30001","30109",975798,"Montana"
"30001","30111",365155,"Montana"
"30003","30005",3257348,"Montana"
"30003","30007",202006,"Montana"
"30003","30009",1346593,"Montana"
"30003","30011",624142,"Montana"
"30003","30013",198293,"Montana"
"30003","30015",1029263,"Montana"
"30003","30017",555471,"Montana"
"30003","30019",312526,"Montana"
"30003","30021",340659,"Montana"
"30003","30023",121367,"Montana"
"30003","30025",360225,"Montana"
"30003","30027",316576,"Montana"
"30003","30029",51606,"Montana"
"30003","30031",281866,"Montana"
"30003","30033",711606,"Montana"
"30003","30035",2593049,"Montana"
"30003","30037",589502,"Montana"
"30003","30039",74686,"Montana"
"30003","30041",1490060,"Montana"
"30003","30043",166153,"Montana"
"30003","30045",315141,"Montana"
"30003","30047",1111795,"Montana"
"30003","30049",143007,"Montana"
"30003","30051",131911,"Montana"
"30003","30053",38908,"Montana"
"30003","30055",528357,"Montana"
"30003","30057",111402,"Montana"
"30003","30059",182303,"Montana"
"30003","30061",152185,"Montana"
"30003","30063",213824,"Montana"
"30003","30065",555216,"Montana"
"30003","30067",153254,"Montana"
"30003","30069",894833,"Montana"
"30003","30071",499233,"Montana"
"30003","30073",671630,"Montana"
"30003","30075",1384290,"Montana"
"30003","30077",89919,"Montana"
"30003","30079",230388,"Montana"
"30003","30081",69903,"Montana"
"30003","30083",254445,"Montana"
"30003","30085",1811722,"Montana"
"30003","30087",16503310,"Montana"
"30003","30089",64595,"Montana"
"30003","30091",160483,"Montana"
"30003","30093",173324,"Montana"
"30003","30095",628066,"Montana"
"30003","30097",293456,"Montana"
"30003","30099",112036,"Montana"
"30003","30101",99689,"Montana"
"30003","30103",4721274,"Montana"
"30003","30105",322600,"Montana"
"30003","30107",689063,"Montana"
"30003","30109",386511,"Montana"
"30003","30111",2797820,"Montana"
"30005","30007",450437,"Montana"
"30005","30009",289020,"Montana"
"30005","30011",351395,"Montana"
"30005","30013",931051,"Montana"
"30005","30015",5571977,"Montana"
"30005","30017",418603,"Montana"
"30005","30019",1926200,"Montana"
"30005","30021",504102,"Montana"
"30005","30023",183543,"Montana"
"30005","30025",204429,"Montana"
"30005","30027",1449482,"Montana"
"30005","30029",193053,"Montana"
"30005","30031",283366,"Montana"
"30005","30033",1197895,"Montana"
"30005","30035",3738123,"Montana"
"30005","30037",953897,"Montana"
"30005","30039",191853,"Montana"
"30005","30041",16457881,"Montana"
"30005","30043",329202,"Montana"
"30005","30045",2160284,"Montana"
"30005","30047",1072693,"Montana"
"30005","30049",353562,"Montana"
"30005","30051",3721845,"Montana"
"30005","30053",105968,"Montana"
"30005","30055",1789853,"Montana"
"30005","30057",244519,"Montana"
"30005","30059",494939,"Montana"
"30005","30061",132890,"Montana"
"30005","30063",388870,"Montana"
"30005","30065",653617,"Montana"
"30005","30067",129628,"Montana"
"30005","30069",1613955,"Montana"
"30005","30071",19950772,"Montana"
"30005","30073",1638651,"Montana"
"30005","30075",523249,"Montana"
"30005","30077",286610,"Montana"
"30005","30079",210524,"Montana"
"30005","30081",122693,"Montana"
"30005","30083",464204,"Montana"
"30005","30085",3633128,"Montana"
"30005","30087",1825136,"Montana"
"30005","30089",168529,"Montana"
"30005","30091",423129,"Montana"
"30005","30093",262543,"Montana"
"30005","30095",341475,"Montana"
"30005","30097",347618,"Montana"
"30005","30099",974953,"Montana"
"30005","30101",936478,"Montana"
"30005","30103",751634,"Montana"
"30005","30105",2008695,"Montana"
"30005","30107",910826,"Montana"
"30005","30109",366955,"Montana"
"30005","30111",856438,"Montana"
"30007","30009",585711,"Montana"
"30007","30011",401474,"Montana"
"30007","30013",448198,"Montana"
"30007","30015",743028,"Montana"
"30007","30017",548248,"Montana"
"30007","30019",335045,"Montana"
"30007","30021",331308,"Montana"
"30007","30023",787850,"Montana"
"30007","30025",356252,"Montana"
"30007","30027",753083,"Montana"
"30007","30029",192803,"Montana"
"30007","30031",1191256,"Montana"
"30007","30033",1147243,"Montana"
"30007","30035",304003,"Montana"
"30007","30037",768532,"Montana"
"30007","30039",686548,"Montana"
"30007","30041",485737,"Montana"
"30007","30043",2619568,"Montana"
"30007","30045",1579066,"Montana"
"30007","30047",281109,"Montana"
"30007","30049",3262067,"Montana"
"30007","30051",544444,"Montana"
"30007","30053",148105,"Montana"
"30007","30055",840479,"Montana"
"30007","30057",1138353,"Montana"
"30007","30059",7166921,"Montana"
"30007","30061",271686,"Montana"
"30007","30063",340025,"Montana"
"30007","30065",411760,"Montana"
"30007","30067",733610,"Montana"
"30007","30069",1374737,"Montana"
"30007","30071",586763,"Montana"
"30007","30073",821793,"Montana"
"30007","30075",483876,"Montana"
"30007","30077",1218871,"Montana"
"30007","30079",566335,"Montana"
"30007","30081",268590,"Montana"
"30007","30083",306394,"Montana"
"30007","30085",265428,"Montana"
"30007","30087",397625,"Montana"
"30007","30089",256155,"Montana"
"30007","30091",312979,"Montana"
"30007","30093",769305,"Montana"
"30007","30095",720169,"Montana"
"30007","30097",855880,"Montana"
"30007","30099",1087465,"Montana"
"30007","30101",475749,"Montana"
"30007","30103",416347,"Montana"
"30007","30105",600314,"Montana"
