"nodeID","nodeLabel","latitude","longitude"
"30015","Chouteau","47° 52' 50.41"" N","110° 26' 7.77"" S"
"30023","Deer Lodge","46° 3' 38.44"" N","113° 4' 6.75"" S"
"30029","Flathead","48° 17' 38.93"" N","114° 2' 49.56"" S"
"30039","Granite","46° 24' 13.82"" N","113° 26' 26.56"" S"
"30057","Madison","45° 17' 59.02"" N","111° 55' 9.34"" S"
"30071","Phillips","48° 15' 23.23"" N","107° 54' 56.36"" S"
"30077","Powell","46° 51' 15.26"" N","112° 55' 59.40"" S"
"30085","Roosevelt","48° 17' 42.98"" N","105° 0' 57.04"" S"
"30087","Rosebud","46° 13' 35.16"" N","106° 43' 39.18"" S"
"30105","Valley","48° 21' 49.24"" N","106° 40' 7.61"" S"
"30001","Beaverhead","45° 7' 52.07"" N","112° 53' 39.62"" S"
"30013","Cascade","47° 18' 27.99"" N","111° 20' 47.62"" S"
"30027","Fergus","47° 15' 46.17"" N","109° 13' 28.53"" S"
"30031","Gallatin","45° 32' 13.66"" N","111° 10' 14.45"" S"
"30045","Judith Basin","47° 2' 42.26"" N","110° 15' 55.81"" S"
"30049","Lewis and Clark","47° 7' 15.80"" N","112° 23' 14.30"" S"
"30055","McCone","47° 38' 39.46"" N","105° 47' 44.58"" S"
"30059","Meagher","46° 35' 51.93"" N","110° 53' 3.11"" S"
"30069","Petroleum","47° 7' 0.45"" N","108° 15' 1.77"" S"
"30073","Pondera","48° 13' 42.67"" N","112° 13' 32.55"" S"
"30083","Richland","47° 47' 15.52"" N","104° 33' 37.89"" S"
"30099","Teton","47° 50' 14.70"" N","112° 14' 25.33"" S"
"30005","Blaine","48° 25' 51.16"" N","108° 57' 34.88"" S"
"30053","Lincoln","48° 32' 29.14"" N","115° 24' 18.63"" S"
"30043","Jefferson","46° 8' 52.54"" N","112° 5' 37.61"" S"
"30081","Ravalli","46° 4' 48.82"" N","114° 7' 16.13"" S"
"30009","Carbon","45° 13' 39.41"" N","109° 1' 40.19"" S"
"30033","Garfield","47° 16' 38.91"" N","106° 59' 36.65"" S"
"30007","Broadwater","46° 19' 54.59"" N","111° 29' 44.08"" S"
"30093","Silver Bow","45° 54' 8.08"" N","112° 39' 24.14"" S"
"30003","Big Horn","45° 25' 23.77"" N","107° 29' 21.28"" S"
"30035","Glacier","48° 42' 19.45"" N","112° 59' 39.13"" S"
"30061","Mineral","47° 8' 48.59"" N","114° 59' 47.66"" S"
"30089","Sanders","47° 40' 28.85"" N","115° 7' 47.87"" S"
"30075","Powder River","45° 23' 40.75"" N","105° 37' 49.32"" S"
"30101","Toole","48° 39' 17.54"" N","111° 41' 42.61"" S"
"30067","Park","45° 29' 11.27"" N","110° 31' 35.02"" S"
"30095","Stillwater","45° 40' 5.84"" N","109° 23' 50.16"" S"
"30019","Daniels","48° 47' 1.97"" N","105° 32' 54.14"" S"
"30037","Golden Valley","46° 22' 50.78"" N","109° 10' 31.14"" S"
"30051","Liberty","48° 33' 38.23"" N","111° 1' 29.17"" S"
"30107","Wheatland","46° 27' 58.43"" N","109° 50' 40.27"" S"
"30065","Musselshell","46° 29' 47.62"" N","108° 23' 53.88"" S"
"30097","Sweet Grass","45° 48' 46.62"" N","109° 56' 29.21"" S"
"30103","Treasure","46° 12' 40.48"" N","107° 16' 16.18"" S"
"30109","Wibaux","46° 57' 52.29"" N","104° 14' 57.58"" S"
"30017","Custer","46° 15' 6.79"" N","105° 34' 16.62"" S"
"30021","Dawson","47° 15' 56.89"" N","104° 53' 55.27"" S"
"30079","Prairie","46° 51' 38.25"" N","105° 22' 35.20"" S"
"30041","Hill","48° 37' 40.46"" N","110° 6' 39.46"" S"
"30025","Fallon","46° 20' 1.11"" N","104° 25' 1.53"" S"
"30011","Carter","45° 30' 55.55"" N","104° 32' 9.57"" S"
"30111","Yellowstone","45° 56' 12.94"" N","108° 16' 33.87"" S"
"30063","Missoula","47° 2' 9.56"" N","113° 55' 28.91"" S"
"30091","Sheridan","48° 43' 15.69"" N","104° 30' 15.44"" S"
"30047","Lake","47° 38' 42.53"" N","114° 5' 21.51"" S"
