"nodeID_from","nodeID_to","weight","state"
"32001","32003",13074,"Nevada"
"32001","32005",228417,"Nevada"
"32001","32007",414234,"Nevada"
"32001","32009",247061,"Nevada"
"32001","32011",990626,"Nevada"
"32001","32013",587450,"Nevada"
"32001","32015",664324,"Nevada"
"32001","32017",243929,"Nevada"
"32001","32019",1040586,"Nevada"
"32001","32021",2240184,"Nevada"
"32001","32023",108549,"Nevada"
"32001","32027",1583044,"Nevada"
"32001","32029",714732,"Nevada"
"32001","32031",335193,"Nevada"
"32001","32033",366485,"Nevada"
"32001","32510",301623,"Nevada"
"32003","32005",14159,"Nevada"
"32003","32007",20679,"Nevada"
"32003","32009",31293,"Nevada"
"32003","32011",21524,"Nevada"
"32003","32013",13571,"Nevada"
"32003","32015",13659,"Nevada"
"32003","32017",121147,"Nevada"
"32003","32019",12751,"Nevada"
"32003","32021",18341,"Nevada"
"32003","32023",74454,"Nevada"
"32003","32027",14019,"Nevada"
"32003","32029",20443,"Nevada"
"32003","32031",24038,"Nevada"
"32003","32033",49797,"Nevada"
"32003","32510",16406,"Nevada"
"32005","32007",89215,"Nevada"
"32005","32009",118257,"Nevada"
"32005","32011",290040,"Nevada"
"32005","32013",123677,"Nevada"
"32005","32015",83896,"Nevada"
"32005","32017",61049,"Nevada"
"32005","32019",621464,"Nevada"
"32005","32021",366578,"Nevada"
"32005","32023",35767,"Nevada"
"32005","32027",230904,"Nevada"
"32005","32029",461075,"Nevada"
"32005","32031",298488,"Nevada"
"32005","32033",73083,"Nevada"
"32005","32510",1637321,"Nevada"
"32007","32009",480429,"Nevada"
"32007","32011",4818304,"Nevada"
"32007","32013",1383982,"Nevada"
"32007","32015",2832353,"Nevada"
"32007","32017",595859,"Nevada"
"32007","32019",209459,"Nevada"
"32007","32021",506853,"Nevada"
"32007","32023",185829,"Nevada"
"32007","32027",708959,"Nevada"
"32007","32029",164475,"Nevada"
"32007","32031",154369,"Nevada"
"32007","32033",1349591,"Nevada"
"32007","32510",109299,"Nevada"
"32009","32011",618216,"Nevada"
"32009","32013",448611,"Nevada"
"32009","32015",383767,"Nevada"
"32009","32017",204613,"Nevada"
"32009","32019",195245,"Nevada"
"32009","32021",1049705,"Nevada"
"32009","32023",2699918,"Nevada"
"32009","32027",216765,"Nevada"
"32009","32029",113277,"Nevada"
"32009","32031",90145,"Nevada"
"32009","32033",984795,"Nevada"
"32009","32510",99073,"Nevada"
"32011","32013",1926419,"Nevada"
"32011","32015",5874789,"Nevada"
"32011","32017",1904429,"Nevada"
"32011","32019",358532,"Nevada"
"32011","32021",532016,"Nevada"
"32011","32023",614392,"Nevada"
"32011","32027",1418590,"Nevada"
"32011","32029",446831,"Nevada"
"32011","32031",196130,"Nevada"
"32011","32033",5910802,"Nevada"
"32011","32510",211206,"Nevada"
"32013","32015",4379735,"Nevada"
"32013","32017",214242,"Nevada"
"32013","32019",336948,"Nevada"
"32013","32021",594117,"Nevada"
"32013","32023",165209,"Nevada"
"32013","32027",3920466,"Nevada"
"32013","32029",316069,"Nevada"
"32013","32031",247265,"Nevada"
"32013","32033",479829,"Nevada"
"32013","32510",173529,"Nevada"
"32015","32017",504391,"Nevada"
"32015","32019",324999,"Nevada"
"32015","32021",685676,"Nevada"
"32015","32023",256057,"Nevada"
"32015","32027",1710460,"Nevada"
"32015","32029",199707,"Nevada"
"32015","32031",174092,"Nevada"
"32015","32033",827689,"Nevada"
"32015","32510",111070,"Nevada"
"32017","32019",89210,"Nevada"
"32017","32021",181294,"Nevada"
"32017","32023",237515,"Nevada"
"32017","32027",365256,"Nevada"
"32017","32029",53546,"Nevada"
"32017","32031",50229,"Nevada"
"32017","32033",2802563,"Nevada"
"32017","32510",43714,"Nevada"
"32019","32021",1563929,"Nevada"
"32019","32023",65923,"Nevada"
"32019","32027",779938,"Nevada"
"32019","32029",1203824,"Nevada"
"32019","32031",390816,"Nevada"
"32019","32033",210209,"Nevada"
"32019","32510",1018557,"Nevada"
"32021","32023",265919,"Nevada"
"32021","32027",1282366,"Nevada"
"32021","32029",672259,"Nevada"
"32021","32031",339207,"Nevada"
"32021","32033",433086,"Nevada"
"32021","32510",405242,"Nevada"
"32023","32027",94585,"Nevada"
"32023","32029",46247,"Nevada"
"32023","32031",36117,"Nevada"
"32023","32033",272844,"Nevada"
"32023","32510",35114,"Nevada"
"32027","32029",483423,"Nevada"
"32027","32031",298888,"Nevada"
"32027","32033",637040,"Nevada"
"32027","32510",238906,"Nevada"
"32029","32031",790559,"Nevada"
"32029","32033",185971,"Nevada"
"32029","32510",867962,"Nevada"
"32031","32033",125718,"Nevada"
"32031","32510",444010,"Nevada"
"32033","32510",137292,"Nevada"
