"nodeID","nodeLabel","latitude","longitude"
"36013","Chautauqua","42° 13' 40.83"" N","79° 21' 59.85"" S"
"36029","Erie","42° 45' 48.80"" N","78° 43' 57.05"" S"
"36043","Herkimer","43° 25' 3.68"" N","74° 57' 44.74"" S"
"36045","Jefferson","44° 2' 56.76"" N","75° 55' 16.63"" S"
"36047","Kings","40° 38' 22.30"" N","73° 56' 18.68"" S"
"36053","Madison","42° 54' 45.59"" N","75° 40' 9.60"" S"
"36065","Oneida","43° 14' 29.29"" N","75° 26' 9.05"" S"
"36077","Otsego","42° 38' 1.04"" N","75° 1' 58.62"" S"
"36081","Queens","40° 42' 8.07"" N","73° 49' 12.94"" S"
"36091","Saratoga","43° 6' 25.66"" N","73° 51' 49.25"" S"
"36115","Washington","43° 18' 46.77"" N","73° 25' 50.71"" S"
"36025","Delaware","42° 11' 52.71"" N","74° 58' 0.78"" S"
"36031","Essex","44° 7' 0.44"" N","73° 46' 23.16"" S"
"36103","Suffolk","40° 52' 8.69"" N","72° 50' 44.89"" S"
"36105","Sullivan","41° 42' 58.53"" N","74° 46' 4.94"" S"
"36119","Westchester","41° 9' 43.64"" N","73° 45' 22.19"" S"
"36123","Yates","42° 38' 0.35"" N","77° 6' 19.32"" S"
"36059","Nassau","40° 43' 57.79"" N","73° 35' 11.07"" S"
"36075","Oswego","43° 25' 36.67"" N","76° 8' 30.10"" S"
"36009","Cattaraugus","42° 14' 54.52"" N","78° 40' 44.01"" S"
"36061","New York","40° 46' 41.33"" N","73° 58' 3.08"" S"
"36071","Orange","41° 24' 7.66"" N","74° 18' 20.05"" S"
"36017","Chenango","42° 29' 35.66"" N","75° 36' 41.84"" S"
"36113","Warren","43° 33' 38.97"" N","73° 50' 45.85"" S"
"36057","Montgomery","42° 54' 8.56"" N","74° 26' 22.83"" S"
"36067","Onondaga","43° 0' 20.42"" N","76° 11' 40.17"" S"
"36019","Clinton","44° 44' 45.24"" N","73° 40' 41.50"" S"
"36073","Orleans","43° 15' 7.48"" N","78° 13' 52.36"" S"
"36079","Putnam","41° 25' 36.09"" N","73° 44' 58.32"" S"
"36097","Schuyler","42° 23' 37.64"" N","76° 52' 30.67"" S"
"36107","Tioga","42° 10' 12.84"" N","76° 18' 23.25"" S"
"36121","Wyoming","42° 42' 8.29"" N","78° 13' 28.16"" S"
"36033","Franklin","44° 35' 31.11"" N","74° 18' 13.65"" S"
"36051","Livingston","42° 43' 40.22"" N","77° 46' 31.94"" S"
"36095","Schoharie","42° 35' 17.03"" N","74° 26' 31.48"" S"
"36099","Seneca","42° 46' 50.76"" N","76° 49' 25.16"" S"
"36069","Ontario","42° 51' 10.04"" N","77° 18' 0.15"" S"
"36085","Richmond","40° 34' 50.74"" N","74° 9' 8.70"" S"
"36117","Wayne","43° 9' 24.12"" N","77° 1' 45.80"" S"
"36011","Cayuga","42° 55' 0.77"" N","76° 33' 15.02"" S"
"36027","Dutchess","41° 45' 53.47"" N","73° 44' 34.47"" S"
"36049","Lewis","43° 47' 3.21"" N","75° 26' 56.87"" S"
"36021","Columbia","42° 14' 59.43"" N","73° 37' 55.20"" S"
"36015","Chemung","42° 8' 28.41"" N","76° 45' 36.10"" S"
"36109","Tompkins","42° 27' 7.00"" N","76° 28' 25.21"" S"
"36039","Greene","42° 16' 35.60"" N","74° 7' 22.42"" S"
"36041","Hamilton","43° 39' 37.02"" N","74° 29' 49.77"" S"
"36093","Schenectady","42° 49' 5.28"" N","74° 3' 31.09"" S"
"36023","Cortland","42° 35' 41.59"" N","76° 4' 12.96"" S"
"36001","Albany","42° 36' 0.41"" N","73° 58' 25.46"" S"
"36007","Broome","42° 9' 36.82"" N","75° 49' 9.65"" S"
"36037","Genesee","43° 0' 3.40"" N","78° 11' 37.54"" S"
"36005","Bronx","40° 51' 0.05"" N","73° 51' 57.54"" S"
"36055","Monroe","43° 8' 47.04"" N","77° 41' 45.32"" S"
"36035","Fulton","43° 6' 50.02"" N","74° 25' 19.62"" S"
"36089","St. Lawrence","44° 29' 45.27"" N","75° 4' 9.04"" S"
"36083","Rensselaer","42° 42' 39.13"" N","73° 30' 35.57"" S"
"36003","Allegany","42° 15' 25.81"" N","78° 1' 39.23"" S"
"36101","Steuben","42° 16' 3.25"" N","77° 23' 1.16"" S"
"36063","Niagara","43° 12' 0.29"" N","78° 44' 43.34"" S"
"36111","Ulster","41° 53' 16.59"" N","74° 15' 30.05"" S"
"36087","Rockland","41° 9' 8.40"" N","74° 1' 26.49"" S"
