"nodeID_from","nodeID_to","weight","state"
"37001","37003",23742,"North Carolina"
"37001","37005",25313,"North Carolina"
"37001","37007",40712,"North Carolina"
"37001","37009",23777,"North Carolina"
"37001","37011",19519,"North Carolina"
"37001","37013",30207,"North Carolina"
"37001","37015",40733,"North Carolina"
"37001","37017",41537,"North Carolina"
"37001","37019",42119,"North Carolina"
"37001","37021",21338,"North Carolina"
"37001","37023",19865,"North Carolina"
"37001","37025",33676,"North Carolina"
"37001","37027",21713,"North Carolina"
"37001","37029",12844,"North Carolina"
"37001","37031",54903,"North Carolina"
"37001","37033",1620320,"North Carolina"
"37001","37035",23982,"North Carolina"
"37001","37037",345274,"North Carolina"
"37001","37039",9021,"North Carolina"
"37001","37041",31838,"North Carolina"
"37001","37043",13289,"North Carolina"
"37001","37045",21819,"North Carolina"
"37001","37047",30468,"North Carolina"
"37001","37049",28824,"North Carolina"
"37001","37051",31031,"North Carolina"
"37001","37053",10837,"North Carolina"
"37001","37055",24772,"North Carolina"
"37001","37057",99026,"North Carolina"
"37001","37059",46378,"North Carolina"
"37001","37061",29195,"North Carolina"
"37001","37063",239354,"North Carolina"
"37001","37065",36810,"North Carolina"
"37001","37067",92440,"North Carolina"
"37001","37069",74489,"North Carolina"
"37001","37071",23405,"North Carolina"
"37001","37073",15593,"North Carolina"
"37001","37075",5248,"North Carolina"
"37001","37077",157770,"North Carolina"
"37001","37079",34248,"North Carolina"
"37001","37081",397109,"North Carolina"
"37001","37083",48379,"North Carolina"
"37001","37085",46799,"North Carolina"
"37001","37087",13671,"North Carolina"
"37001","37089",12604,"North Carolina"
"37001","37091",42283,"North Carolina"
"37001","37093",28096,"North Carolina"
"37001","37095",38821,"North Carolina"
"37001","37097",30595,"North Carolina"
"37001","37099",27404,"North Carolina"
"37001","37101",50404,"North Carolina"
"37001","37103",37999,"North Carolina"
"37001","37105",79171,"North Carolina"
"37001","37107",34616,"North Carolina"
"37001","37109",19942,"North Carolina"
"37001","37111",16391,"North Carolina"
