"nodeID","nodeLabel","latitude","longitude"
"37007","Anson","34° 58' 25.53"" N","80° 6' 9.56"" S"
"37027","Caldwell","35° 57' 10.76"" N","81° 32' 46.73"" S"
"37039","Cherokee","35° 8' 2.04"" N","84° 3' 48.88"" S"
"37049","Craven","35° 7' 28.70"" N","77° 5' 36.40"" S"
"37055","Dare","35° 46' 45.24"" N","75° 47' 52.31"" S"
"37059","Davie","35° 55' 44.70"" N","80° 32' 40.03"" S"
"37069","Franklin","36° 4' 57.73"" N","78° 17' 8.71"" S"
"37083","Halifax","36° 15' 26.68"" N","77° 39' 5.23"" S"
"37091","Hertford","36° 21' 32.53"" N","76° 58' 54.99"" S"
"37093","Hoke","35° 1' 2.90"" N","79° 14' 14.11"" S"
"37099","Jackson","35° 17' 14.63"" N","83° 8' 26.51"" S"
"37111","McDowell","35° 40' 53.88"" N","82° 2' 57.69"" S"
"37117","Martin","35° 50' 35.59"" N","77° 6' 32.50"" S"
"37127","Nash","35° 58' 1.78"" N","77° 59' 11.88"" S"
"37165","Scotland","34° 50' 26.94"" N","79° 28' 49.39"" S"
"37175","Transylvania","35° 12' 7.57"" N","82° 47' 53.90"" S"
"37199","Yancey","35° 53' 55.98"" N","82° 18' 27.16"" S"
"37009","Ashe","36° 26' 3.99"" N","81° 30' 1.70"" S"
"37013","Beaufort","35° 29' 38.07"" N","76° 51' 35.00"" S"
"37017","Bladen","34° 36' 52.23"" N","78° 33' 48.34"" S"
"37023","Burke","35° 44' 58.44"" N","81° 42' 16.59"" S"
"37037","Chatham","35° 42' 9.35"" N","79° 15' 19.36"" S"
"37043","Clay","35° 3' 26.08"" N","83° 45' 0.65"" S"
"37053","Currituck","36° 24' 10.70"" N","76° 0' 20.53"" S"
"37057","Davidson","35° 47' 35.49"" N","80° 12' 45.71"" S"
"37065","Edgecombe","35° 54' 46.09"" N","77° 35' 49.37"" S"
"37075","Graham","35° 21' 0.63"" N","83° 50' 0.65"" S"
"37085","Harnett","35° 22' 7.11"" N","78° 52' 10.19"" S"
"37089","Henderson","35° 20' 10.59"" N","82° 28' 47.95"" S"
"37095","Hyde","35° 31' 49.78"" N","76° 15' 2.71"" S"
"37103","Jones","35° 1' 18.21"" N","77° 21' 18.07"" S"
"37115","Madison","35° 51' 28.79"" N","82° 42' 21.04"" S"
"37123","Montgomery","35° 19' 56.61"" N","79° 54' 19.54"" S"
"37133","Onslow","34° 43' 55.26"" N","77° 25' 55.40"" S"
"37137","Pamlico","35° 8' 36.37"" N","76° 44' 26.91"" S"
"37149","Polk","35° 16' 45.39"" N","82° 10' 10.72"" S"
"37153","Richmond","35° 0' 21.09"" N","79° 44' 52.11"" S"
"37161","Rutherford","35° 24' 9.10"" N","81° 55' 11.28"" S"
"37163","Sampson","34° 59' 28.50"" N","78° 22' 16.20"" S"
"37177","Tyrrell","35° 49' 1.66"" N","76° 12' 32.39"" S"
"37029","Camden","36° 23' 15.59"" N","76° 12' 21.54"" S"
"37105","Lee","35° 28' 30.57"" N","79° 10' 17.48"" S"
"37125","Moore","35° 18' 38.01"" N","79° 28' 52.59"" S"
"37021","Buncombe","35° 36' 40.22"" N","82° 31' 48.51"" S"
"37107","Lenoir","35° 14' 19.37"" N","77° 38' 28.72"" S"
"37145","Person","36° 23' 23.83"" N","78° 58' 18.44"" S"
"37193","Wilkes","36° 12' 22.54"" N","81° 9' 48.47"" S"
"37015","Bertie","36° 3' 58.08"" N","76° 58' 42.87"" S"
"37101","Johnston","35° 31' 3.71"" N","78° 21' 56.82"" S"
"37131","Northampton","36° 25' 4.01"" N","77° 23' 48.19"" S"
"37159","Rowan","35° 38' 22.10"" N","80° 31' 28.82"" S"
"37183","Wake","35° 47' 24.63"" N","78° 39' 1.83"" S"
"37051","Cumberland","35° 2' 54.73"" N","78° 49' 38.91"" S"
"37139","Pasquotank","36° 17' 43.50"" N","76° 17' 1.61"" S"
"37019","Brunswick","34° 4' 15.49"" N","78° 14' 16.29"" S"
"37047","Columbus","34° 15' 56.43"" N","78° 39' 18.02"" S"
"37079","Greene","35° 29' 5.92"" N","77° 40' 32.66"" S"
"37147","Pitt","35° 35' 35.49"" N","77° 22' 27.96"" S"
"37173","Swain","35° 29' 12.39"" N","83° 29' 34.52"" S"
"37031","Carteret","34° 50' 9.05"" N","76° 39' 33.32"" S"
"37113","Macon","35° 9' 1.68"" N","83° 25' 19.26"" S"
"37001","Alamance","36° 2' 36.92"" N","79° 23' 57.99"" S"
"37189","Watauga","36° 13' 51.95"" N","81° 41' 47.02"" S"
"37121","Mitchell","36° 0' 47.68"" N","82° 9' 48.67"" S"
"37141","Pender","34° 31' 29.35"" N","77° 54' 18.23"" S"
"37087","Haywood","35° 33' 21.28"" N","82° 58' 55.33"" S"
"37155","Robeson","34° 38' 24.24"" N","79° 6' 14.16"" S"
"37097","Iredell","35° 48' 24.40"" N","80° 52' 24.41"" S"
"37169","Stokes","36° 24' 6.72"" N","80° 14' 22.21"" S"
"37179","Union","34° 59' 18.11"" N","80° 31' 50.84"" S"
"37025","Cabarrus","35° 23' 12.33"" N","80° 33' 6.71"" S"
"37035","Catawba","35° 39' 43.42"" N","81° 12' 54.22"" S"
"37143","Perquimans","36° 12' 20.92"" N","76° 26' 27.92"" S"
"37191","Wayne","35° 21' 49.89"" N","78° 0' 14.66"" S"
"37033","Caswell","36° 23' 35.27"" N","79° 20' 0.75"" S"
"37185","Warren","36° 23' 47.28"" N","78° 6' 24.02"" S"
"37187","Washington","35° 49' 21.32"" N","76° 34' 39.16"" S"
"37109","Lincoln","35° 29' 8.38"" N","81° 13' 24.51"" S"
"37197","Yadkin","36° 9' 37.96"" N","80° 39' 54.93"" S"
"37081","Guilford","36° 4' 45.96"" N","79° 47' 20.02"" S"
"37119","Mecklenburg","35° 14' 47.68"" N","80° 49' 57.93"" S"
"37171","Surry","36° 24' 53.15"" N","80° 41' 17.19"" S"
"37181","Vance","36° 21' 53.26"" N","78° 24' 28.60"" S"
"37005","Alleghany","36° 29' 28.73"" N","81° 7' 40.41"" S"
"37041","Chowan","36° 9' 2.71"" N","76° 36' 28.18"" S"
"37061","Duplin","34° 56' 11.09"" N","77° 55' 58.64"" S"
"37003","Alexander","35° 55' 15.64"" N","81° 10' 37.37"" S"
"37071","Gaston","35° 17' 39.61"" N","81° 10' 48.90"" S"
"37073","Gates","36° 26' 41.73"" N","76° 42' 1.60"" S"
"37157","Rockingham","36° 23' 45.64"" N","79° 46' 29.97"" S"
"37195","Wilson","35° 42' 18.55"" N","77° 55' 7.31"" S"
"37151","Randolph","35° 42' 36.95"" N","79° 48' 21.66"" S"
"37067","Forsyth","36° 7' 50.22"" N","80° 15' 22.77"" S"
"37045","Cleveland","35° 20' 2.33"" N","81° 33' 19.73"" S"
"37129","New Hanover","34° 13' 57.62"" N","77° 53' 5.03"" S"
"37167","Stanly","35° 18' 42.93"" N","80° 15' 3.71"" S"
"37063","Durham","36° 2' 9.27"" N","78° 52' 35.86"" S"
"37135","Orange","36° 3' 39.55"" N","79° 7' 14.45"" S"
"37011","Avery","36° 4' 35.39"" N","81° 55' 21.34"" S"
"37077","Granville","36° 18' 13.80"" N","78° 39' 9.84"" S"
