"nodeID","nodeLabel","latitude","longitude"
"40065","Jackson","34° 35' 16.56"" N","99° 24' 54.00"" S"
"40073","Kingfisher","35° 56' 43.05"" N","97° 56' 31.53"" S"
"40079","Le Flore","34° 53' 59.15"" N","94° 42' 12.82"" S"
"40145","Wagoner","35° 57' 39.88"" N","95° 31' 16.04"" S"
"40013","Bryan","33° 57' 44.38"" N","96° 15' 35.46"" S"
"40027","Cleveland","35° 12' 10.55"" N","97° 19' 34.49"" S"
"40057","Harmon","34° 44' 38.15"" N","99° 50' 46.22"" S"
"40067","Jefferson","34° 6' 39.57"" N","97° 50' 9.03"" S"
"40075","Kiowa","34° 54' 58.60"" N","98° 58' 50.98"" S"
"40095","Marshall","34° 1' 27.84"" N","96° 46' 8.79"" S"
"40125","Pottawatomie","35° 12' 23.21"" N","96° 56' 54.24"" S"
"40135","Sequoyah","35° 29' 43.40"" N","94° 45' 18.36"" S"
"40143","Tulsa","36° 7' 15.12"" N","95° 56' 29.29"" S"
"40089","McCurtain","34° 6' 53.85"" N","94° 46' 16.30"" S"
"40113","Osage","36° 37' 43.94"" N","96° 23' 53.77"" S"
"40133","Seminole","35° 10' 2.06"" N","96° 36' 56.08"" S"
"40055","Greer","34° 56' 8.35"" N","99° 33' 38.72"" S"
"40117","Pawnee","36° 19' 0.93"" N","96° 41' 56.50"" S"
"40023","Choctaw","34° 1' 36.22"" N","95° 33' 7.78"" S"
"40141","Tillman","34° 22' 21.99"" N","98° 55' 26.63"" S"
"40101","Muskogee","35° 36' 57.78"" N","95° 22' 45.49"" S"
"40045","Ellis","36° 13' 4.60"" N","99° 45' 15.91"" S"
"40041","Delaware","36° 24' 28.73"" N","94° 48' 9.43"" S"
"40151","Woods","36° 46' 0.56"" N","98° 51' 52.81"" S"
"40131","Rogers","36° 22' 16.99"" N","95° 36' 15.75"" S"
"40001","Adair","35° 53' 1.15"" N","94° 39' 31.04"" S"
"40005","Atoka","34° 22' 25.06"" N","96° 2' 16.94"" S"
"40033","Cotton","34° 17' 24.44"" N","98° 22' 20.14"" S"
"40017","Canadian","35° 32' 32.80"" N","97° 58' 56.37"" S"
"40035","Craig","36° 45' 41.57"" N","95° 12' 30.41"" S"
"40093","Major","36° 18' 42.56"" N","98° 32' 9.36"" S"
"40103","Noble","36° 23' 18.52"" N","97° 13' 50.00"" S"
"40053","Grant","36° 47' 46.00"" N","97° 47' 10.07"" S"
"40107","Okfuskee","35° 27' 55.59"" N","96° 19' 21.57"" S"
"40021","Cherokee","35° 54' 23.05"" N","94° 59' 58.76"" S"
"40037","Creek","35° 54' 9.11"" N","96° 22' 15.54"" S"
"40039","Custer","35° 38' 20.23"" N","99° 0' 5.34"" S"
"40043","Dewey","35° 59' 15.91"" N","99° 0' 28.46"" S"
"40009","Beckham","35° 16' 7.40"" N","99° 40' 55.44"" S"
"40019","Carter","34° 15' 2.99"" N","97° 17' 8.44"" S"
"40069","Johnston","34° 18' 59.18"" N","96° 39' 38.25"" S"
"40047","Garfield","36° 22' 44.43"" N","97° 46' 57.80"" S"
"40031","Comanche","34° 39' 43.56"" N","98° 28' 18.10"" S"
"40121","Pittsburg","34° 55' 25.33"" N","95° 44' 54.73"" S"
"40127","Pushmataha","34° 24' 58.16"" N","95° 22' 33.74"" S"
"40061","Haskell","35° 13' 29.47"" N","95° 7' 0.02"" S"
"40081","Lincoln","35° 42' 10.15"" N","96° 52' 51.31"" S"
"40071","Kay","36° 49' 4.81"" N","97° 8' 38.76"" S"
"40115","Ottawa","36° 50' 7.64"" N","94° 48' 37.57"" S"
"40007","Beaver","36° 44' 58.89"" N","100° 28' 36.48"" S"
"40105","Nowata","36° 47' 54.11"" N","95° 37' 2.66"" S"
"40111","Okmulgee","35° 38' 47.48"" N","95° 57' 51.58"" S"
"40153","Woodward","36° 25' 20.78"" N","99° 15' 54.40"" S"
"40099","Murray","34° 28' 56.41"" N","97° 4' 4.60"" S"
"40119","Payne","36° 4' 38.57"" N","96° 58' 32.83"" S"
"40123","Pontotoc","34° 43' 40.55"" N","96° 41' 4.03"" S"
"40129","Roger Mills","35° 41' 17.58"" N","99° 41' 45.12"" S"
"40149","Washita","35° 17' 25.61"" N","98° 59' 31.92"" S"
"40091","McIntosh","35° 22' 25.16"" N","95° 40' 1.27"" S"
"40085","Love","33° 56' 59.72"" N","97° 14' 38.70"" S"
"40059","Harper","36° 47' 19.30"" N","99° 40' 2.24"" S"
"40139","Texas","36° 44' 52.95"" N","101° 29' 24.24"" S"
"40109","Oklahoma","35° 33' 5.38"" N","97° 24' 25.95"" S"
"40083","Logan","35° 55' 9.21"" N","97° 26' 35.43"" S"
"40137","Stephens","34° 29' 8.03"" N","97° 51' 5.33"" S"
"40063","Hughes","35° 2' 53.28"" N","96° 15' 1.18"" S"
"40025","Cimarron","36° 44' 54.06"" N","102° 31' 3.85"" S"
"40147","Washington","36° 42' 53.59"" N","95° 54' 15.74"" S"
"40029","Coal","34° 35' 17.39"" N","96° 17' 52.38"" S"
"40049","Garvin","34° 42' 16.58"" N","97° 18' 33.72"" S"
"40015","Caddo","35° 10' 26.51"" N","98° 22' 30.03"" S"
"40003","Alfalfa","36° 43' 50.87"" N","98° 19' 26.39"" S"
"40051","Grady","35° 0' 59.56"" N","97° 53' 2.71"" S"
"40077","Latimer","34° 52' 33.78"" N","95° 15' 1.74"" S"
"40011","Blaine","35° 52' 29.64"" N","98° 26' 0.63"" S"
"40097","Mayes","36° 18' 6.26"" N","95° 13' 51.21"" S"
"40087","McClain","35° 0' 33.49"" N","97° 26' 38.38"" S"
