"nodeID_from","nodeID_to","weight","state"
"42001","42003",8879,"Pennsylvania"
"42001","42005",10503,"Pennsylvania"
"42001","42007",7150,"Pennsylvania"
"42001","42009",49314,"Pennsylvania"
"42001","42011",20357,"Pennsylvania"
"42001","42013",21525,"Pennsylvania"
"42001","42015",12185,"Pennsylvania"
"42001","42017",8499,"Pennsylvania"
"42001","42019",10935,"Pennsylvania"
"42001","42021",18612,"Pennsylvania"
"42001","42023",24073,"Pennsylvania"
"42001","42025",17344,"Pennsylvania"
"42001","42027",31151,"Pennsylvania"
"42001","42029",17415,"Pennsylvania"
"42001","42031",13079,"Pennsylvania"
"42001","42033",17108,"Pennsylvania"
"42001","42035",32513,"Pennsylvania"
"42001","42037",28835,"Pennsylvania"
"42001","42039",7282,"Pennsylvania"
"42001","42041",245934,"Pennsylvania"
"42001","42043",90101,"Pennsylvania"
"42001","42045",7301,"Pennsylvania"
"42001","42047",11603,"Pennsylvania"
"42001","42049",5082,"Pennsylvania"
"42001","42051",9218,"Pennsylvania"
"42001","42053",13257,"Pennsylvania"
"42001","42055",374374,"Pennsylvania"
"42001","42057",129200,"Pennsylvania"
"42001","42059",7945,"Pennsylvania"
"42001","42061",63548,"Pennsylvania"
"42001","42063",22245,"Pennsylvania"
"42001","42065",13958,"Pennsylvania"
"42001","42067",86030,"Pennsylvania"
"42001","42069",9509,"Pennsylvania"
"42001","42071",55687,"Pennsylvania"
"42001","42073",6561,"Pennsylvania"
"42001","42075",52307,"Pennsylvania"
"42001","42077",15592,"Pennsylvania"
"42001","42079",12531,"Pennsylvania"
"42001","42081",26588,"Pennsylvania"
"42001","42083",13464,"Pennsylvania"
"42001","42085",7767,"Pennsylvania"
"42001","42087",46330,"Pennsylvania"
"42001","42089",8426,"Pennsylvania"
"42001","42091",10693,"Pennsylvania"
"42001","42093",32962,"Pennsylvania"
"42001","42095",13012,"Pennsylvania"
"42001","42097",29745,"Pennsylvania"
"42001","42099",138661,"Pennsylvania"
"42001","42101",6619,"Pennsylvania"
"42001","42103",6536,"Pennsylvania"
"42001","42105",32401,"Pennsylvania"
"42001","42107",24633,"Pennsylvania"
"42001","42109",46239,"Pennsylvania"
"42001","42111",23317,"Pennsylvania"
"42001","42113",27565,"Pennsylvania"
"42001","42115",11734,"Pennsylvania"
"42001","42117",24959,"Pennsylvania"
"42001","42119",33028,"Pennsylvania"
"42001","42121",8412,"Pennsylvania"
"42001","42123",7184,"Pennsylvania"
"42001","42125",9773,"Pennsylvania"
"42001","42127",9037,"Pennsylvania"
"42001","42129",11237,"Pennsylvania"
"42001","42131",11634,"Pennsylvania"
"42001","42133",652746,"Pennsylvania"
"42003","42005",192536,"Pennsylvania"
"42003","42007",312692,"Pennsylvania"
"42003","42009",31138,"Pennsylvania"
"42003","42011",7050,"Pennsylvania"
"42003","42013",44728,"Pennsylvania"
"42003","42015",7089,"Pennsylvania"
"42003","42017",7410,"Pennsylvania"
"42003","42019",245834,"Pennsylvania"
"42003","42021",76367,"Pennsylvania"
"42003","42023",33732,"Pennsylvania"
"42003","42025",4815,"Pennsylvania"
"42003","42027",36327,"Pennsylvania"
"42003","42029",12893,"Pennsylvania"
"42003","42031",77399,"Pennsylvania"
"42003","42033",39176,"Pennsylvania"
"42003","42035",15608,"Pennsylvania"
"42003","42037",9534,"Pennsylvania"
"42003","42039",56418,"Pennsylvania"
"42003","42041",17997,"Pennsylvania"
"42003","42043",20454,"Pennsylvania"
"42003","42045",8092,"Pennsylvania"
"42003","42047",52034,"Pennsylvania"
"42003","42049",62057,"Pennsylvania"
"42003","42051",137414,"Pennsylvania"
"42003","42053",76006,"Pennsylvania"
"42003","42055",10277,"Pennsylvania"
"42003","42057",12504,"Pennsylvania"
"42003","42059",89404,"Pennsylvania"
"42003","42061",23200,"Pennsylvania"
"42003","42063",109897,"Pennsylvania"
"42003","42065",50087,"Pennsylvania"
"42003","42067",8366,"Pennsylvania"
"42003","42069",9163,"Pennsylvania"
"42003","42071",11319,"Pennsylvania"
"42003","42073",131647,"Pennsylvania"
"42003","42075",9095,"Pennsylvania"
"42003","42077",6983,"Pennsylvania"
"42003","42079",7328,"Pennsylvania"
"42003","42081",14414,"Pennsylvania"
"42003","42083",28607,"Pennsylvania"
"42003","42085",78003,"Pennsylvania"
"42003","42087",12955,"Pennsylvania"
"42003","42089",5629,"Pennsylvania"
"42003","42091",10239,"Pennsylvania"
"42003","42093",16295,"Pennsylvania"
"42003","42095",7341,"Pennsylvania"
"42003","42097",8525,"Pennsylvania"
"42003","42099",9037,"Pennsylvania"
"42003","42101",9938,"Pennsylvania"
"42003","42103",4682,"Pennsylvania"
"42003","42105",14606,"Pennsylvania"
"42003","42107",5952,"Pennsylvania"
"42003","42109",9596,"Pennsylvania"
"42003","42111",60410,"Pennsylvania"
"42003","42113",7221,"Pennsylvania"
"42003","42115",5428,"Pennsylvania"
"42003","42117",10280,"Pennsylvania"
"42003","42119",12961,"Pennsylvania"
"42003","42121",62292,"Pennsylvania"
"42003","42123",35397,"Pennsylvania"
"42003","42125",322782,"Pennsylvania"
"42003","42127",6127,"Pennsylvania"
"42003","42129",293873,"Pennsylvania"
"42003","42131",7838,"Pennsylvania"
"42003","42133",10553,"Pennsylvania"
"42005","42007",96312,"Pennsylvania"
"42005","42009",43491,"Pennsylvania"
"42005","42011",4671,"Pennsylvania"
"42005","42013",49025,"Pennsylvania"
"42005","42015",12880,"Pennsylvania"
"42005","42017",2940,"Pennsylvania"
"42005","42019",813579,"Pennsylvania"
"42005","42021",92860,"Pennsylvania"
"42005","42023",81565,"Pennsylvania"
"42005","42025",5341,"Pennsylvania"
"42005","42027",31076,"Pennsylvania"
"42005","42029",3888,"Pennsylvania"
"42005","42031",1744088,"Pennsylvania"
"42005","42033",114114,"Pennsylvania"
"42005","42035",23544,"Pennsylvania"
"42005","42037",8148,"Pennsylvania"
"42005","42039",71980,"Pennsylvania"
"42005","42041",14281,"Pennsylvania"
"42005","42043",10434,"Pennsylvania"
"42005","42045",2220,"Pennsylvania"
"42005","42047",111945,"Pennsylvania"
"42005","42049",41999,"Pennsylvania"
"42005","42051",80443,"Pennsylvania"
"42005","42053",481514,"Pennsylvania"
"42005","42055",10747,"Pennsylvania"
"42005","42057",19575,"Pennsylvania"
"42005","42059",64659,"Pennsylvania"
"42005","42061",30383,"Pennsylvania"
"42005","42063",1157150,"Pennsylvania"
"42005","42065",523804,"Pennsylvania"
"42005","42067",12897,"Pennsylvania"
"42005","42069",3611,"Pennsylvania"
"42005","42071",7573,"Pennsylvania"
"42005","42073",123044,"Pennsylvania"
"42005","42075",7781,"Pennsylvania"
"42005","42077",3270,"Pennsylvania"
"42005","42079",4850,"Pennsylvania"
"42005","42081",12569,"Pennsylvania"
"42005","42083",44569,"Pennsylvania"
"42005","42085",103797,"Pennsylvania"
"42005","42087",17247,"Pennsylvania"
"42005","42089",3922,"Pennsylvania"
"42005","42091",3415,"Pennsylvania"
"42005","42093",18506,"Pennsylvania"
"42005","42095",3527,"Pennsylvania"
"42005","42097",9180,"Pennsylvania"
"42005","42099",11009,"Pennsylvania"
"42005","42101",1715,"Pennsylvania"
"42005","42103",3721,"Pennsylvania"
"42005","42105",26559,"Pennsylvania"
"42005","42107",5319,"Pennsylvania"
"42005","42109",11229,"Pennsylvania"
"42005","42111",67682,"Pennsylvania"
"42005","42113",7868,"Pennsylvania"
"42005","42115",8272,"Pennsylvania"
"42005","42117",13800,"Pennsylvania"
"42005","42119",11331,"Pennsylvania"
"42005","42121",232638,"Pennsylvania"
"42005","42123",51523,"Pennsylvania"
"42005","42125",89642,"Pennsylvania"
"42005","42127",3352,"Pennsylvania"
"42005","42129",642092,"Pennsylvania"
"42005","42131",7262,"Pennsylvania"
"42005","42133",9418,"Pennsylvania"
"42007","42009",34307,"Pennsylvania"
"42007","42011",4760,"Pennsylvania"
"42007","42013",28921,"Pennsylvania"
"42007","42015",6897,"Pennsylvania"
"42007","42017",3690,"Pennsylvania"
"42007","42019",391279,"Pennsylvania"
"42007","42021",40188,"Pennsylvania"
"42007","42023",28114,"Pennsylvania"
"42007","42025",4212,"Pennsylvania"
"42007","42027",24826,"Pennsylvania"
"42007","42029",5767,"Pennsylvania"
"42007","42031",86808,"Pennsylvania"
"42007","42033",34389,"Pennsylvania"
"42007","42035",12584,"Pennsylvania"
"42007","42037",7463,"Pennsylvania"
"42007","42039",63124,"Pennsylvania"
"42007","42041",11288,"Pennsylvania"
"42007","42043",10857,"Pennsylvania"
"42007","42045",3970,"Pennsylvania"
"42007","42047",43590,"Pennsylvania"
"42007","42049",53165,"Pennsylvania"
"42007","42051",70034,"Pennsylvania"
