"nodeID","nodeLabel","latitude","longitude"
"42005","Armstrong","40° 48' 43.72"" N","79° 27' 52.39"" S"
"42029","Chester","39° 58' 22.47"" N","75° 44' 55.45"" S"
"42035","Clinton","41° 14' 2.47"" N","77° 38' 15.50"" S"
"42059","Greene","39° 51' 13.92"" N","80° 13' 22.49"" S"
"42067","Juniata","40° 31' 51.81"" N","77° 24' 9.63"" S"
"42091","Montgomery","40° 12' 38.79"" N","75° 22' 1.31"" S"
"42111","Somerset","39° 58' 20.15"" N","79° 1' 42.67"" S"
"42099","Perry","40° 23' 54.32"" N","77° 15' 45.40"" S"
"42103","Pike","41° 19' 54.87"" N","75° 2' 1.81"" S"
"42127","Wayne","41° 38' 53.80"" N","75° 18' 11.88"" S"
"42133","York","39° 55' 11.55"" N","76° 43' 34.31"" S"
"42003","Allegheny","40° 28' 7.42"" N","79° 58' 52.25"" S"
"42027","Centre","40° 55' 9.79"" N","77° 49' 12.24"" S"
"42033","Clearfield","41° 0' 0.13"" N","78° 28' 27.67"" S"
"42041","Cumberland","40° 9' 49.22"" N","77° 15' 56.54"" S"
"42045","Delaware","39° 55' 0.03"" N","75° 23' 56.78"" S"
"42051","Fayette","39° 55' 11.38"" N","79° 38' 50.56"" S"
"42061","Huntingdon","40° 24' 59.55"" N","77° 58' 52.38"" S"
"42071","Lancaster","40° 2' 32.27"" N","76° 14' 51.39"" S"
"42089","Monroe","41° 3' 28.69"" N","75° 20' 22.42"" S"
"42095","Northampton","40° 45' 14.80"" N","75° 18' 27.65"" S"
"42049","Erie","41° 59' 33.60"" N","80° 1' 58.72"" S"
"42101","Philadelphia","40° 0' 27.49"" N","75° 8' 2.37"" S"
"42043","Dauphin","40° 24' 54.85"" N","76° 46' 45.84"" S"
"42097","Northumberland","40° 51' 6.51"" N","76° 42' 33.22"" S"
"42031","Clarion","41° 11' 32.16"" N","79° 25' 15.92"" S"
"42131","Wyoming","41° 31' 6.08"" N","76° 1' 0.05"" S"
"42023","Cameron","41° 26' 11.88"" N","78° 12' 13.37"" S"
"42055","Franklin","39° 55' 37.97"" N","77° 43' 16.93"" S"
"42017","Bucks","40° 20' 12.63"" N","75° 6' 23.12"" S"
"42073","Lawrence","40° 59' 28.34"" N","80° 20' 3.27"" S"
"42083","McKean","41° 48' 27.76"" N","78° 34' 8.63"" S"
"42121","Venango","41° 24' 3.06"" N","79° 45' 29.17"" S"
"42013","Blair","40° 28' 50.93"" N","78° 20' 55.53"" S"
"42117","Tioga","41° 46' 19.54"" N","77° 15' 15.31"" S"
"42011","Berks","40° 24' 58.57"" N","75° 55' 33.26"" S"
"42019","Butler","40° 54' 41.42"" N","79° 54' 46.96"" S"
"42105","Potter","41° 44' 40.98"" N","77° 53' 44.67"" S"
"42115","Susquehanna","41° 49' 16.93"" N","75° 48' 2.43"" S"
"42079","Luzerne","41° 10' 36.85"" N","75° 59' 20.50"" S"
"42047","Elk","41° 25' 30.86"" N","78° 38' 56.22"" S"
"42075","Lebanon","40° 22' 1.92"" N","76° 27' 27.49"" S"
"42123","Warren","41° 48' 52.19"" N","79° 16' 26.97"" S"
"42119","Union","40° 57' 46.75"" N","77° 3' 44.59"" S"
"42063","Indiana","40° 39' 6.76"" N","79° 5' 16.01"" S"
"42065","Jefferson","41° 7' 40.76"" N","78° 59' 58.04"" S"
"42081","Lycoming","41° 20' 36.47"" N","77° 3' 51.30"" S"
"42069","Lackawanna","41° 26' 11.92"" N","75° 36' 33.00"" S"
"42007","Beaver","40° 40' 55.81"" N","80° 20' 57.64"" S"
"42021","Cambria","40° 29' 42.29"" N","78° 42' 50.49"" S"
"42037","Columbia","41° 2' 54.61"" N","76° 24' 18.51"" S"
"42107","Schuylkill","40° 42' 20.98"" N","76° 12' 58.51"" S"
"42001","Adams","39° 52' 17.25"" N","77° 13' 4.48"" S"
"42009","Bedford","40° 0' 22.65"" N","78° 29' 25.67"" S"
"42053","Forest","41° 30' 46.90"" N","79° 14' 9.65"" S"
"42113","Sullivan","41° 26' 46.20"" N","76° 30' 43.81"" S"
"42015","Bradford","41° 47' 19.21"" N","76° 30' 55.21"" S"
"42109","Snyder","40° 46' 11.56"" N","77° 4' 12.76"" S"
"42025","Carbon","40° 55' 5.18"" N","75° 42' 31.93"" S"
"42077","Lehigh","40° 36' 45.61"" N","75° 35' 31.85"" S"
"42087","Mifflin","40° 36' 37.10"" N","77° 37' 2.76"" S"
"42129","Westmoreland","40° 18' 38.31"" N","79° 28' 0.63"" S"
"42057","Fulton","39° 55' 30.75"" N","78° 6' 46.31"" S"
"42085","Mercer","41° 18' 7.60"" N","80° 15' 27.61"" S"
"42125","Washington","40° 11' 21.53"" N","80° 14' 52.95"" S"
"42039","Crawford","41° 41' 5.37"" N","80° 6' 23.13"" S"
"42093","Montour","41° 1' 40.17"" N","76° 39' 30.73"" S"
