"nodeID_from","nodeID_to","weight","state"
"54001","54003",72264,"West Virginia"
"54001","54005",108318,"West Virginia"
"54001","54007",505155,"West Virginia"
"54001","54009",53866,"West Virginia"
"54001","54011",91185,"West Virginia"
"54001","54013",230577,"West Virginia"
"54001","54015",168775,"West Virginia"
"54001","54017",1084796,"West Virginia"
"54001","54019",113584,"West Virginia"
"54001","54021",684605,"West Virginia"
"54001","54023",405453,"West Virginia"
"54001","54025",112623,"West Virginia"
"54001","54027",119485,"West Virginia"
"54001","54029",57227,"West Virginia"
"54001","54031",205983,"West Virginia"
"54001","54033",2064905,"West Virginia"
"54001","54035",99156,"West Virginia"
"54001","54037",48530,"West Virginia"
"54001","54039",114789,"West Virginia"
"54001","54041",1691948,"West Virginia"
"54001","54043",61162,"West Virginia"
"54001","54045",94962,"West Virginia"
"54001","54047",35482,"West Virginia"
"54001","54049",1020724,"West Virginia"
"54001","54051",103781,"West Virginia"
"54001","54053",61511,"West Virginia"
"54001","54055",50656,"West Virginia"
"54001","54057",166025,"West Virginia"
"54001","54059",57736,"West Virginia"
"54001","54061",669237,"West Virginia"
"54001","54063",63266,"West Virginia"
"54001","54065",54686,"West Virginia"
"54001","54067",306770,"West Virginia"
"54001","54069",84888,"West Virginia"
"54001","54071",599303,"West Virginia"
"54001","54073",171443,"West Virginia"
"54001","54075",863909,"West Virginia"
"54001","54077",1134628,"West Virginia"
"54001","54079",97487,"West Virginia"
"54001","54081",83804,"West Virginia"
"54001","54083",7045028,"West Virginia"
"54001","54085",426679,"West Virginia"
"54001","54087",142853,"West Virginia"
"54001","54089",138335,"West Virginia"
"54001","54091",4673400,"West Virginia"
"54001","54093",3525081,"West Virginia"
"54001","54095",222981,"West Virginia"
"54001","54097",4485570,"West Virginia"
"54001","54099",67764,"West Virginia"
"54001","54101",693813,"West Virginia"
"54001","54103",273544,"West Virginia"
"54001","54105",171296,"West Virginia"
"54001","54107",134860,"West Virginia"
"54001","54109",70651,"West Virginia"
"54003","54005",26823,"West Virginia"
"54003","54007",40270,"West Virginia"
"54003","54009",25432,"West Virginia"
"54003","54011",39875,"West Virginia"
"54003","54013",32081,"West Virginia"
"54003","54015",22415,"West Virginia"
"54003","54017",36750,"West Virginia"
"54003","54019",35510,"West Virginia"
"54003","54021",66074,"West Virginia"
"54003","54023",268368,"West Virginia"
"54003","54025",43915,"West Virginia"
"54003","54027",586656,"West Virginia"
"54003","54029",20038,"West Virginia"
"54003","54031",318086,"West Virginia"
"54003","54033",60469,"West Virginia"
"54003","54035",26083,"West Virginia"
"54003","54037",2062004,"West Virginia"
"54003","54039",39827,"West Virginia"
"54003","54041",44488,"West Virginia"
"54003","54043",23529,"West Virginia"
"54003","54045",18110,"West Virginia"
"54003","54047",16552,"West Virginia"
"54003","54049",74288,"West Virginia"
"54003","54051",29694,"West Virginia"
"54003","54053",12581,"West Virginia"
"54003","54055",27928,"West Virginia"
"54003","54057",278013,"West Virginia"
"54003","54059",10443,"West Virginia"
"54003","54061",148463,"West Virginia"
"54003","54063",34717,"West Virginia"
"54003","54065",1573145,"West Virginia"
"54003","54067",44244,"West Virginia"
"54003","54069",40613,"West Virginia"
"54003","54071",141864,"West Virginia"
"54003","54073",31853,"West Virginia"
"54003","54075",54192,"West Virginia"
"54003","54077",89659,"West Virginia"
"54003","54079",31317,"West Virginia"
"54003","54081",36611,"West Virginia"
"54003","54083",75668,"West Virginia"
"54003","54085",24226,"West Virginia"
"54003","54087",23892,"West Virginia"
"54003","54089",35619,"West Virginia"
"54003","54091",60128,"West Virginia"
"54003","54093",115874,"West Virginia"
"54003","54095",43657,"West Virginia"
"54003","54097",69797,"West Virginia"
"54003","54099",15860,"West Virginia"
"54003","54101",49634,"West Virginia"
"54003","54103",41314,"West Virginia"
"54003","54105",16710,"West Virginia"
"54003","54107",25592,"West Virginia"
"54003","54109",20643,"West Virginia"
"54005","54007",234535,"West Virginia"
"54005","54009",34850,"West Virginia"
"54005","54011",515552,"West Virginia"
"54005","54013",124307,"West Virginia"
"54005","54015",467132,"West Virginia"
"54005","54017",89862,"West Virginia"
"54005","54019",477323,"West Virginia"
"54005","54021",263443,"West Virginia"
"54005","54023",43808,"West Virginia"
"54005","54025",215957,"West Virginia"
"54005","54027",23169,"West Virginia"
"54005","54029",16792,"West Virginia"
"54005","54031",31100,"West Virginia"
"54005","54033",101931,"West Virginia"
"54005","54035",558020,"West Virginia"
"54005","54037",18274,"West Virginia"
"54005","54039",1685558,"West Virginia"
"54005","54041",113290,"West Virginia"
"54005","54043",4999043,"West Virginia"
"54005","54045",6308025,"West Virginia"
"54005","54047",215721,"West Virginia"
"54005","54049",104647,"West Virginia"
"54005","54051",35798,"West Virginia"
"54005","54053",265451,"West Virginia"
"54005","54055",155461,"West Virginia"
"54005","54057",24137,"West Virginia"
"54005","54059",1173738,"West Virginia"
"54005","54061",165070,"West Virginia"
"54005","54063",172783,"West Virginia"
"54005","54065",24227,"West Virginia"
"54005","54067",315776,"West Virginia"
"54005","54069",43107,"West Virginia"
"54005","54071",69541,"West Virginia"
"54005","54073",120503,"West Virginia"
"54005","54075",238852,"West Virginia"
"54005","54077",65319,"West Virginia"
"54005","54079",1022430,"West Virginia"
"54005","54081",1090998,"West Virginia"
"54005","54083",75127,"West Virginia"
"54005","54085",133586,"West Virginia"
"54005","54087",417778,"West Virginia"
"54005","54089",353697,"West Virginia"
"54005","54091",117682,"West Virginia"
"54005","54093",66064,"West Virginia"
"54005","54095",52291,"West Virginia"
"54005","54097",120818,"West Virginia"
"54005","54099",328738,"West Virginia"
"54005","54101",199069,"West Virginia"
"54005","54103",65005,"West Virginia"
"54005","54105",284836,"West Virginia"
"54005","54107",109226,"West Virginia"
"54005","54109",1085318,"West Virginia"
"54007","54009",54328,"West Virginia"
"54007","54011",131707,"West Virginia"
"54007","54013",3570887,"West Virginia"
"54007","54015",5874029,"West Virginia"
"54007","54017",555678,"West Virginia"
"54007","54019",391738,"West Virginia"
"54007","54021",10366461,"West Virginia"
"54007","54023",135938,"West Virginia"
