"nodeID","nodeLabel","latitude","longitude"
"54001","Barbour","39° 7' 58.46"" N","80° 0' 10.90"" S"
"54005","Boone","38° 1' 22.44"" N","81° 42' 40.01"" S"
"54021","Gilmer","38° 55' 26.35"" N","80° 51' 25.70"" S"
"54039","Kanawha","38° 20' 11.08"" N","81° 31' 40.74"" S"
"54045","Logan","37° 49' 53.35"" N","81° 56' 6.81"" S"
"54047","McDowell","37° 22' 42.53"" N","81° 39' 12.69"" S"
"54063","Monroe","37° 33' 37.40"" N","80° 33' 2.27"" S"
"54067","Nicholas","38° 17' 29.96"" N","80° 47' 57.63"" S"
"54087","Roane","38° 42' 50.10"" N","81° 20' 53.74"" S"
"54107","Wood","39° 12' 40.06"" N","81° 30' 54.58"" S"
"54013","Calhoun","38° 50' 39.83"" N","81° 7' 3.15"" S"
"54017","Doddridge","39° 16' 8.77"" N","80° 42' 25.33"" S"
"54019","Fayette","38° 1' 43.40"" N","81° 4' 51.70"" S"
"54023","Grant","39° 6' 17.80"" N","79° 11' 43.96"" S"
"54027","Hampshire","39° 19' 1.22"" N","78° 36' 51.10"" S"
"54033","Harrison","39° 17' 0.45"" N","80° 22' 47.38"" S"
"54037","Jefferson","39° 18' 27.05"" N","77° 51' 46.19"" S"
"54043","Lincoln","38° 10' 31.03"" N","82° 4' 13.71"" S"
"54065","Morgan","39° 33' 37.50"" N","78° 15' 28.32"" S"
"54071","Pendleton","38° 40' 50.15"" N","79° 21' 3.35"" S"
"54081","Raleigh","37° 46' 16.76"" N","81° 14' 54.45"" S"
"54093","Tucker","39° 6' 48.99"" N","79° 33' 53.61"" S"
"54095","Tyler","39° 27' 54.93"" N","80° 53' 5.32"" S"
"54109","Wyoming","37° 36' 34.54"" N","81° 32' 56.81"" S"
"54025","Greenbrier","37° 56' 48.69"" N","80° 27' 10.68"" S"
"54083","Randolph","38° 46' 28.65"" N","79° 52' 34.58"" S"
"54059","Mingo","37° 43' 34.78"" N","82° 8' 3.67"" S"
"54007","Braxton","38° 41' 59.37"" N","80° 43' 9.71"" S"
"54099","Wayne","38° 8' 44.74"" N","82° 25' 36.63"" S"
"54031","Hardy","39° 0' 26.88"" N","78° 51' 29.01"" S"
"54057","Mineral","39° 24' 52.75"" N","78° 56' 38.52"" S"
"54085","Ritchie","39° 10' 41.57"" N","81° 3' 46.80"" S"
"54003","Berkeley","39° 27' 50.44"" N","78° 1' 39.27"" S"
"54041","Lewis","38° 59' 44.82"" N","80° 30' 7.61"" S"
"54011","Cabell","38° 25' 12.95"" N","82° 14' 30.33"" S"
"54049","Marion","39° 30' 36.11"" N","80° 14' 35.84"" S"
"54073","Pleasants","39° 22' 15.46"" N","81° 9' 38.42"" S"
"54015","Clay","38° 27' 44.94"" N","81° 4' 30.61"" S"
"54061","Monongalia","39° 37' 49.36"" N","80° 2' 47.26"" S"
"54069","Ohio","40° 5' 48.97"" N","80° 37' 8.10"" S"
"54055","Mercer","37° 24' 19.75"" N","81° 6' 41.26"" S"
"54035","Jackson","38° 50' 3.46"" N","81° 40' 29.07"" S"
"54101","Webster","38° 29' 40.52"" N","80° 25' 18.94"" S"
"54097","Upshur","38° 53' 51.80"" N","80° 14' 0.66"" S"
"54089","Summers","37° 39' 20.74"" N","80° 51' 31.17"" S"
"54079","Putnam","38° 30' 30.67"" N","81° 54' 32.75"" S"
"54051","Marshall","39° 51' 37.89"" N","80° 39' 48.42"" S"
"54077","Preston","39° 28' 8.86"" N","79° 40' 5.61"" S"
"54053","Mason","38° 46' 10.45"" N","82° 1' 35.86"" S"
"54029","Hancock","40° 31' 18.49"" N","80° 34' 25.99"" S"
"54009","Brooke","40° 16' 25.71"" N","80° 34' 35.29"" S"
"54105","Wirt","39° 1' 20.75"" N","81° 22' 43.31"" S"
"54103","Wetzel","39° 36' 18.96"" N","80° 38' 20.75"" S"
"54091","Taylor","39° 20' 9.53"" N","80° 2' 46.42"" S"
"54075","Pocahontas","38° 19' 53.75"" N","80° 0' 30.13"" S"
